时间,索力值(kN)
2023-01-01 01:10:00,5430.632
2023-01-01 02:20:00,5429.984
2023-01-01 03:30:00,5429.68
2023-01-01 04:40:00,5429.536
2023-01-01 05:50:00,5429.392
2023-01-01 07:00:00,5429.496
2023-01-01 08:10:00,5429.456
2023-01-01 09:20:00,5429.48
2023-01-01 10:30:00,5429.864
2023-01-01 11:40:00,5430.096
2023-01-01 12:50:00,5430.248
2023-01-01 14:00:00,5430.336
2023-01-01 15:10:00,5430.408
2023-01-01 16:20:00,5430.496
2023-01-01 17:30:00,5430.528
2023-01-01 18:40:00,5430.416
2023-01-01 19:50:00,5430.496
2023-01-01 21:00:00,5430.36
2023-01-01 22:10:00,5430.16
2023-01-01 23:20:00,5430.128
2023-01-02 00:40:00,5430.128
2023-01-02 02:00:00,5429.96
2023-01-02 03:10:00,5429.664
2023-01-02 04:20:00,5429.568
2023-01-02 05:30:00,5429.544
2023-01-02 06:40:00,5429.48
2023-01-02 07:50:00,5429.552
2023-01-02 09:00:00,5429.72
2023-01-02 10:10:00,5429.944
2023-01-02 11:30:00,5430.096
2023-01-02 12:40:00,5430.408
2023-01-02 13:50:00,5430.8
2023-01-02 15:00:00,5430.448
2023-01-02 16:10:00,5430.544
2023-01-02 17:20:00,5430.608
2023-01-02 18:30:00,5430.256
2023-01-02 19:40:00,5430.136
2023-01-02 20:50:00,5429.816
2023-01-02 22:00:00,5429.664
2023-01-02 23:10:00,5429.552
2023-01-03 00:30:00,5429.408
2023-01-03 01:40:00,5429.216
2023-01-03 02:50:00,5429.304
2023-01-03 04:00:00,5429.16
2023-01-03 05:10:00,5429.136
2023-01-03 06:20:00,5429.296
2023-01-03 07:30:00,5429.376
2023-01-03 08:40:00,5429.408
2023-01-03 09:50:00,5429.792
2023-01-03 11:00:00,5429.856
2023-01-03 12:10:00,5430.4
2023-01-03 13:20:00,5430.712
2023-01-03 14:30:00,5430.96
2023-01-03 15:40:00,5431.152
2023-01-03 16:50:00,5431.128
2023-01-03 18:00:00,5431.048
2023-01-03 19:10:00,5430.96
2023-01-03 20:20:00,5430.872
2023-01-03 21:30:00,5430.608
2023-01-03 22:40:00,5430.488
2023-01-03 23:50:00,5430.288
2023-01-04 01:10:00,5430.096
2023-01-04 02:20:00,5429.968
2023-01-04 03:30:00,5429.92
2023-01-04 04:40:00,5429.808
2023-01-04 05:50:00,5429.84
2023-01-04 07:00:00,5429.888
2023-01-04 08:10:00,5429.952
2023-01-04 09:20:00,5430.024
2023-01-04 10:30:00,5430.328
2023-01-04 11:40:00,5430.448
2023-01-04 12:50:00,5430.608
2023-01-04 14:00:00,5431.024
2023-01-04 15:10:00,5431.184
2023-01-04 16:20:00,5431.256
2023-01-04 17:30:00,5431.32
2023-01-04 18:40:00,5431.28
2023-01-04 19:50:00,5431.136
2023-01-04 21:00:00,5430.96
2023-01-04 22:10:00,5430.712
2023-01-04 23:20:00,5430.576
2023-01-05 00:40:00,5430.432
2023-01-05 01:50:00,5430.248
2023-01-05 03:00:00,5430.264
2023-01-05 04:10:00,5430.112
2023-01-05 05:20:00,5430.176
2023-01-05 06:30:00,5430.112
2023-01-05 07:40:00,5430.232
2023-01-05 08:50:00,5430.504
2023-01-05 10:00:00,5430.608
2023-01-05 11:10:00,5430.928
2023-01-05 12:20:00,5430.864
2023-01-05 13:30:00,5431.056
2023-01-05 14:40:00,5431.376
2023-01-05 15:50:00,5431.6
2023-01-05 17:00:00,5431.84
2023-01-05 18:10:00,5432.112
2023-01-05 19:20:00,5431.648
2023-01-05 20:30:00,5431.568
2023-01-05 21:40:00,5430.656
2023-01-05 22:50:00,5429.984
2023-01-06 00:10:00,5429.6
2023-01-06 01:20:00,5429.28
2023-01-06 02:30:00,5429.104
2023-01-06 03:40:00,5428.728
2023-01-06 04:50:00,5428.696
2023-01-06 06:00:00,5428.576
2023-01-06 07:10:00,5428.736
2023-01-06 08:20:00,5428.72
2023-01-06 09:30:00,5428.576
2023-01-06 10:40:00,5429.016
2023-01-06 11:50:00,5429.528
2023-01-06 13:00:00,5429.984
2023-01-06 14:10:00,5430.384
2023-01-06 15:20:00,5430.544
2023-01-06 16:30:00,5431.264
2023-01-06 17:40:00,5431.136
2023-01-06 18:50:00,5431.184
2023-01-06 20:00:00,5430.608
2023-01-06 21:10:00,5430.048
2023-01-06 22:20:00,5429.536
2023-01-06 23:30:00,5428.992
2023-01-07 00:50:00,5428.728
2023-01-07 02:00:00,5428.408
2023-01-07 03:10:00,5428.208
2023-01-07 04:20:00,5427.848
2023-01-07 05:30:00,5427.744
2023-01-07 06:40:00,5428.016
2023-01-07 07:50:00,5428.288
2023-01-07 09:00:00,5427.552
2023-01-07 10:10:00,5428.464
2023-01-07 11:20:00,5430.384
2023-01-07 12:30:00,5431.752
2023-01-07 13:40:00,5433.024
2023-01-07 14:50:00,5434.288
2023-01-07 16:00:00,5433.696
2023-01-07 17:20:00,5432.944
2023-01-07 18:30:00,5432.08
2023-01-07 19:40:00,5431.2
2023-01-07 20:50:00,5430.576
2023-01-07 22:00:00,5429.888
2023-01-07 23:10:00,5429.328
2023-01-08 00:30:00,5428.848
2023-01-08 01:40:00,5428.464
2023-01-08 02:50:00,5428.368
2023-01-08 04:00:00,5428.192
2023-01-08 05:10:00,5428.144
2023-01-08 06:20:00,5428.232
2023-01-08 07:30:00,5428.128
2023-01-08 08:40:00,5427.872
2023-01-08 09:50:00,5427.968
2023-01-08 11:00:00,5428.336
2023-01-08 12:10:00,5428.992
2023-01-08 13:20:00,5429.616
2023-01-08 14:30:00,5430.416
2023-01-08 15:40:00,5431.744
2023-01-08 16:50:00,5431.072
2023-01-08 18:00:00,5430.76
2023-01-08 19:10:00,5430.288
2023-01-08 20:20:00,5429.904
2023-01-08 21:30:00,5429.392
2023-01-08 22:40:00,5429.064
2023-01-08 23:50:00,5428.8
2023-01-09 01:10:00,5428.816
2023-01-09 02:20:00,5428.584
2023-01-09 03:30:00,5428.584
2023-01-09 04:40:00,5428.224
2023-01-09 05:50:00,5428.328
2023-01-09 07:00:00,5428.032
2023-01-09 08:10:00,5428.088
2023-01-09 09:20:00,5428.392
2023-01-09 10:30:00,5428.784
2023-01-09 11:40:00,5428.912
2023-01-09 12:50:00,5429.44
2023-01-09 14:00:00,5430.432
2023-01-09 15:10:00,5430.952
2023-01-09 16:20:00,5430.888
2023-01-09 17:30:00,5430.624
2023-01-09 18:40:00,5430.144
