时间,索力值(kN)
2023-01-01 01:10:00,2688.942
2023-01-01 02:20:00,2688.294
2023-01-01 03:30:00,2687.99
2023-01-01 04:40:00,2687.846
2023-01-01 05:50:00,2687.702
2023-01-01 07:00:00,2687.806
2023-01-01 08:10:00,2687.766
2023-01-01 09:20:00,2687.79
2023-01-01 10:30:00,2688.174
2023-01-01 11:40:00,2688.406
2023-01-01 12:50:00,2688.558
2023-01-01 14:00:00,2688.646
2023-01-01 15:10:00,2688.718
2023-01-01 16:20:00,2688.806
2023-01-01 17:30:00,2688.838
2023-01-01 18:40:00,2688.726
2023-01-01 19:50:00,2688.806
2023-01-01 21:00:00,2688.67
2023-01-01 22:10:00,2688.47
2023-01-01 23:20:00,2688.438
2023-01-02 00:40:00,2688.438
2023-01-02 02:00:00,2688.27
2023-01-02 03:10:00,2687.974
2023-01-02 04:20:00,2687.878
2023-01-02 05:30:00,2687.854
2023-01-02 06:40:00,2687.79
2023-01-02 07:50:00,2687.862
2023-01-02 09:00:00,2688.03
2023-01-02 10:10:00,2688.254
2023-01-02 11:30:00,2688.406
2023-01-02 12:40:00,2688.718
2023-01-02 13:50:00,2689.11
2023-01-02 15:00:00,2688.758
2023-01-02 16:10:00,2688.854
2023-01-02 17:20:00,2688.918
2023-01-02 18:30:00,2688.566
2023-01-02 19:40:00,2688.446
2023-01-02 20:50:00,2688.126
2023-01-02 22:00:00,2687.974
2023-01-02 23:10:00,2687.862
2023-01-03 00:30:00,2687.718
2023-01-03 01:40:00,2687.526
2023-01-03 02:50:00,2687.614
2023-01-03 04:00:00,2687.47
2023-01-03 05:10:00,2687.446
2023-01-03 06:20:00,2687.606
2023-01-03 07:30:00,2687.686
2023-01-03 08:40:00,2687.718
2023-01-03 09:50:00,2688.102
2023-01-03 11:00:00,2688.166
2023-01-03 12:10:00,2688.71
2023-01-03 13:20:00,2689.022
2023-01-03 14:30:00,2689.27
2023-01-03 15:40:00,2689.462
2023-01-03 16:50:00,2689.438
2023-01-03 18:00:00,2689.358
2023-01-03 19:10:00,2689.27
2023-01-03 20:20:00,2689.182
2023-01-03 21:30:00,2688.918
2023-01-03 22:40:00,2688.798
2023-01-03 23:50:00,2688.598
2023-01-04 01:10:00,2688.406
2023-01-04 02:20:00,2688.278
2023-01-04 03:30:00,2688.23
2023-01-04 04:40:00,2688.118
2023-01-04 05:50:00,2688.15
2023-01-04 07:00:00,2688.198
2023-01-04 08:10:00,2688.262
2023-01-04 09:20:00,2688.334
2023-01-04 10:30:00,2688.638
2023-01-04 11:40:00,2688.758
2023-01-04 12:50:00,2688.918
2023-01-04 14:00:00,2689.334
2023-01-04 15:10:00,2689.494
2023-01-04 16:20:00,2689.566
2023-01-04 17:30:00,2689.63
2023-01-04 18:40:00,2689.59
2023-01-04 19:50:00,2689.446
2023-01-04 21:00:00,2689.27
2023-01-04 22:10:00,2689.022
2023-01-04 23:20:00,2688.886
2023-01-05 00:40:00,2688.742
2023-01-05 01:50:00,2688.558
2023-01-05 03:00:00,2688.574
2023-01-05 04:10:00,2688.422
2023-01-05 05:20:00,2688.486
2023-01-05 06:30:00,2688.422
2023-01-05 07:40:00,2688.542
2023-01-05 08:50:00,2688.814
2023-01-05 10:00:00,2688.918
2023-01-05 11:10:00,2689.238
2023-01-05 12:20:00,2689.174
2023-01-05 13:30:00,2689.366
2023-01-05 14:40:00,2689.686
2023-01-05 15:50:00,2689.91
2023-01-05 17:00:00,2690.15
2023-01-05 18:10:00,2690.422
2023-01-05 19:20:00,2689.958
2023-01-05 20:30:00,2689.878
2023-01-05 21:40:00,2688.966
2023-01-05 22:50:00,2688.294
2023-01-06 00:10:00,2687.91
2023-01-06 01:20:00,2687.59
2023-01-06 02:30:00,2687.414
2023-01-06 03:40:00,2687.038
2023-01-06 04:50:00,2687.006
2023-01-06 06:00:00,2686.886
2023-01-06 07:10:00,2687.046
2023-01-06 08:20:00,2687.03
2023-01-06 09:30:00,2686.886
2023-01-06 10:40:00,2687.326
2023-01-06 11:50:00,2687.838
