时间,伸缩量(mm)
2023-01-09 17:20:00,1599.54
2023-01-09 18:30:00,1600.37
2023-01-09 19:40:00,1602.25
2023-01-09 20:50:00,1604.69
2023-01-09 22:00:00,1606.6
2023-01-09 23:10:00,1607.02
2023-01-10 00:30:00,1607.54
2023-01-10 01:40:00,1608.23
2023-01-10 02:50:00,1609.19
2023-01-10 04:00:00,1610.62
2023-01-10 05:10:00,1611.84
2023-01-10 06:20:00,1612.86
2023-01-10 07:30:00,1613.72
2023-01-10 08:40:00,1614.16
2023-01-10 09:50:00,1614.58
2023-01-10 11:00:00,1614.6
2023-01-10 12:10:00,1614.27
2023-01-10 13:20:00,1612.17
2023-01-10 14:30:00,1607.34
2023-01-10 15:40:00,1600.36
2023-01-10 16:50:00,1598.41
2023-01-10 18:00:00,1598.55
2023-01-10 19:10:00,1600.43
2023-01-10 20:20:00,1602.45
2023-01-10 21:30:00,1604.77
2023-01-10 22:40:00,1605.44
2023-01-10 23:50:00,1605.88
2023-01-11 01:10:00,1607.09
2023-01-11 02:20:00,1608.31
2023-01-11 03:30:00,1609.88
2023-01-11 04:40:00,1611.1
2023-01-11 05:50:00,1612.35
2023-01-11 07:00:00,1613.93
2023-01-11 08:10:00,1615.81
2023-01-11 09:20:00,1616.28
2023-01-11 10:30:00,1616.06
2023-01-11 11:40:00,1614.42
2023-01-11 12:50:00,1610.22
2023-01-11 14:00:00,1599.25
2023-01-11 15:10:00,1587.23
2023-01-11 16:20:00,1580.53
2023-01-11 17:30:00,1579.03
2023-01-11 18:40:00,1579.29
2023-01-11 19:50:00,1581.28
2023-01-11 21:00:00,1584.94
2023-01-11 22:10:00,1588.29
2023-01-11 23:20:00,1592.05
2023-01-12 00:40:00,1594.36
2023-01-12 01:50:00,1595.06
2023-01-12 03:00:00,1595.36
2023-01-12 04:10:00,1595.63
2023-01-12 05:20:00,1595.88
2023-01-12 06:30:00,1595.94
2023-01-12 07:40:00,1596.11
2023-01-12 08:50:00,1596.08
2023-01-12 10:00:00,1595.83
2023-01-12 11:10:00,1595.39
2023-01-12 12:20:00,1594.44
2023-01-12 13:30:00,1593.39
2023-01-12 14:40:00,1591.98
2023-01-12 15:50:00,1589.96
2023-01-12 17:00:00,1588.61
2023-01-12 18:10:00,1588.19
2023-01-12 19:20:00,1589.03
2023-01-12 20:30:00,1590.77
2023-01-12 21:40:00,1593.4
2023-01-12 22:50:00,1596.33
2023-01-13 00:10:00,1600.14
2023-01-13 01:20:00,1602.54
2023-01-13 02:30:00,1604.73
2023-01-13 03:40:00,1606.58
2023-01-13 04:50:00,1608.46
2023-01-13 06:00:00,1609.73
2023-01-13 07:10:00,1610.31
2023-01-13 08:20:00,1610.45
2023-01-13 09:30:00,1610.33
2023-01-13 10:40:00,1609.36
2023-01-13 11:50:00,1607.89
2023-01-13 13:00:00,1606.34
2023-01-13 14:10:00,1604.09
2023-01-13 15:20:00,1601.09
2023-01-13 16:30:00,1599.42
2023-01-13 17:40:00,1599.09
2023-01-13 18:50:00,1598.95
2023-01-13 20:00:00,1598.86
2023-01-13 21:10:00,1598.86
2023-01-13 22:20:00,1598.84
2023-01-13 23:30:00,1598.84
2023-01-14 00:50:00,1598.89
2023-01-14 02:00:00,1599.14
2023-01-14 03:10:00,1599.39
2023-01-14 04:20:00,1599.61
2023-01-14 05:30:00,1599.91
2023-01-14 06:40:00,1600.27
