时间,索力值(kN)
2023-01-01 01:10:00,2828.822
2023-01-01 02:20:00,2828.174
2023-01-01 03:30:00,2827.87
2023-01-01 04:40:00,2827.726
2023-01-01 05:50:00,2827.582
2023-01-01 07:00:00,2827.686
2023-01-01 08:10:00,2827.646
2023-01-01 09:20:00,2827.67
2023-01-01 10:30:00,2828.054
2023-01-01 11:40:00,2828.286
2023-01-01 12:50:00,2828.438
2023-01-01 14:00:00,2828.526
2023-01-01 15:10:00,2828.598
2023-01-01 16:20:00,2828.686
2023-01-01 17:30:00,2828.718
2023-01-01 18:40:00,2828.606
2023-01-01 19:50:00,2828.686
2023-01-01 21:00:00,2828.55
2023-01-01 22:10:00,2828.35
2023-01-01 23:20:00,2828.318
2023-01-02 00:40:00,2828.318
2023-01-02 02:00:00,2828.15
2023-01-02 03:10:00,2827.854
2023-01-02 04:20:00,2827.758
2023-01-02 05:30:00,2827.734
2023-01-02 06:40:00,2827.67
2023-01-02 07:50:00,2827.742
2023-01-02 09:00:00,2827.91
2023-01-02 10:10:00,2828.134
2023-01-02 11:30:00,2828.286
2023-01-02 12:40:00,2828.598
2023-01-02 13:50:00,2828.99
2023-01-02 15:00:00,2828.638
2023-01-02 16:10:00,2828.734
2023-01-02 17:20:00,2828.798
2023-01-02 18:30:00,2828.446
2023-01-02 19:40:00,2828.326
2023-01-02 20:50:00,2828.006
2023-01-02 22:00:00,2827.854
2023-01-02 23:10:00,2827.742
2023-01-03 00:30:00,2827.598
2023-01-03 01:40:00,2827.406
2023-01-03 02:50:00,2827.494
2023-01-03 04:00:00,2827.35
2023-01-03 05:10:00,2827.326
2023-01-03 06:20:00,2827.486
2023-01-03 07:30:00,2827.566
2023-01-03 08:40:00,2827.598
2023-01-03 09:50:00,2827.982
2023-01-03 11:00:00,2828.046
2023-01-03 12:10:00,2828.59
2023-01-03 13:20:00,2828.902
2023-01-03 14:30:00,2829.15
2023-01-03 15:40:00,2829.342
2023-01-03 16:50:00,2829.318
2023-01-03 18:00:00,2829.238
2023-01-03 19:10:00,2829.15
2023-01-03 20:20:00,2829.062
2023-01-03 21:30:00,2828.798
2023-01-03 22:40:00,2828.678
2023-01-03 23:50:00,2828.478
2023-01-04 01:10:00,2828.286
2023-01-04 02:20:00,2828.158
2023-01-04 03:30:00,2828.11
2023-01-04 04:40:00,2827.998
2023-01-04 05:50:00,2828.03
2023-01-04 07:00:00,2828.078
2023-01-04 08:10:00,2828.142
2023-01-04 09:20:00,2828.214
2023-01-04 10:30:00,2828.518
2023-01-04 11:40:00,2828.638
2023-01-04 12:50:00,2828.798
2023-01-04 14:00:00,2829.214
2023-01-04 15:10:00,2829.374
2023-01-04 16:20:00,2829.446
2023-01-04 17:30:00,2829.51
2023-01-04 18:40:00,2829.47
2023-01-04 19:50:00,2829.326
2023-01-04 21:00:00,2829.15
2023-01-04 22:10:00,2828.902
2023-01-04 23:20:00,2828.766
2023-01-05 00:40:00,2828.622
2023-01-05 01:50:00,2828.438
2023-01-05 03:00:00,2828.454
2023-01-05 04:10:00,2828.302
2023-01-05 05:20:00,2828.366
2023-01-05 06:30:00,2828.302
2023-01-05 07:40:00,2828.422
2023-01-05 08:50:00,2828.694
2023-01-05 10:00:00,2828.798
2023-01-05 11:10:00,2829.118
2023-01-05 12:20:00,2829.054
2023-01-05 13:30:00,2829.246
2023-01-05 14:40:00,2829.566
2023-01-05 15:50:00,2829.79
2023-01-05 17:00:00,2830.03
2023-01-05 18:10:00,2830.302
2023-01-05 19:20:00,2829.838
2023-01-05 20:30:00,2829.758
2023-01-05 21:40:00,2828.846
2023-01-05 22:50:00,2828.174
2023-01-06 00:10:00,2827.79
2023-01-06 01:20:00,2827.47
2023-01-06 02:30:00,2827.294
2023-01-06 03:40:00,2826.918
2023-01-06 04:50:00,2826.886
2023-01-06 06:00:00,2826.766
2023-01-06 07:10:00,2826.926
2023-01-06 08:20:00,2826.91
2023-01-06 09:30:00,2826.766
2023-01-06 10:40:00,2827.206
2023-01-06 11:50:00,2827.718
2023-01-06 13:00:00,2828.174
2023-01-06 14:10:00,2828.574
2023-01-06 15:20:00,2828.734
2023-01-06 16:30:00,2829.454
2023-01-06 17:40:00,2829.326
2023-01-06 18:50:00,2829.374
2023-01-06 20:00:00,2828.798
2023-01-06 21:10:00,2828.238
2023-01-06 22:20:00,2827.726
2023-01-06 23:30:00,2827.182
2023-01-07 00:50:00,2826.918
2023-01-07 02:00:00,2826.598
2023-01-07 03:10:00,2826.398
2023-01-07 04:20:00,2826.038
2023-01-07 05:30:00,2825.934
2023-01-07 06:40:00,2826.206
2023-01-07 07:50:00,2826.478
2023-01-07 09:00:00,2825.742
2023-01-07 10:10:00,2826.654
2023-01-07 11:20:00,2828.574
2023-01-07 12:30:00,2829.942
2023-01-07 13:40:00,2831.214
2023-01-07 14:50:00,2832.478
2023-01-07 16:00:00,2831.886
2023-01-07 17:20:00,2831.134
2023-01-07 18:30:00,2830.27
2023-01-07 19:40:00,2829.39
2023-01-07 20:50:00,2828.766
2023-01-07 22:00:00,2828.078
2023-01-07 23:10:00,2827.518
2023-01-08 00:30:00,2827.038
2023-01-08 01:40:00,2826.654
2023-01-08 02:50:00,2826.558
2023-01-08 04:00:00,2826.382
2023-01-08 05:10:00,2826.334
2023-01-08 06:20:00,2826.422
2023-01-08 07:30:00,2826.318
2023-01-08 08:40:00,2826.062
2023-01-08 09:50:00,2826.158
2023-01-08 11:00:00,2826.526
2023-01-08 12:10:00,2827.182
2023-01-08 13:20:00,2827.806
2023-01-08 14:30:00,2828.606
2023-01-08 15:40:00,2829.934
2023-01-08 16:50:00,2829.262
2023-01-08 18:00:00,2828.95
2023-01-08 19:10:00,2828.478
2023-01-08 20:20:00,2828.094
2023-01-08 21:30:00,2827.582
2023-01-08 22:40:00,2827.254
2023-01-08 23:50:00,2826.99
2023-01-09 01:10:00,2827.006
2023-01-09 02:20:00,2826.774
2023-01-09 03:30:00,2826.774
2023-01-09 04:40:00,2826.414
2023-01-09 05:50:00,2826.518
2023-01-09 07:00:00,2826.222
2023-01-09 08:10:00,2826.278
2023-01-09 09:20:00,2826.582
2023-01-09 10:30:00,2826.974
2023-01-09 11:40:00,2827.102
2023-01-09 12:50:00,2827.63
2023-01-09 14:00:00,2828.622
2023-01-09 15:10:00,2829.142
2023-01-09 16:20:00,2829.078
2023-01-09 17:30:00,2828.814
2023-01-09 18:40:00,2828.334
2023-01-09 19:50:00,2827.966
2023-01-09 21:00:00,2827.702
2023-01-09 22:10:00,2827.566
2023-01-09 23:20:00,2827.638
2023-01-10 00:40:00,2827.342
2023-01-10 01:50:00,2827.158
2023-01-10 03:00:00,2826.99
2023-01-10 04:10:00,2826.934
2023-01-10 05:20:00,2826.638
2023-01-10 06:30:00,2826.67
2023-01-10 07:40:00,2826.67
2023-01-10 08:50:00,2826.766
2023-01-10 10:00:00,2826.926
2023-01-10 11:10:00,2827.278
2023-01-10 12:20:00,2827.774
2023-01-10 13:30:00,2828.622
2023-01-10 14:40:00,2829.718
2023-01-10 15:50:00,2829.086
2023-01-10 17:00:00,2828.838
2023-01-10 18:10:00,2828.638
2023-01-10 19:20:00,2828.27
2023-01-10 20:30:00,2828.054
2023-01-10 21:40:00,2827.878
2023-01-10 22:50:00,2827.87
2023-01-11 00:10:00,2827.534
2023-01-11 01:20:00,2827.374
2023-01-11 02:30:00,2827.078
2023-01-11 03:40:00,2826.974
2023-01-11 04:50:00,2826.958
2023-01-11 06:00:00,2826.814
2023-01-11 07:10:00,2826.774
2023-01-11 08:20:00,2826.918
2023-01-11 09:30:00,2827.054
2023-01-11 10:40:00,2827.71
2023-01-11 11:50:00,2828.286
2023-01-11 13:00:00,2829.302
2023-01-11 14:10:00,2831.478
2023-01-11 15:20:00,2833.086
2023-01-11 16:30:00,2833.246
2023-01-11 17:40:00,2832.83
2023-01-11 18:50:00,2831.406
2023-01-11 20:00:00,2830.414
2023-01-11 21:10:00,2830.358
2023-01-11 22:20:00,2829.438
2023-01-11 23:30:00,2829.462
2023-01-12 00:50:00,2829.422
2023-01-12 02:00:00,2829.63
2023-01-12 03:10:00,2829.798
2023-01-12 04:20:00,2829.582
2023-01-12 05:30:00,2829.918
2023-01-12 06:40:00,2830.182
2023-01-12 07:50:00,2830.222
2023-01-12 09:00:00,2830.302
2023-01-12 10:10:00,2830.55
2023-01-12 11:20:00,2830.67
2023-01-12 12:30:00,2830.782
2023-01-12 13:40:00,2831.23
2023-01-12 14:50:00,2831.438
2023-01-12 16:00:00,2831.758
2023-01-12 17:10:00,2831.526
2023-01-12 18:20:00,2831.014
2023-01-12 19:30:00,2830.126
2023-01-12 20:40:00,2829.438
2023-01-12 21:50:00,2828.886
2023-01-12 23:00:00,2828.582
2023-01-13 00:20:00,2828.398
2023-01-13 01:30:00,2828.55
2023-01-13 02:40:00,2828.142
2023-01-13 03:50:00,2828.27
2023-01-13 05:00:00,2827.774
2023-01-13 06:10:00,2828.27
2023-01-13 07:20:00,2828.39
2023-01-13 08:30:00,2828.59
2023-01-13 09:40:00,2828.926
2023-01-13 10:50:00,2829.398
2023-01-13 12:00:00,2829.374
2023-01-13 13:10:00,2829.59
2023-01-13 14:20:00,2830.094
2023-01-13 15:30:00,2830.398
2023-01-13 16:40:00,2830.574
2023-01-13 17:50:00,2830.622
2023-01-13 19:00:00,2830.39
2023-01-13 20:10:00,2830.15
2023-01-13 21:20:00,2830.254
2023-01-13 22:30:00,2830.374
2023-01-13 23:40:00,2829.678
2023-01-14 01:00:00,2829.614
2023-01-14 02:10:00,2829.382
2023-01-14 03:20:00,2829.47
2023-01-14 04:30:00,2829.214
2023-01-14 05:40:00,2829.326
2023-01-14 06:50:00,2829.47
2023-01-14 08:00:00,2829.518
2023-01-14 09:10:00,2829.062
2023-01-14 10:20:00,2828.718
2023-01-14 11:30:00,2828.406
2023-01-14 12:40:00,2828.27
2023-01-14 13:50:00,2827.79
2023-01-14 15:00:00,2827.742
2023-01-14 16:10:00,2827.358
2023-01-14 17:20:00,2826.974
2023-01-14 18:30:00,2826.686
2023-01-14 19:40:00,2826.494
2023-01-14 20:50:00,2826.342
2023-01-14 22:00:00,2826.27
2023-01-14 23:10:00,2825.998
2023-01-15 00:30:00,2825.966
2023-01-15 01:40:00,2825.734
2023-01-15 02:50:00,2824.966
2023-01-15 04:00:00,2824.35
2023-01-15 05:10:00,2824.006
2023-01-15 06:20:00,2824.03
2023-01-15 07:30:00,2823.886
2023-01-15 08:40:00,2823.71
2023-01-15 09:50:00,2823.566
2023-01-15 11:00:00,2823.55
2023-01-15 12:10:00,2823.39
2023-01-15 13:20:00,2823.454
2023-01-15 14:30:00,2823.566
2023-01-15 15:40:00,2823.622
2023-01-15 16:50:00,2823.926
2023-01-15 18:00:00,2824.15
2023-01-15 19:10:00,2824.102
2023-01-15 20:20:00,2824.158
2023-01-15 21:30:00,2824.286
2023-01-15 22:40:00,2824.23
2023-01-15 23:50:00,2824.158
2023-01-16 01:10:00,2824.118
2023-01-16 02:20:00,2823.934
2023-01-16 03:30:00,2823.71
2023-01-16 04:40:00,2823.766
2023-01-16 05:50:00,2823.582
2023-01-16 07:00:00,2823.646
2023-01-16 08:10:00,2823.926
2023-01-16 09:20:00,2824.126
2023-01-16 10:30:00,2823.678
2023-01-16 11:40:00,2823.694
2023-01-16 12:50:00,2824.014
2023-01-16 14:00:00,2824.118
2023-01-16 15:10:00,2824.302
2023-01-16 16:20:00,2824.446
2023-01-16 17:30:00,2824.606
2023-01-16 18:40:00,2824.646
2023-01-16 19:50:00,2824.686
2023-01-16 21:00:00,2824.718
2023-01-16 22:10:00,2824.654
2023-01-16 23:20:00,2824.59
2023-01-17 00:40:00,2824.382
2023-01-17 01:50:00,2824.078
2023-01-17 03:00:00,2823.758
2023-01-17 04:10:00,2823.798
2023-01-17 05:20:00,2823.886
