时间,位移量(mm)
2023-01-01 01:10:00,56.98
2023-01-01 02:20:00,62.67
2023-01-01 03:30:00,67.88
2023-01-01 04:40:00,70.53
2023-01-01 05:50:00,72.47
2023-01-01 07:00:00,74.52
2023-01-01 08:10:00,76.3
2023-01-01 09:20:00,78.43
2023-01-01 10:30:00,78.47
2023-01-01 11:40:00,78.47
2023-01-01 12:50:00,78.04
2023-01-01 14:00:00,77.44
2023-01-01 15:10:00,76.57
2023-01-01 16:20:00,76.33
2023-01-01 17:30:00,76.33
2023-01-01 18:40:00,76.33
2023-01-01 19:50:00,76.34
2023-01-01 21:00:00,76.37
2023-01-01 22:10:00,76.49
2023-01-01 23:20:00,76.97
2023-01-02 00:40:00,77.75
2023-01-02 02:00:00,78.31
2023-01-02 03:10:00,79.22
2023-01-02 04:20:00,79.85
2023-01-02 05:30:00,80.6
2023-01-02 06:40:00,81.51
2023-01-02 07:50:00,82.25
2023-01-02 09:00:00,82.34
2023-01-02 10:10:00,82.37
2023-01-02 11:20:00,82.33
2023-01-02 12:30:00,81.15
2023-01-02 13:40:00,80.16
2023-01-02 14:50:00,78.96
2023-01-02 16:00:00,78.37
2023-01-02 17:10:00,78.17
2023-01-02 18:20:00,78.21
2023-01-02 19:30:00,78.93
2023-01-02 20:40:00,79.99
2023-01-02 21:50:00,80.74
2023-01-02 23:00:00,81.53
2023-01-03 00:20:00,82.28
2023-01-03 01:30:00,82.99
2023-01-03 02:40:00,84.02
2023-01-03 03:50:00,84.76
2023-01-03 05:00:00,85.4
2023-01-03 06:10:00,86.11
2023-01-03 07:20:00,86.66
2023-01-03 08:30:00,86.7
2023-01-03 09:40:00,86.7
2023-01-03 10:50:00,86.5
2023-01-03 12:00:00,84.19
2023-01-03 13:10:00,81.7
2023-01-03 14:20:00,79.25
2023-01-03 15:30:00,76.55
2023-01-03 16:40:00,74.96
2023-01-03 17:50:00,74.72
2023-01-03 19:00:00,74.73
2023-01-03 20:10:00,74.77
2023-01-03 21:20:00,74.88
2023-01-03 22:30:00,75.59
2023-01-03 23:40:00,76.39
2023-01-04 01:00:00,77.3
2023-01-04 02:10:00,78.01
2023-01-04 03:20:00,78.68
2023-01-04 04:30:00,79.32
2023-01-04 05:40:00,79.79
2023-01-04 06:50:00,80.58
2023-01-04 08:00:00,80.97
2023-01-04 09:10:00,81.13
2023-01-04 10:20:00,81.21
2023-01-04 11:30:00,80.18
2023-01-04 12:40:00,79.07
2023-01-04 13:50:00,77.52
2023-01-04 15:00:00,76.33
2023-01-04 16:10:00,75.5
2023-01-04 17:20:00,74.74
2023-01-04 18:30:00,74.74
2023-01-04 19:40:00,74.74
2023-01-04 20:50:00,74.74
2023-01-04 22:00:00,74.78
2023-01-04 23:10:00,74.99
2023-01-05 00:30:00,75.73
2023-01-05 01:40:00,76.25
2023-01-05 02:50:00,76.6
2023-01-05 04:00:00,77.08
2023-01-05 05:10:00,77.79
2023-01-05 06:20:00,78.07
2023-01-05 07:30:00,78.43
2023-01-05 08:40:00,78.47
2023-01-05 09:50:00,78.47
2023-01-05 11:00:00,78.35
2023-01-05 12:10:00,77.04
2023-01-05 13:20:00,75.14
2023-01-05 14:30:00,71.49
2023-01-05 15:40:00,66.65
2023-01-05 16:50:00,65.57
2023-01-05 18:00:00,65.5
2023-01-05 19:10:00,65.5
2023-01-05 20:20:00,65.66
2023-01-05 21:30:00,67.32
2023-01-05 22:40:00,69.77
2023-01-05 23:50:00,72.89
2023-01-06 01:10:00,77
2023-01-06 02:20:00,80.43
2023-01-06 03:30:00,84.86
2023-01-06 04:40:00,86.4
2023-01-06 05:50:00,86.8
2023-01-06 07:00:00,87.19
2023-01-06 08:10:00,87.23
2023-01-06 09:20:00,87.23
2023-01-06 10:30:00,87.23
2023-01-06 11:40:00,86.84
2023-01-06 12:50:00,84.78
2023-01-06 14:00:00,83.28
2023-01-06 15:10:00,79.91
2023-01-06 16:20:00,76.62
2023-01-06 17:30:00,75.59
2023-01-06 18:40:00,75.43
2023-01-06 19:50:00,75.43
2023-01-06 21:00:00,76.62
2023-01-06 22:10:00,78.96
2023-01-06 23:20:00,80.41
2023-01-07 00:40:00,81.76
2023-01-07 01:50:00,83.19
2023-01-07 03:00:00,84.64
2023-01-07 04:10:00,86.14
2023-01-07 05:20:00,88.35
2023-01-07 06:30:00,90.17
2023-01-07 07:40:00,90.88
2023-01-07 08:50:00,91.27
2023-01-07 10:00:00,91.48
2023-01-07 11:10:00,87.45
2023-01-07 12:20:00,73.74
2023-01-07 13:30:00,55.27
2023-01-07 14:40:00,40.41
2023-01-07 15:50:00,30.61
2023-01-07 17:10:00,29.26
2023-01-07 18:20:00,32.7
2023-01-07 19:30:00,40.13
2023-01-07 20:40:00,48.41
2023-01-07 21:50:00,56.5
2023-01-07 23:00:00,63.97
2023-01-08 00:20:00,71.42
2023-01-08 01:30:00,77.19
2023-01-08 02:40:00,80.62
2023-01-08 03:50:00,82.48
2023-01-08 05:00:00,83.43
2023-01-08 06:10:00,84.25
2023-01-08 07:20:00,86
2023-01-08 08:30:00,87.27
2023-01-08 09:40:00,88.18
2023-01-08 10:50:00,88.22
2023-01-08 12:00:00,87.58
2023-01-08 13:10:00,84.88
2023-01-08 14:20:00,79.33
2023-01-08 15:30:00,69.65
2023-01-08 16:40:00,65.41
2023-01-08 17:50:00,65.09
2023-01-08 19:00:00,67.31
2023-01-08 20:10:00,69.8
2023-01-08 21:20:00,73.45
2023-01-08 22:30:00,77.33
2023-01-08 23:40:00,81.01
2023-01-09 01:00:00,83.14
2023-01-09 02:10:00,83.85
2023-01-09 03:20:00,84.44
2023-01-09 04:30:00,85
2023-01-09 05:40:00,85.75
2023-01-09 06:50:00,86.74
2023-01-09 08:00:00,87.37
2023-01-09 09:10:00,87.77
2023-01-09 10:20:00,87.81
2023-01-09 11:30:00,87.49
2023-01-09 12:40:00,85.51
2023-01-09 13:50:00,80.49
2023-01-09 15:00:00,71.5
2023-01-09 16:10:00,64.84
2023-01-09 17:20:00,64.24
2023-01-09 18:30:00,65.87
2023-01-09 19:40:00,68.68
2023-01-09 20:50:00,72.01
2023-01-09 22:00:00,74.5
2023-01-09 23:10:00,75.06
2023-01-10 00:30:00,75.72
2023-01-10 01:40:00,76.56
2023-01-10 02:50:00,77.82
2023-01-10 04:00:00,79.68
2023-01-10 05:10:00,81.3
2023-01-10 06:20:00,82.56
2023-01-10 07:30:00,83.47
2023-01-10 08:40:00,83.91
2023-01-10 09:50:00,84.34
2023-01-10 11:00:00,84.34
2023-01-10 12:10:00,84.03
2023-01-10 13:20:00,81.26
2023-01-10 14:30:00,74.45
2023-01-10 15:40:00,64.98
2023-01-10 16:50:00,62.65
2023-01-10 18:00:00,63.24
2023-01-10 19:10:00,66.29
2023-01-10 20:20:00,69.11
2023-01-10 21:30:00,72.24
2023-01-10 22:40:00,73.15
