时间,索力值(kN)
2023-01-01 01:10:00,5384.802
2023-01-01 02:20:00,5384.154
2023-01-01 03:30:00,5383.85
2023-01-01 04:40:00,5383.706
2023-01-01 05:50:00,5383.562
2023-01-01 07:00:00,5383.666
2023-01-01 08:10:00,5383.626
2023-01-01 09:20:00,5383.65
2023-01-01 10:30:00,5384.034
2023-01-01 11:40:00,5384.266
2023-01-01 12:50:00,5384.418
2023-01-01 14:00:00,5384.506
2023-01-01 15:10:00,5384.578
2023-01-01 16:20:00,5384.666
2023-01-01 17:30:00,5384.698
2023-01-01 18:40:00,5384.586
2023-01-01 19:50:00,5384.666
2023-01-01 21:00:00,5384.53
2023-01-01 22:10:00,5384.33
2023-01-01 23:20:00,5384.298
2023-01-02 00:40:00,5384.298
2023-01-02 02:00:00,5384.13
2023-01-02 03:10:00,5383.834
2023-01-02 04:20:00,5383.738
2023-01-02 05:30:00,5383.714
2023-01-02 06:40:00,5383.65
2023-01-02 07:50:00,5383.722
2023-01-02 09:00:00,5383.89
2023-01-02 10:10:00,5384.114
2023-01-02 11:30:00,5384.266
2023-01-02 12:40:00,5384.578
2023-01-02 13:50:00,5384.97
2023-01-02 15:00:00,5384.618
2023-01-02 16:10:00,5384.714
2023-01-02 17:20:00,5384.778
2023-01-02 18:30:00,5384.426
2023-01-02 19:40:00,5384.306
2023-01-02 20:50:00,5383.986
2023-01-02 22:00:00,5383.834
2023-01-02 23:10:00,5383.722
2023-01-03 00:30:00,5383.578
2023-01-03 01:40:00,5383.386
2023-01-03 02:50:00,5383.474
2023-01-03 04:00:00,5383.33
2023-01-03 05:10:00,5383.306
2023-01-03 06:20:00,5383.466
2023-01-03 07:30:00,5383.546
2023-01-03 08:40:00,5383.578
2023-01-03 09:50:00,5383.962
2023-01-03 11:00:00,5384.026
2023-01-03 12:10:00,5384.57
2023-01-03 13:20:00,5384.882
2023-01-03 14:30:00,5385.13
2023-01-03 15:40:00,5385.322
2023-01-03 16:50:00,5385.298
2023-01-03 18:00:00,5385.218
2023-01-03 19:10:00,5385.13
2023-01-03 20:20:00,5385.042
2023-01-03 21:30:00,5384.778
2023-01-03 22:40:00,5384.658
2023-01-03 23:50:00,5384.458
2023-01-04 01:10:00,5384.266
2023-01-04 02:20:00,5384.138
2023-01-04 03:30:00,5384.09
2023-01-04 04:40:00,5383.978
2023-01-04 05:50:00,5384.01
2023-01-04 07:00:00,5384.058
2023-01-04 08:10:00,5384.122
2023-01-04 09:20:00,5384.194
2023-01-04 10:30:00,5384.498
2023-01-04 11:40:00,5384.618
2023-01-04 12:50:00,5384.778
2023-01-04 14:00:00,5385.194
2023-01-04 15:10:00,5385.354
2023-01-04 16:20:00,5385.426
2023-01-04 17:30:00,5385.49
2023-01-04 18:40:00,5385.45
2023-01-04 19:50:00,5385.306
2023-01-04 21:00:00,5385.13
2023-01-04 22:10:00,5384.882
2023-01-04 23:20:00,5384.746
2023-01-05 00:40:00,5384.602
2023-01-05 01:50:00,5384.418
2023-01-05 03:00:00,5384.434
2023-01-05 04:10:00,5384.282
2023-01-05 05:20:00,5384.346
2023-01-05 06:30:00,5384.282
2023-01-05 07:40:00,5384.402
2023-01-05 08:50:00,5384.674
2023-01-05 10:00:00,5384.778
2023-01-05 11:10:00,5385.098
2023-01-05 12:20:00,5385.034
2023-01-05 13:30:00,5385.226
2023-01-05 14:40:00,5385.546
2023-01-05 15:50:00,5385.77
2023-01-05 17:00:00,5386.01
2023-01-05 18:10:00,5386.282
2023-01-05 19:20:00,5385.818
2023-01-05 20:30:00,5385.738
2023-01-05 21:40:00,5384.826
2023-01-05 22:50:00,5384.154
2023-01-06 00:10:00,5383.77
2023-01-06 01:20:00,5383.45
2023-01-06 02:30:00,5383.274
2023-01-06 03:40:00,5382.898
2023-01-06 04:50:00,5382.866
2023-01-06 06:00:00,5382.746
2023-01-06 07:10:00,5382.906
2023-01-06 08:20:00,5382.89
2023-01-06 09:30:00,5382.746
2023-01-06 10:40:00,5383.186
2023-01-06 11:50:00,5383.698
2023-01-06 13:00:00,5384.154
2023-01-06 14:10:00,5384.554
2023-01-06 15:20:00,5384.714
2023-01-06 16:30:00,5385.434
2023-01-06 17:40:00,5385.306
2023-01-06 18:50:00,5385.354
2023-01-06 20:00:00,5384.778
2023-01-06 21:10:00,5384.218
2023-01-06 22:20:00,5383.706
2023-01-06 23:30:00,5383.162
2023-01-07 00:50:00,5382.898
2023-01-07 02:00:00,5382.578
2023-01-07 03:10:00,5382.378
2023-01-07 04:20:00,5382.018
2023-01-07 05:30:00,5381.914
2023-01-07 06:40:00,5382.186
2023-01-07 07:50:00,5382.458
2023-01-07 09:00:00,5381.722
2023-01-07 10:10:00,5382.634
2023-01-07 11:20:00,5384.554
2023-01-07 12:30:00,5385.922
2023-01-07 13:40:00,5387.194
2023-01-07 14:50:00,5388.458
2023-01-07 16:00:00,5387.866
2023-01-07 17:20:00,5387.114
2023-01-07 18:30:00,5386.25
2023-01-07 19:40:00,5385.37
2023-01-07 20:50:00,5384.746
2023-01-07 22:00:00,5384.058
2023-01-07 23:10:00,5383.498
2023-01-08 00:30:00,5383.018
2023-01-08 01:40:00,5382.634
2023-01-08 02:50:00,5382.538
2023-01-08 04:00:00,5382.362
2023-01-08 05:10:00,5382.314
2023-01-08 06:20:00,5382.402
2023-01-08 07:30:00,5382.298
2023-01-08 08:40:00,5382.042
2023-01-08 09:50:00,5382.138
2023-01-08 11:00:00,5382.506
2023-01-08 12:10:00,5383.162
2023-01-08 13:20:00,5383.786
2023-01-08 14:30:00,5384.586
2023-01-08 15:40:00,5385.914
2023-01-08 16:50:00,5385.242
2023-01-08 18:00:00,5384.93
2023-01-08 19:10:00,5384.458
2023-01-08 20:20:00,5384.074
2023-01-08 21:30:00,5383.562
2023-01-08 22:40:00,5383.234
2023-01-08 23:50:00,5382.97
2023-01-09 01:10:00,5382.986
2023-01-09 02:20:00,5382.754
2023-01-09 03:30:00,5382.754
2023-01-09 04:40:00,5382.394
2023-01-09 05:50:00,5382.498
2023-01-09 07:00:00,5382.202
2023-01-09 08:10:00,5382.258
2023-01-09 09:20:00,5382.562
2023-01-09 10:30:00,5382.954
2023-01-09 11:40:00,5383.082
2023-01-09 12:50:00,5383.61
2023-01-09 14:00:00,5384.602
2023-01-09 15:10:00,5385.122
2023-01-09 16:20:00,5385.058
2023-01-09 17:30:00,5384.794
2023-01-09 18:40:00,5384.314
2023-01-09 19:50:00,5383.946
2023-01-09 21:00:00,5383.682
2023-01-09 22:10:00,5383.546
2023-01-09 23:20:00,5383.618
2023-01-10 00:40:00,5383.322
2023-01-10 01:50:00,5383.138
2023-01-10 03:00:00,5382.97
2023-01-10 04:10:00,5382.914
2023-01-10 05:20:00,5382.618
