时间,索力值(kN)
2023-01-01 01:10:00,2722.422
2023-01-01 02:20:00,2721.774
2023-01-01 03:30:00,2721.47
2023-01-01 04:40:00,2721.326
2023-01-01 05:50:00,2721.182
2023-01-01 07:00:00,2721.286
2023-01-01 08:10:00,2721.246
2023-01-01 09:20:00,2721.27
2023-01-01 10:30:00,2721.654
2023-01-01 11:40:00,2721.886
2023-01-01 12:50:00,2722.038
2023-01-01 14:00:00,2722.126
2023-01-01 15:10:00,2722.198
2023-01-01 16:20:00,2722.286
2023-01-01 17:30:00,2722.318
2023-01-01 18:40:00,2722.206
2023-01-01 19:50:00,2722.286
2023-01-01 21:00:00,2722.15
2023-01-01 22:10:00,2721.95
2023-01-01 23:20:00,2721.918
2023-01-02 00:40:00,2721.918
2023-01-02 02:00:00,2721.75
2023-01-02 03:10:00,2721.454
2023-01-02 04:20:00,2721.358
2023-01-02 05:30:00,2721.334
2023-01-02 06:40:00,2721.27
2023-01-02 07:50:00,2721.342
2023-01-02 09:00:00,2721.51
2023-01-02 10:10:00,2721.734
2023-01-02 11:30:00,2721.886
2023-01-02 12:40:00,2722.198
2023-01-02 13:50:00,2722.59
2023-01-02 15:00:00,2722.238
2023-01-02 16:10:00,2722.334
2023-01-02 17:20:00,2722.398
2023-01-02 18:30:00,2722.046
2023-01-02 19:40:00,2721.926
2023-01-02 20:50:00,2721.606
2023-01-02 22:00:00,2721.454
2023-01-02 23:10:00,2721.342
2023-01-03 00:30:00,2721.198
2023-01-03 01:40:00,2721.006
2023-01-03 02:50:00,2721.094
2023-01-03 04:00:00,2720.95
2023-01-03 05:10:00,2720.926
2023-01-03 06:20:00,2721.086
2023-01-03 07:30:00,2721.166
2023-01-03 08:40:00,2721.198
2023-01-03 09:50:00,2721.582
2023-01-03 11:00:00,2721.646
2023-01-03 12:10:00,2722.19
2023-01-03 13:20:00,2722.502
2023-01-03 14:30:00,2722.75
2023-01-03 15:40:00,2722.942
2023-01-03 16:50:00,2722.918
2023-01-03 18:00:00,2722.838
2023-01-03 19:10:00,2722.75
2023-01-03 20:20:00,2722.662
2023-01-03 21:30:00,2722.398
2023-01-03 22:40:00,2722.278
2023-01-03 23:50:00,2722.078
2023-01-04 01:10:00,2721.886
2023-01-04 02:20:00,2721.758
2023-01-04 03:30:00,2721.71
2023-01-04 04:40:00,2721.598
2023-01-04 05:50:00,2721.63
2023-01-04 07:00:00,2721.678
2023-01-04 08:10:00,2721.742
2023-01-04 09:20:00,2721.814
2023-01-04 10:30:00,2722.118
2023-01-04 11:40:00,2722.238
2023-01-04 12:50:00,2722.398
2023-01-04 14:00:00,2722.814
2023-01-04 15:10:00,2722.974
2023-01-04 16:20:00,2723.046
2023-01-04 17:30:00,2723.11
2023-01-04 18:40:00,2723.07
2023-01-04 19:50:00,2722.926
2023-01-04 21:00:00,2722.75
2023-01-04 22:10:00,2722.502
2023-01-04 23:20:00,2722.366
2023-01-05 00:40:00,2722.222
2023-01-05 01:50:00,2722.038
2023-01-05 03:00:00,2722.054
2023-01-05 04:10:00,2721.902
2023-01-05 05:20:00,2721.966
2023-01-05 06:30:00,2721.902
2023-01-05 07:40:00,2722.022
2023-01-05 08:50:00,2722.294
2023-01-05 10:00:00,2722.398
2023-01-05 11:10:00,2722.718
2023-01-05 12:20:00,2722.654
2023-01-05 13:30:00,2722.846
2023-01-05 14:40:00,2723.166
2023-01-05 15:50:00,2723.39
2023-01-05 17:00:00,2723.63
2023-01-05 18:10:00,2723.902
2023-01-05 19:20:00,2723.438
2023-01-05 20:30:00,2723.358
2023-01-05 21:40:00,2722.446
