时间,索力值(kN)
2023-01-01 01:10:00,2250.032
2023-01-01 02:20:00,2249.384
2023-01-01 03:30:00,2249.08
2023-01-01 04:40:00,2248.936
2023-01-01 05:50:00,2248.792
2023-01-01 07:00:00,2248.896
2023-01-01 08:10:00,2248.856
2023-01-01 09:20:00,2248.88
2023-01-01 10:30:00,2249.264
2023-01-01 11:40:00,2249.496
2023-01-01 12:50:00,2249.648
2023-01-01 14:00:00,2249.736
2023-01-01 15:10:00,2249.808
2023-01-01 16:20:00,2249.896
2023-01-01 17:30:00,2249.928
2023-01-01 18:40:00,2249.816
2023-01-01 19:50:00,2249.896
2023-01-01 21:00:00,2249.76
2023-01-01 22:10:00,2249.56
2023-01-01 23:20:00,2249.528
2023-01-02 00:40:00,2249.528
2023-01-02 02:00:00,2249.36
2023-01-02 03:10:00,2249.064
2023-01-02 04:20:00,2248.968
2023-01-02 05:30:00,2248.944
2023-01-02 06:40:00,2248.88
2023-01-02 07:50:00,2248.952
2023-01-02 09:00:00,2249.12
2023-01-02 10:10:00,2249.344
2023-01-02 11:30:00,2249.496
2023-01-02 12:40:00,2249.808
2023-01-02 13:50:00,2250.2
2023-01-02 15:00:00,2249.848
2023-01-02 16:10:00,2249.944
2023-01-02 17:20:00,2250.008
2023-01-02 18:30:00,2249.656
2023-01-02 19:40:00,2249.536
2023-01-02 20:50:00,2249.216
2023-01-02 22:00:00,2249.064
2023-01-02 23:10:00,2248.952
2023-01-03 00:30:00,2248.808
2023-01-03 01:40:00,2248.616
2023-01-03 02:50:00,2248.704
2023-01-03 04:00:00,2248.56
2023-01-03 05:10:00,2248.536
2023-01-03 06:20:00,2248.696
2023-01-03 07:30:00,2248.776
2023-01-03 08:40:00,2248.808
2023-01-03 09:50:00,2249.192
2023-01-03 11:00:00,2249.256
2023-01-03 12:10:00,2249.8
2023-01-03 13:20:00,2250.112
2023-01-03 14:30:00,2250.36
2023-01-03 15:40:00,2250.552
2023-01-03 16:50:00,2250.528
2023-01-03 18:00:00,2250.448
2023-01-03 19:10:00,2250.36
2023-01-03 20:20:00,2250.272
2023-01-03 21:30:00,2250.008
2023-01-03 22:40:00,2249.888
2023-01-03 23:50:00,2249.688
2023-01-04 01:10:00,2249.496
2023-01-04 02:20:00,2249.368
2023-01-04 03:30:00,2249.32
2023-01-04 04:40:00,2249.208
2023-01-04 05:50:00,2249.24
2023-01-04 07:00:00,2249.288
2023-01-04 08:10:00,2249.352
2023-01-04 09:20:00,2249.424
2023-01-04 10:30:00,2249.728
2023-01-04 11:40:00,2249.848
2023-01-04 12:50:00,2250.008
2023-01-04 14:00:00,2250.424
2023-01-04 15:10:00,2250.584
2023-01-04 16:20:00,2250.656
2023-01-04 17:30:00,2250.72
2023-01-04 18:40:00,2250.68
2023-01-04 19:50:00,2250.536
