时间,挠度(mm)
2023-01-01 00:50:00,-14.15
2023-01-01 01:40:00,-13.92
2023-01-01 02:30:00,-15.97
2023-01-01 03:20:00,-17.25
2023-01-01 04:10:00,-18.49
2023-01-01 05:00:00,-22.19
2023-01-01 05:50:00,-20.17
2023-01-01 06:40:00,-21.16
2023-01-01 07:30:00,-18.86
2023-01-01 08:20:00,-24
2023-01-01 09:10:00,-21.7
2023-01-01 10:30:00,-20.51
2023-01-01 12:10:00,-22.3
2023-01-01 14:10:00,-21.98
2023-01-01 15:00:00,-21.27
2023-01-01 16:00:00,-19.52
2023-01-01 16:50:00,-18.38
2023-01-01 17:40:00,-21.72
2023-01-01 18:30:00,-20.3
2023-01-01 19:20:00,-20.78
2023-01-01 20:10:00,-21.19
2023-01-01 21:00:00,-19.26
2023-01-01 21:50:00,-20.5
2023-01-02 00:20:00,-23.68
2023-01-02 01:20:00,-21.42
2023-01-02 02:10:00,-19.17
2023-01-02 03:00:00,-24.04
2023-01-02 03:50:00,-22.8
2023-01-02 04:40:00,-21.47
2023-01-02 05:30:00,-24.14
2023-01-02 06:20:00,-21.46
2023-01-02 07:10:00,-24.57
2023-01-02 08:00:00,-22.58
2023-01-02 08:50:00,-23.53
2023-01-02 09:40:00,-25.42
2023-01-02 10:30:00,-22.49
2023-01-02 11:20:00,-22.93
2023-01-02 12:10:00,-23.05
2023-01-02 13:00:00,-22.36
2023-01-02 13:50:00,-22.04
2023-01-02 14:40:00,-18.73
2023-01-02 15:30:00,-21.08
2023-01-02 18:40:00,-18.53
2023-01-02 19:30:00,-18.24
2023-01-02 20:20:00,-22.73
2023-01-02 21:10:00,-19.61
2023-01-02 22:00:00,-22.47
2023-01-02 22:50:00,-21.53
2023-01-02 23:40:00,-22.15
2023-01-03 00:40:00,-24.22
2023-01-03 01:30:00,-23.11
2023-01-03 02:20:00,-22.98
2023-01-03 03:10:00,-25.7
2023-01-03 04:00:00,-23.56
2023-01-03 04:50:00,-24.48
2023-01-03 05:40:00,-26.17
2023-01-03 06:30:00,-26.97
2023-01-03 07:20:00,-24.91
2023-01-03 08:10:00,-25.29
2023-01-03 09:00:00,-27.58
2023-01-03 09:50:00,-22.86
2023-01-03 10:40:00,-24.48
2023-01-03 11:30:00,-26.2
2023-01-03 12:20:00,-21.48
2023-01-03 13:10:00,-22.98
2023-01-03 14:00:00,-24.09
2023-01-03 14:50:00,-20.01
2023-01-03 15:40:00,-21.31
2023-01-03 17:40:00,-20.26
2023-01-03 19:10:00,-18.43
2023-01-03 20:00:00,-17.51
2023-01-03 20:50:00,-17.05
2023-01-03 23:40:00,-21.46
2023-01-04 00:40:00,-18.67
2023-01-04 01:30:00,-20.18
2023-01-04 02:20:00,-23.24
2023-01-04 03:10:00,-22.74
2023-01-04 04:00:00,-23.28
2023-01-04 04:50:00,-21.73
2023-01-04 05:40:00,-23.97
2023-01-04 06:30:00,-21.01
2023-01-04 07:20:00,-21.16
2023-01-04 08:10:00,-23.21
2023-01-04 09:00:00,-23.6
2023-01-04 09:50:00,-25.1
2023-01-04 10:40:00,-22.26
2023-01-04 11:30:00,-23.23
2023-01-04 12:20:00,-20.8
2023-01-04 13:10:00,-23.54
2023-01-04 14:00:00,-19.07
2023-01-04 14:50:00,-21.08
2023-01-04 15:40:00,-20.93
2023-01-04 19:10:00,-19.21
2023-01-04 20:40:00,-16.43
2023-01-04 21:30:00,-19.51
2023-01-04 22:20:00,-17.3
2023-01-04 23:10:00,-20.65
2023-01-05 00:10:00,-21.11
2023-01-05 01:00:00,-21.28
2023-01-05 01:50:00,-19.78
2023-01-05 02:40:00,-17.17
2023-01-05 03:30:00,-18.89
2023-01-05 04:20:00,-22
2023-01-05 05:10:00,-22.35
2023-01-05 06:30:00,-20.73
2023-01-05 07:20:00,-20.2
2023-01-05 08:10:00,-21.17
2023-01-05 09:00:00,-19.97
2023-01-05 10:00:00,-18.86
2023-01-05 12:10:00,-21.14
2023-01-05 13:00:00,-21.39
2023-01-05 13:50:00,-18.17
2023-01-05 14:40:00,-16.14
2023-01-05 15:40:00,-16.87
2023-01-05 16:30:00,-16.12
2023-01-05 17:20:00,-16.56
2023-01-05 18:10:00,-14.28
2023-01-05 19:00:00,-14.35
2023-01-05 19:50:00,-12.21
2023-01-05 20:40:00,-14.07
2023-01-05 21:30:00,-15.9
2023-01-05 22:20:00,-18.76
2023-01-05 23:10:00,-19.41
2023-01-06 00:10:00,-18.29
2023-01-06 01:00:00,-21.64
2023-01-06 02:10:00,-24.26
2023-01-06 03:00:00,-25.86
2023-01-06 03:50:00,-24.05
2023-01-06 04:40:00,-24.7
2023-01-06 05:30:00,-22.86
2023-01-06 06:20:00,-26.43
2023-01-06 07:10:00,-27.33
2023-01-06 08:00:00,-24.62
2023-01-06 08:50:00,-27.5
2023-01-06 09:40:00,-28.4
2023-01-06 10:30:00,-28.03
2023-01-06 11:30:00,-26.15
2023-01-06 12:20:00,-23.28
2023-01-06 13:10:00,-26.24
2023-01-06 14:00:00,-22.18
2023-01-06 14:50:00,-21
2023-01-06 15:40:00,-21.39
2023-01-06 17:50:00,-19.63
2023-01-06 18:50:00,-20.42
2023-01-06 21:50:00,-22.29
2023-01-06 22:40:00,-22.7
2023-01-06 23:30:00,-20.47
2023-01-07 00:30:00,-23.07
2023-01-07 01:20:00,-22.49
2023-01-07 02:10:00,-23.28
2023-01-07 03:00:00,-27.36
2023-01-07 03:50:00,-24.35
2023-01-07 04:40:00,-28.12
2023-01-07 05:30:00,-29.88
2023-01-07 06:20:00,-29.06
2023-01-07 07:10:00,-28.1
2023-01-07 08:00:00,-27.34
2023-01-07 09:00:00,-29.35
2023-01-07 09:50:00,-30.29
2023-01-07 10:40:00,-29.95
2023-01-07 11:30:00,-27.52
2023-01-07 12:20:00,-25.05
2023-01-07 13:10:00,-21.55
2023-01-07 14:10:00,-14.31
2023-01-07 15:00:00,-11.98
2023-01-07 15:50:00,-8.84
2023-01-07 16:50:00,-6
2023-01-07 17:40:00,-6.94
2023-01-07 18:30:00,-6.41
2023-01-07 19:20:00,-11.29
2023-01-07 20:10:00,-12.59
2023-01-07 21:00:00,-12.05
2023-01-07 21:50:00,-17.76
2023-01-07 22:40:00,-19.26
2023-01-07 23:30:00,-21.71
2023-01-08 00:30:00,-22.41
