时间,挠度(mm)
2023-01-01 00:50:00,-45.28
2023-01-01 01:40:00,-45.05
2023-01-01 02:30:00,-46.8
2023-01-01 03:20:00,-49.99
2023-01-01 04:10:00,-49.28
2023-01-01 05:00:00,-48.7
2023-01-01 05:50:00,-48.81
2023-01-01 06:40:00,-47.56
2023-01-01 07:30:00,-48.29
2023-01-01 08:20:00,-48.71
2023-01-01 09:10:00,-51.23
2023-01-01 10:30:00,-54.85
2023-01-01 12:10:00,-51.34
2023-01-01 14:10:00,-48.6
2023-01-01 15:00:00,-50.19
2023-01-01 16:00:00,-51.03
2023-01-01 16:50:00,-48
2023-01-01 17:40:00,-50.03
2023-01-01 18:30:00,-50.52
2023-01-01 19:20:00,-51.55
2023-01-01 20:10:00,-50.52
2023-01-01 21:00:00,-51.72
2023-01-01 21:50:00,-49.8
2023-01-02 00:20:00,-51.85
2023-01-02 01:20:00,-48.82
2023-01-02 02:10:00,-53.25
2023-01-02 03:00:00,-51.2
2023-01-02 03:50:00,-49.35
2023-01-02 04:40:00,-53.99
2023-01-02 05:30:00,-52.65
2023-01-02 06:20:00,-51.08
2023-01-02 07:10:00,-49.94
2023-01-02 08:00:00,-53.96
2023-01-02 08:50:00,-52.46
2023-01-02 09:40:00,-50.86
2023-01-02 10:30:00,-54.95
2023-01-02 11:20:00,-54.95
2023-01-02 12:10:00,-50.88
2023-01-02 13:00:00,-49.47
2023-01-02 13:50:00,-52.3
2023-01-02 14:40:00,-51.37
2023-01-02 15:30:00,-47.29
2023-01-02 18:40:00,-48.97
2023-01-02 19:30:00,-48.69
2023-01-02 20:20:00,-48.83
2023-01-02 21:10:00,-53.03
2023-01-02 22:00:00,-49.88
2023-01-02 22:50:00,-50.58
2023-01-02 23:40:00,-53.59
2023-01-03 00:40:00,-51.29
2023-01-03 01:30:00,-56.43
2023-01-03 02:20:00,-54.24
2023-01-03 03:10:00,-54.89
2023-01-03 04:00:00,-52.58
2023-01-03 04:50:00,-54.45
2023-01-03 05:40:00,-52.61
2023-01-03 06:30:00,-55.37
2023-01-03 07:20:00,-54.89
2023-01-03 08:10:00,-54.79
2023-01-03 09:00:00,-53.26
2023-01-03 09:50:00,-55.17
2023-01-03 10:40:00,-51.98
2023-01-03 11:30:00,-51.64
2023-01-03 12:20:00,-51.62
2023-01-03 13:10:00,-54.05
2023-01-03 14:00:00,-50.11
2023-01-03 14:50:00,-48.27
2023-01-03 15:40:00,-51.73
2023-01-03 17:40:00,-47.13
2023-01-03 19:10:00,-48.91
2023-01-03 20:00:00,-46.06
2023-01-03 20:50:00,-48.94
2023-01-03 23:40:00,-49
2023-01-04 00:40:00,-48.3
2023-01-04 01:30:00,-49.1
2023-01-04 02:20:00,-53.29
2023-01-04 03:10:00,-52.78
2023-01-04 04:00:00,-50.18
2023-01-04 04:50:00,-51.3
2023-01-04 05:40:00,-53.23
2023-01-04 06:30:00,-54.46
2023-01-04 07:20:00,-52.43
2023-01-04 08:10:00,-51.88
2023-01-04 09:00:00,-50.9
2023-01-04 09:50:00,-54.22
2023-01-04 10:40:00,-50.76
2023-01-04 11:30:00,-53.32
2023-01-04 12:20:00,-51.31
2023-01-04 13:10:00,-51.45
2023-01-04 14:00:00,-48.5
2023-01-04 14:50:00,-49.2
2023-01-04 15:40:00,-47.98
2023-01-04 19:10:00,-48.39
2023-01-04 20:40:00,-49.13
2023-01-04 21:30:00,-49.21
2023-01-04 22:20:00,-49.16
2023-01-04 23:10:00,-46.49
2023-01-05 00:10:00,-48.23
2023-01-05 01:00:00,-48.06
2023-01-05 01:50:00,-46.95
2023-01-05 02:40:00,-47.99
2023-01-05 03:30:00,-51.2
2023-01-05 04:20:00,-46.83
2023-01-05 05:10:00,-47.58
2023-01-05 06:30:00,-47.56
2023-01-05 07:20:00,-50.58
2023-01-05 08:10:00,-49.54
2023-01-05 09:00:00,-50.18
2023-01-05 10:00:00,-51.61
2023-01-05 12:10:00,-47.58
2023-01-05 13:00:00,-48.92
2023-01-05 13:50:00,-45.35
2023-01-05 14:40:00,-48.3
2023-01-05 15:40:00,-44.18
2023-01-05 16:30:00,-44.55
2023-01-05 17:20:00,-46.75
2023-01-05 18:10:00,-43.82
2023-01-05 19:00:00,-42.47
2023-01-05 19:50:00,-44.48
2023-01-05 20:40:00,-43.86
2023-01-05 21:30:00,-47.97
2023-01-05 22:20:00,-49.38
2023-01-05 23:10:00,-52.19
2023-01-06 00:10:00,-49.41
2023-01-06 01:00:00,-51.73
2023-01-06 02:10:00,-51.01
2023-01-06 03:00:00,-56.15
2023-01-06 03:50:00,-55.53
2023-01-06 04:40:00,-54.99
2023-01-06 05:30:00,-53.08
2023-01-06 06:20:00,-55.56
2023-01-06 07:10:00,-53.06
2023-01-06 08:00:00,-53.39
2023-01-06 08:50:00,-54.84
2023-01-06 09:40:00,-57.14
2023-01-06 10:30:00,-57.68
2023-01-06 11:30:00,-55.69
2023-01-06 12:20:00,-52.61
2023-01-06 13:10:00,-53.54
2023-01-06 14:00:00,-50.55
2023-01-06 14:50:00,-51.43
2023-01-06 15:40:00,-49.44
2023-01-06 17:50:00,-50
2023-01-06 18:50:00,-47.39
2023-01-06 21:50:00,-50.23
2023-01-06 22:40:00,-52.27
2023-01-06 23:30:00,-54.08
2023-01-07 00:30:00,-52.38
2023-01-07 01:20:00,-53.01
2023-01-07 02:10:00,-56.83
2023-01-07 03:00:00,-56.85
2023-01-07 03:50:00,-54.57
2023-01-07 04:40:00,-56.48
2023-01-07 05:30:00,-57.88
2023-01-07 06:20:00,-59.91
2023-01-07 07:10:00,-56.89
2023-01-07 08:00:00,-60.39
2023-01-07 09:00:00,-55.96
2023-01-07 09:50:00,-58.86
2023-01-07 10:40:00,-55.33
2023-01-07 11:30:00,-56.47
2023-01-07 12:20:00,-54.91
2023-01-07 13:10:00,-50.07
2023-01-07 14:10:00,-48.79
2023-01-07 15:00:00,-44.78
2023-01-07 15:50:00,-41.55
2023-01-07 16:50:00,-37.28
2023-01-07 17:40:00,-40.15
2023-01-07 18:30:00,-40.53
2023-01-07 19:20:00,-40.65
2023-01-07 20:10:00,-42.03
2023-01-07 21:00:00,-44.6
2023-01-07 21:50:00,-44.38
2023-01-07 22:40:00,-45.57
2023-01-07 23:30:00,-48.03
2023-01-08 00:30:00,-52.87
2023-01-08 01:20:00,-51.06
2023-01-08 02:30:00,-54.28
2023-01-08 03:20:00,-51.18
2023-01-08 04:10:00,-52.29
2023-01-08 05:00:00,-53.79
2023-01-08 05:50:00,-52.08
2023-01-08 06:40:00,-55.97
2023-01-08 07:30:00,-57.65
2023-01-08 08:20:00,-59.3
2023-01-08 09:10:00,-58.93
2023-01-08 10:00:00,-58.1
2023-01-08 10:50:00,-59.24
2023-01-08 11:40:00,-59.51
2023-01-08 12:30:00,-55.88
2023-01-08 13:20:00,-53.14
2023-01-08 14:10:00,-52.56
2023-01-08 15:00:00,-51.03
2023-01-08 16:00:00,-47.97
2023-01-08 16:50:00,-49.68
2023-01-08 17:40:00,-49.46
2023-01-08 18:30:00,-48.04
2023-01-08 19:20:00,-47.84
2023-01-08 20:10:00,-46.38
2023-01-08 21:10:00,-49.04
2023-01-08 22:00:00,-50.2
2023-01-08 22:50:00,-50.71
2023-01-08 23:40:00,-49.58
2023-01-09 00:40:00,-49.7
2023-01-09 01:30:00,-52.61
2023-01-09 02:20:00,-50.89
2023-01-09 03:10:00,-53.8
2023-01-09 04:00:00,-55.61
2023-01-09 04:50:00,-53.38
2023-01-09 05:40:00,-56.7
2023-01-09 06:30:00,-56.39
2023-01-09 07:20:00,-55.6
2023-01-09 08:10:00,-54.48
2023-01-09 09:00:00,-54.05
2023-01-09 09:50:00,-58.06
2023-01-09 10:40:00,-53.85
2023-01-09 11:30:00,-56.25
2023-01-09 12:20:00,-53.62
2023-01-09 13:10:00,-53.13
2023-01-09 14:00:00,-53.87
2023-01-09 14:50:00,-51.47
2023-01-09 16:00:00,-51.23
