时间,索力值(kN)
2023-01-01 01:10:00,2284.652
2023-01-01 02:20:00,2284.004
2023-01-01 03:30:00,2283.7
2023-01-01 04:40:00,2283.556
2023-01-01 05:50:00,2283.412
2023-01-01 07:00:00,2283.516
2023-01-01 08:10:00,2283.476
2023-01-01 09:20:00,2283.5
2023-01-01 10:30:00,2283.884
2023-01-01 11:40:00,2284.116
2023-01-01 12:50:00,2284.268
2023-01-01 14:00:00,2284.356
2023-01-01 15:10:00,2284.428
2023-01-01 16:20:00,2284.516
2023-01-01 17:30:00,2284.548
2023-01-01 18:40:00,2284.436
2023-01-01 19:50:00,2284.516
2023-01-01 21:00:00,2284.38
2023-01-01 22:10:00,2284.18
2023-01-01 23:20:00,2284.148
2023-01-02 00:40:00,2284.148
2023-01-02 02:00:00,2283.98
2023-01-02 03:10:00,2283.684
2023-01-02 04:20:00,2283.588
2023-01-02 05:30:00,2283.564
2023-01-02 06:40:00,2283.5
2023-01-02 07:50:00,2283.572
2023-01-02 09:00:00,2283.74
2023-01-02 10:10:00,2283.964
2023-01-02 11:30:00,2284.116
2023-01-02 12:40:00,2284.428
2023-01-02 13:50:00,2284.82
2023-01-02 15:00:00,2284.468
2023-01-02 16:10:00,2284.564
2023-01-02 17:20:00,2284.628
2023-01-02 18:30:00,2284.276
2023-01-02 19:40:00,2284.156
2023-01-02 20:50:00,2283.836
2023-01-02 22:00:00,2283.684
2023-01-02 23:10:00,2283.572
2023-01-03 00:30:00,2283.428
2023-01-03 01:40:00,2283.236
2023-01-03 02:50:00,2283.324
2023-01-03 04:00:00,2283.18
2023-01-03 05:10:00,2283.156
2023-01-03 06:20:00,2283.316
2023-01-03 07:30:00,2283.396
2023-01-03 08:40:00,2283.428
2023-01-03 09:50:00,2283.812
2023-01-03 11:00:00,2283.876
2023-01-03 12:10:00,2284.42
2023-01-03 13:20:00,2284.732
2023-01-03 14:30:00,2284.98
2023-01-03 15:40:00,2285.172
2023-01-03 16:50:00,2285.148
2023-01-03 18:00:00,2285.068
2023-01-03 19:10:00,2284.98
2023-01-03 20:20:00,2284.892
2023-01-03 21:30:00,2284.628
2023-01-03 22:40:00,2284.508
2023-01-03 23:50:00,2284.308
2023-01-04 01:10:00,2284.116
2023-01-04 02:20:00,2283.988
2023-01-04 03:30:00,2283.94
2023-01-04 04:40:00,2283.828
2023-01-04 05:50:00,2283.86
2023-01-04 07:00:00,2283.908
2023-01-04 08:10:00,2283.972
2023-01-04 09:20:00,2284.044
2023-01-04 10:30:00,2284.348
2023-01-04 11:40:00,2284.468
2023-01-04 12:50:00,2284.628
2023-01-04 14:00:00,2285.044
2023-01-04 15:10:00,2285.204
2023-01-04 16:20:00,2285.276
2023-01-04 17:30:00,2285.34
2023-01-04 18:40:00,2285.3
2023-01-04 19:50:00,2285.156
2023-01-04 21:00:00,2284.98
2023-01-04 22:10:00,2284.732
2023-01-04 23:20:00,2284.596
2023-01-05 00:40:00,2284.452
2023-01-05 01:50:00,2284.268
2023-01-05 03:00:00,2284.284
2023-01-05 04:10:00,2284.132
2023-01-05 05:20:00,2284.196
2023-01-05 06:30:00,2284.132
2023-01-05 07:40:00,2284.252
2023-01-05 08:50:00,2284.524
2023-01-05 10:00:00,2284.628
2023-01-05 11:10:00,2284.948
2023-01-05 12:20:00,2284.884
2023-01-05 13:30:00,2285.076
2023-01-05 14:40:00,2285.396
2023-01-05 15:50:00,2285.62
2023-01-05 17:00:00,2285.86
2023-01-05 18:10:00,2286.132
2023-01-05 19:20:00,2285.668
2023-01-05 20:30:00,2285.588
2023-01-05 21:40:00,2284.676
2023-01-05 22:50:00,2284.004
2023-01-06 00:10:00,2283.62
2023-01-06 01:20:00,2283.3
2023-01-06 02:30:00,2283.124
2023-01-06 03:40:00,2282.748
2023-01-06 04:50:00,2282.716
2023-01-06 06:00:00,2282.596
2023-01-06 07:10:00,2282.756
2023-01-06 08:20:00,2282.74
2023-01-06 09:30:00,2282.596
2023-01-06 10:40:00,2283.036
2023-01-06 11:50:00,2283.548
2023-01-06 13:00:00,2284.004
2023-01-06 14:10:00,2284.404
2023-01-06 15:20:00,2284.564
2023-01-06 16:30:00,2285.284
2023-01-06 17:40:00,2285.156
2023-01-06 18:50:00,2285.204
2023-01-06 20:00:00,2284.628
2023-01-06 21:10:00,2284.068
2023-01-06 22:20:00,2283.556
2023-01-06 23:30:00,2283.012
2023-01-07 00:50:00,2282.748
2023-01-07 02:00:00,2282.428
2023-01-07 03:10:00,2282.228
2023-01-07 04:20:00,2281.868
2023-01-07 05:30:00,2281.764
2023-01-07 06:40:00,2282.036
2023-01-07 07:50:00,2282.308
2023-01-07 09:00:00,2281.572
2023-01-07 10:10:00,2282.484
2023-01-07 11:20:00,2284.404
2023-01-07 12:30:00,2285.772
2023-01-07 13:40:00,2287.044
2023-01-07 14:50:00,2288.308
2023-01-07 16:00:00,2287.716
2023-01-07 17:20:00,2286.964
2023-01-07 18:30:00,2286.1
2023-01-07 19:40:00,2285.22
2023-01-07 20:50:00,2284.596
2023-01-07 22:00:00,2283.908
2023-01-07 23:10:00,2283.348
2023-01-08 00:30:00,2282.868
2023-01-08 01:40:00,2282.484
2023-01-08 02:50:00,2282.388
2023-01-08 04:00:00,2282.212
2023-01-08 05:10:00,2282.164
2023-01-08 06:20:00,2282.252
2023-01-08 07:30:00,2282.148
2023-01-08 08:40:00,2281.892
2023-01-08 09:50:00,2281.988
2023-01-08 11:00:00,2282.356
2023-01-08 12:10:00,2283.012
2023-01-08 13:20:00,2283.636
2023-01-08 14:30:00,2284.436
2023-01-08 15:40:00,2285.764
2023-01-08 16:50:00,2285.092
2023-01-08 18:00:00,2284.78
2023-01-08 19:10:00,2284.308
2023-01-08 20:20:00,2283.924
2023-01-08 21:30:00,2283.412
2023-01-08 22:40:00,2283.084
2023-01-08 23:50:00,2282.82
2023-01-09 01:10:00,2282.836
2023-01-09 02:20:00,2282.604
2023-01-09 03:30:00,2282.604
2023-01-09 04:40:00,2282.244
2023-01-09 05:50:00,2282.348
2023-01-09 07:00:00,2282.052
2023-01-09 08:10:00,2282.108
2023-01-09 09:20:00,2282.412
2023-01-09 10:30:00,2282.804
2023-01-09 11:40:00,2282.932
