时间,挠度(mm)
2023-01-01 00:50:00,-32.23
2023-01-01 01:40:00,-35.39
2023-01-01 02:30:00,-36.45
2023-01-01 03:20:00,-35.42
2023-01-01 04:10:00,-35.18
2023-01-01 05:00:00,-36.41
2023-01-01 05:50:00,-40.06
2023-01-01 06:40:00,-37.37
2023-01-01 07:30:00,-37.86
2023-01-01 08:20:00,-39.25
2023-01-01 09:10:00,-39.47
2023-01-01 10:30:00,-41.21
2023-01-01 12:10:00,-39.48
2023-01-01 14:10:00,-40.42
2023-01-01 15:00:00,-40.38
2023-01-01 16:00:00,-37.4
2023-01-01 16:50:00,-40.06
2023-01-01 17:40:00,-37.29
2023-01-01 18:30:00,-40.22
2023-01-01 19:20:00,-36.08
2023-01-01 20:10:00,-35.44
2023-01-01 21:00:00,-38.47
2023-01-01 21:50:00,-38.86
2023-01-02 00:20:00,-39.09
2023-01-02 01:20:00,-39
2023-01-02 02:10:00,-38.12
2023-01-02 03:00:00,-42.04
2023-01-02 03:50:00,-38.4
2023-01-02 04:40:00,-37.99
2023-01-02 05:30:00,-41.73
2023-01-02 06:20:00,-41.15
2023-01-02 07:10:00,-40.52
2023-01-02 08:00:00,-38.84
2023-01-02 08:50:00,-40.07
2023-01-02 09:40:00,-41.99
2023-01-02 10:30:00,-41.82
2023-01-02 11:20:00,-41.4
2023-01-02 12:10:00,-41.95
2023-01-02 13:00:00,-38.96
2023-01-02 13:50:00,-37.41
2023-01-02 14:40:00,-40.41
2023-01-02 15:30:00,-39.38
2023-01-02 18:40:00,-37.51
2023-01-02 19:30:00,-39.78
2023-01-02 20:20:00,-39.58
2023-01-02 21:10:00,-39.02
2023-01-02 22:00:00,-41.61
2023-01-02 22:50:00,-40.35
2023-01-02 23:40:00,-42.89
2023-01-03 00:40:00,-42.2
2023-01-03 01:30:00,-41.96
2023-01-03 02:20:00,-42.79
2023-01-03 03:10:00,-41.18
2023-01-03 04:00:00,-42.51
2023-01-03 04:50:00,-42.35
2023-01-03 05:40:00,-44.09
2023-01-03 06:30:00,-44.04
2023-01-03 07:20:00,-41.85
2023-01-03 08:10:00,-45.18
2023-01-03 09:00:00,-42.36
2023-01-03 09:50:00,-40.8
2023-01-03 10:40:00,-44.68
2023-01-03 11:30:00,-43.1
2023-01-03 12:20:00,-39.41
2023-01-03 13:10:00,-40.33
2023-01-03 14:00:00,-37.3
2023-01-03 14:50:00,-40.8
2023-01-03 15:40:00,-35.56
2023-01-03 17:40:00,-35.51
2023-01-03 19:10:00,-36.97
2023-01-03 20:00:00,-35.62
2023-01-03 20:50:00,-38.55
2023-01-03 23:40:00,-35.02
2023-01-04 00:40:00,-39.06
2023-01-04 01:30:00,-37.49
2023-01-04 02:20:00,-38.52
2023-01-04 03:10:00,-41.4
2023-01-04 04:00:00,-42
2023-01-04 04:50:00,-40.98
2023-01-04 05:40:00,-39.02
2023-01-04 06:30:00,-38.63
2023-01-04 07:20:00,-40.63
2023-01-04 08:10:00,-39.28
2023-01-04 09:00:00,-41.85
2023-01-04 09:50:00,-39.14
2023-01-04 10:40:00,-37.83
2023-01-04 11:30:00,-38.84
2023-01-04 12:20:00,-41.79
2023-01-04 13:10:00,-40.61
2023-01-04 14:00:00,-39.19
2023-01-04 14:50:00,-35.18
2023-01-04 15:40:00,-37.49
2023-01-04 19:10:00,-33.15
2023-01-04 20:40:00,-36.41
2023-01-04 21:30:00,-35.99
2023-01-04 22:20:00,-36.08
2023-01-04 23:10:00,-36.68
2023-01-05 00:10:00,-38.81
2023-01-05 01:00:00,-38.66
2023-01-05 01:50:00,-38.26
2023-01-05 02:40:00,-36.45
2023-01-05 03:30:00,-38.16
2023-01-05 04:20:00,-36.97
2023-01-05 05:10:00,-39.55
2023-01-05 06:30:00,-37.65
2023-01-05 07:20:00,-38.24
2023-01-05 08:10:00,-38.95
2023-01-05 09:00:00,-38.78
2023-01-05 10:00:00,-40.52
2023-01-05 12:10:00,-35.93
2023-01-05 13:00:00,-36.17
2023-01-05 13:50:00,-38.32
2023-01-05 14:40:00,-34.93
2023-01-05 15:40:00,-34.69
2023-01-05 16:30:00,-33.25
2023-01-05 17:20:00,-31.76
2023-01-05 18:10:00,-34.9
2023-01-05 19:00:00,-32.79
2023-01-05 19:50:00,-30.34
2023-01-05 20:40:00,-33.4
2023-01-05 21:30:00,-33.86
2023-01-05 22:20:00,-36.35
2023-01-05 23:10:00,-38.67
2023-01-06 00:10:00,-37.58
2023-01-06 01:00:00,-36.99
2023-01-06 02:10:00,-39.61
2023-01-06 03:00:00,-43.07
2023-01-06 03:50:00,-40.45
2023-01-06 04:40:00,-43.36
2023-01-06 05:30:00,-44.57
2023-01-06 06:20:00,-44.49
2023-01-06 07:10:00,-45.39
2023-01-06 08:00:00,-46.02
2023-01-06 08:50:00,-43.35
2023-01-06 09:40:00,-42.65
2023-01-06 10:30:00,-44.51
2023-01-06 11:30:00,-43.09
2023-01-06 12:20:00,-42.29
2023-01-06 13:10:00,-39.23
2023-01-06 14:00:00,-41.53
2023-01-06 14:50:00,-38.03
2023-01-06 15:40:00,-38.11
2023-01-06 17:50:00,-36.41
2023-01-06 18:50:00,-35.14
2023-01-06 21:50:00,-38.31
2023-01-06 22:40:00,-39.31
2023-01-06 23:30:00,-42.23
2023-01-07 00:30:00,-40.49
2023-01-07 01:20:00,-43.12
2023-01-07 02:10:00,-44.05
2023-01-07 03:00:00,-45.84
2023-01-07 03:50:00,-42.73
2023-01-07 04:40:00,-46.27
2023-01-07 05:30:00,-48.76
2023-01-07 06:20:00,-45.06
2023-01-07 07:10:00,-45.74
2023-01-07 08:00:00,-46.99
2023-01-07 09:00:00,-47.49
2023-01-07 09:50:00,-49.18
2023-01-07 10:40:00,-46.98
2023-01-07 11:30:00,-43.5
2023-01-07 12:20:00,-38.63
2023-01-07 13:10:00,-39.04
2023-01-07 14:10:00,-34.43
2023-01-07 15:00:00,-33.04
2023-01-07 15:50:00,-25.66
2023-01-07 16:50:00,-27.02
2023-01-07 17:40:00,-27
2023-01-07 18:30:00,-27.66
2023-01-07 19:20:00,-26.75
2023-01-07 20:10:00,-31.06
2023-01-07 21:00:00,-33.67
2023-01-07 21:50:00,-32.98
2023-01-07 22:40:00,-33.61
2023-01-07 23:30:00,-37.2
2023-01-08 00:30:00,-39.83
2023-01-08 01:20:00,-39.58
2023-01-08 02:30:00,-43.55
2023-01-08 03:20:00,-42.54
2023-01-08 04:10:00,-44.15
2023-01-08 05:00:00,-43.19
2023-01-08 05:50:00,-44.33
2023-01-08 06:40:00,-46.52
2023-01-08 07:30:00,-46.7
2023-01-08 08:20:00,-44.8
2023-01-08 09:10:00,-45.91
2023-01-08 10:00:00,-47.01
2023-01-08 10:50:00,-45.51
2023-01-08 11:40:00,-43.46
2023-01-08 12:30:00,-45.43
2023-01-08 13:20:00,-44.4
2023-01-08 14:10:00,-41.43
2023-01-08 15:00:00,-40.3
2023-01-08 16:00:00,-39.77
2023-01-08 16:50:00,-36.42
2023-01-08 17:40:00,-35.68
2023-01-08 18:30:00,-34.89
2023-01-08 19:20:00,-35.35
2023-01-08 20:10:00,-35.82
2023-01-08 21:10:00,-37.3
2023-01-08 22:00:00,-42.11
2023-01-08 22:50:00,-40.09
2023-01-08 23:40:00,-42.21
2023-01-09 00:40:00,-40.61
2023-01-09 01:30:00,-39.59
2023-01-09 02:20:00,-43.05
2023-01-09 03:10:00,-43.8
2023-01-09 04:00:00,-43.45
2023-01-09 04:50:00,-44.13
2023-01-09 05:40:00,-45.54
2023-01-09 06:30:00,-44.53
2023-01-09 07:20:00,-42.59
2023-01-09 08:10:00,-44.91
2023-01-09 09:00:00,-45.97
2023-01-09 09:50:00,-45.26
2023-01-09 10:40:00,-42.93
2023-01-09 11:30:00,-44.2
2023-01-09 12:20:00,-43.75
2023-01-09 13:10:00,-43.99
2023-01-09 14:00:00,-40.93
2023-01-09 14:50:00,-38.75
2023-01-09 16:00:00,-37.75
2023-01-09 16:50:00,-38.59
2023-01-09 17:40:00,-35.7
2023-01-09 18:30:00,-39.23
2023-01-09 19:50:00,-40.62
2023-01-09 20:40:00,-40.33
2023-01-09 21:30:00,-40.14
2023-01-09 22:20:00,-40.02
2023-01-09 23:10:00,-40.67
2023-01-10 00:10:00,-37.28
2023-01-10 01:00:00,-40.74
2023-01-10 01:50:00,-42
2023-01-10 02:40:00,-39.11
2023-01-10 03:30:00,-43.57
2023-01-10 04:20:00,-42.15
2023-01-10 05:10:00,-43.1
2023-01-10 06:00:00,-42.05
2023-01-10 06:50:00,-42.46
2023-01-10 07:40:00,-42.82
2023-01-10 08:30:00,-44.41
2023-01-10 09:20:00,-43.28
2023-01-10 10:10:00,-45.75
2023-01-10 11:00:00,-44.18
2023-01-10 11:50:00,-44.24
2023-01-10 12:40:00,-40.32
2023-01-10 13:30:00,-39.91
2023-01-10 14:20:00,-39.68
2023-01-10 15:10:00,-39.84
2023-01-10 16:20:00,-35.31
2023-01-10 17:10:00,-36.74
2023-01-10 18:00:00,-38.83
2023-01-10 18:50:00,-35.86
2023-01-10 19:40:00,-37.16
2023-01-10 21:50:00,-37.04
2023-01-10 22:40:00,-37.78
2023-01-10 23:30:00,-36.57
2023-01-11 00:30:00,-37.5
2023-01-11 01:20:00,-41.68
2023-01-11 02:10:00,-41.99
2023-01-11 03:00:00,-43.83
2023-01-11 03:50:00,-42.27
2023-01-11 04:40:00,-43.71
2023-01-11 05:30:00,-42.17
2023-01-11 06:20:00,-45.2
2023-01-11 07:10:00,-46.12
2023-01-11 08:00:00,-46.92
2023-01-11 08:50:00,-45.32
2023-01-11 09:40:00,-45.05
2023-01-11 10:30:00,-45.2
2023-01-11 11:20:00,-43.23
2023-01-11 12:10:00,-42.69
2023-01-11 13:00:00,-37.85
2023-01-11 13:50:00,-35.74
2023-01-11 14:40:00,-33.23
2023-01-11 15:30:00,-30.86
2023-01-11 16:20:00,-26.87
2023-01-11 17:10:00,-22.34
2023-01-11 18:00:00,-22.18
2023-01-11 18:50:00,-24.28
2023-01-11 19:40:00,-27.24
2023-01-11 20:30:00,-29.4
2023-01-11 21:20:00,-29.73
2023-01-11 22:10:00,-30.77
2023-01-11 23:00:00,-33.81
2023-01-11 23:50:00,-33.33
2023-01-12 00:50:00,-33.09
2023-01-12 01:40:00,-34.3
2023-01-12 02:30:00,-32.49
2023-01-12 03:20:00,-34.04
2023-01-12 04:10:00,-31.88
2023-01-12 05:00:00,-33.39
2023-01-12 05:50:00,-34.71
2023-01-12 06:40:00,-35.58
2023-01-12 07:30:00,-32.25
2023-01-12 08:20:00,-31.63
2023-01-12 09:10:00,-33.49
2023-01-12 10:00:00,-31.33
2023-01-12 10:50:00,-34.5
2023-01-12 11:40:00,-34.06
2023-01-12 12:30:00,-32.46
2023-01-12 13:20:00,-32.56
2023-01-12 14:10:00,-31.73
2023-01-12 15:10:00,-29.93
2023-01-12 16:00:00,-29.9
2023-01-12 16:50:00,-29.5
2023-01-12 17:40:00,-30.85
2023-01-12 18:30:00,-30.94
2023-01-12 19:20:00,-27.22
2023-01-12 20:10:00,-28.58
2023-01-12 21:00:00,-34.65
2023-01-12 21:50:00,-31.92
2023-01-12 22:40:00,-35.79
2023-01-12 23:30:00,-34.25
2023-01-13 00:30:00,-39.11
2023-01-13 01:20:00,-36.97
2023-01-13 02:10:00,-36.75
2023-01-13 03:00:00,-38.59
2023-01-13 03:50:00,-40.72
2023-01-13 05:30:00,-41.18
2023-01-13 06:20:00,-38.6
2023-01-13 07:10:00,-40.44
2023-01-13 08:00:00,-40.54
2023-01-13 08:50:00,-41.07
2023-01-13 09:40:00,-42.19
2023-01-13 10:30:00,-40.88
2023-01-13 11:50:00,-36.27
2023-01-13 12:40:00,-36.86
2023-01-13 13:30:00,-34.82
2023-01-13 14:20:00,-36.57
2023-01-13 15:10:00,-33.26
2023-01-13 16:00:00,-33.44
2023-01-13 16:50:00,-34.88
2023-01-13 17:40:00,-31.2
2023-01-13 18:30:00,-30.41
2023-01-13 19:20:00,-33.31
2023-01-13 20:10:00,-31.25
2023-01-13 21:00:00,-34.18
2023-01-13 21:50:00,-33.23
2023-01-13 22:40:00,-32.6
2023-01-13 23:30:00,-32.55
2023-01-14 00:30:00,-34.78
2023-01-14 01:20:00,-32.23
2023-01-14 02:10:00,-32.65
2023-01-14 03:00:00,-33.7
2023-01-14 03:50:00,-35.58
2023-01-14 04:40:00,-35.4
2023-01-14 05:30:00,-32.58
2023-01-14 06:20:00,-33.35
2023-01-14 07:10:00,-37
2023-01-14 08:00:00,-34.27
2023-01-14 08:50:00,-36.84
2023-01-14 09:40:00,-34.85
2023-01-14 10:30:00,-35.67
2023-01-14 11:20:00,-35.37
2023-01-14 12:10:00,-38.51
2023-01-14 13:40:00,-38.93
2023-01-14 14:30:00,-40.81
2023-01-14 15:20:00,-42.23
2023-01-14 16:10:00,-41.27
2023-01-14 17:00:00,-41.96
2023-01-14 17:50:00,-43.8
2023-01-14 18:40:00,-44.87
2023-01-14 19:30:00,-45.14
2023-01-14 20:20:00,-44.44
2023-01-14 21:10:00,-48.61
2023-01-14 22:00:00,-44.54
2023-01-14 22:50:00,-45.98
2023-01-14 23:40:00,-49.06
2023-01-15 00:40:00,-45.35
2023-01-15 01:30:00,-47.13
2023-01-15 02:20:00,-50.51
2023-01-15 03:10:00,-48.52
2023-01-15 04:00:00,-50.57
2023-01-15 05:20:00,-51.55
2023-01-15 06:10:00,-51.67
2023-01-15 07:00:00,-52.08
2023-01-15 07:50:00,-53.16
2023-01-15 08:40:00,-54.7
2023-01-15 09:30:00,-54.02
2023-01-15 10:20:00,-57.84
2023-01-15 11:10:00,-56.28
2023-01-15 12:00:00,-58.95
2023-01-15 12:50:00,-59.42
2023-01-15 13:40:00,-55.68
2023-01-15 14:30:00,-57.11
2023-01-15 15:20:00,-55.82
2023-01-15 16:10:00,-57.86
2023-01-15 17:00:00,-54.25
2023-01-15 17:50:00,-53.85
2023-01-15 18:40:00,-53.94
2023-01-15 19:30:00,-57.3
2023-01-15 20:20:00,-54.85
2023-01-15 21:10:00,-56.72
2023-01-15 22:00:00,-54.48
2023-01-15 22:50:00,-53.66
2023-01-15 23:40:00,-55.94
2023-01-16 00:40:00,-54.21
2023-01-16 01:30:00,-57.69
2023-01-16 02:20:00,-54.5
2023-01-16 03:10:00,-57.94
2023-01-16 04:00:00,-58.63
2023-01-16 04:50:00,-55.98
2023-01-16 05:40:00,-59.32
2023-01-16 06:30:00,-54.76
2023-01-16 07:20:00,-58.17
2023-01-16 08:10:00,-58.68
2023-01-16 09:00:00,-54.24
2023-01-16 09:50:00,-56.54
2023-01-16 10:40:00,-54.54
2023-01-16 11:40:00,-57.1
2023-01-16 12:40:00,-57.61
2023-01-16 13:30:00,-55.95
2023-01-16 14:20:00,-56.4
2023-01-16 15:10:00,-56.15
2023-01-16 16:00:00,-55.72
2023-01-16 16:50:00,-54.21
2023-01-16 17:40:00,-57.08
2023-01-16 18:30:00,-54.74
2023-01-16 19:20:00,-52.32
2023-01-16 20:10:00,-52.72
2023-01-16 21:00:00,-51.56
2023-01-16 21:50:00,-53.23
2023-01-16 22:40:00,-51.88
2023-01-16 23:30:00,-53.59
2023-01-17 00:30:00,-54.75
2023-01-17 01:20:00,-55.85
2023-01-17 02:10:00,-53.75
2023-01-17 03:00:00,-54.51
2023-01-17 03:50:00,-56.23
2023-01-17 04:40:00,-56.14
2023-01-17 05:30:00,-58.98
2023-01-17 06:20:00,-59.71
2023-01-17 07:10:00,-58.25
2023-01-17 08:00:00,-57.94
2023-01-17 08:50:00,-55.32
2023-01-17 09:40:00,-56.55
2023-01-17 10:30:00,-58.17
2023-01-17 11:20:00,-57.79
2023-01-17 12:10:00,-57.52
2023-01-17 13:00:00,-54.54
2023-01-17 13:50:00,-53.05
2023-01-17 14:40:00,-52.39
2023-01-17 15:30:00,-51.84
2023-01-17 16:20:00,-49.47
2023-01-17 17:10:00,-49.46
2023-01-17 18:00:00,-51.37
2023-01-17 18:50:00,-53.98
2023-01-17 19:40:00,-53.1
2023-01-17 20:30:00,-52.53
2023-01-17 21:20:00,-55.18
2023-01-17 22:10:00,-54.21
2023-01-17 23:00:00,-55.58
2023-01-17 23:50:00,-53.43
2023-01-18 00:50:00,-53.83
2023-01-18 01:40:00,-53.21
2023-01-18 02:30:00,-55.32
2023-01-18 03:20:00,-55.29
2023-01-18 04:10:00,-53.73
2023-01-18 05:00:00,-52.64
2023-01-18 05:50:00,-56.7
2023-01-18 06:40:00,-57.11
2023-01-18 07:30:00,-53.47
2023-01-18 08:20:00,-57.33
2023-01-18 09:10:00,-57.61
2023-01-18 10:00:00,-55.56
2023-01-18 10:50:00,-55.32
2023-01-18 11:40:00,-54.54
2023-01-18 12:30:00,-52.98
2023-01-18 13:20:00,-52.5
2023-01-18 14:10:00,-51.38
2023-01-18 15:00:00,-49.25
2023-01-18 15:50:00,-49.34
2023-01-18 16:40:00,-50.08
2023-01-18 17:40:00,-48.49
2023-01-18 18:30:00,-47.28
2023-01-18 19:20:00,-47.57
2023-01-18 20:10:00,-45.75
2023-01-18 21:00:00,-47.29
2023-01-18 21:50:00,-48.25
2023-01-18 22:40:00,-46.96
2023-01-18 23:30:00,-49.1
2023-01-19 00:30:00,-48.9
2023-01-19 01:20:00,-47.07
2023-01-19 02:10:00,-51.24
2023-01-19 03:00:00,-51.23
2023-01-19 03:50:00,-50.21
2023-01-19 04:40:00,-52.94
2023-01-19 05:30:00,-51.78
2023-01-19 06:20:00,-57.5
2023-01-19 07:10:00,-58.05
2023-01-19 08:00:00,-54.13
2023-01-19 08:50:00,-57.27
2023-01-19 09:40:00,-59.61
2023-01-19 10:30:00,-57.28
2023-01-19 11:20:00,-53.06
2023-01-19 12:10:00,-50.22
2023-01-19 13:00:00,-49.37
2023-01-19 13:50:00,-45.98
2023-01-19 14:40:00,-41.67
2023-01-19 15:30:00,-42.77
2023-01-19 16:20:00,-40.36
2023-01-19 17:10:00,-36.35
2023-01-19 18:00:00,-37.66
2023-01-19 18:50:00,-34.2
2023-01-19 19:40:00,-38.54
2023-01-19 20:30:00,-38.76
2023-01-19 21:20:00,-43.41
2023-01-19 22:10:00,-42.1
2023-01-19 23:00:00,-44.02
2023-01-19 23:50:00,-45.61
2023-01-20 00:50:00,-47.62
2023-01-20 01:40:00,-48.15
2023-01-20 02:50:00,-51.45
2023-01-20 03:40:00,-54.1
2023-01-20 04:30:00,-53.79
2023-01-20 05:20:00,-54.3
2023-01-20 06:10:00,-55.11
2023-01-20 07:00:00,-56.7
2023-01-20 07:50:00,-56.78
2023-01-20 08:40:00,-56.04
2023-01-20 09:30:00,-58.67
2023-01-20 10:20:00,-59.08
2023-01-20 11:10:00,-58.11
2023-01-20 12:00:00,-54.24
2023-01-20 12:50:00,-51.16
2023-01-20 13:40:00,-53.51
2023-01-20 14:30:00,-51.26
2023-01-20 15:20:00,-48.12
2023-01-20 16:10:00,-49.61
2023-01-20 17:00:00,-46.28
2023-01-20 17:50:00,-47.74
