时间,挠度(mm)
2023-01-01 00:50:00,-40.46
2023-01-01 01:40:00,-40.31
2023-01-01 02:30:00,-45.2
2023-01-01 03:20:00,-47.93
2023-01-01 04:10:00,-46.4
2023-01-01 05:00:00,-44.77
2023-01-01 05:50:00,-45.52
2023-01-01 06:40:00,-48.1
2023-01-01 07:30:00,-45.72
2023-01-01 08:20:00,-45.18
2023-01-01 09:10:00,-51.5
2023-01-01 10:30:00,-47.07
2023-01-01 12:10:00,-48.11
2023-01-01 14:10:00,-46.27
2023-01-01 15:00:00,-45.15
2023-01-01 16:00:00,-48.89
2023-01-01 16:50:00,-44.32
2023-01-01 17:40:00,-44.2
2023-01-01 18:30:00,-43.85
2023-01-01 19:20:00,-45.12
2023-01-01 20:10:00,-46.26
2023-01-01 21:00:00,-45.01
2023-01-01 21:50:00,-46.44
2023-01-02 00:20:00,-45.68
2023-01-02 01:20:00,-44.9
2023-01-02 02:10:00,-47.35
2023-01-02 03:00:00,-50.08
2023-01-02 03:50:00,-48.12
2023-01-02 04:40:00,-46.47
2023-01-02 05:30:00,-49.77
2023-01-02 06:20:00,-50.82
2023-01-02 07:10:00,-51.37
2023-01-02 08:00:00,-51.64
2023-01-02 08:50:00,-50
2023-01-02 09:40:00,-49.83
2023-01-02 10:30:00,-47.84
2023-01-02 11:20:00,-49.39
2023-01-02 12:10:00,-50.12
2023-01-02 13:00:00,-49.86
2023-01-02 13:50:00,-45.56
2023-01-02 14:40:00,-44.67
2023-01-02 15:30:00,-47.48
2023-01-02 18:40:00,-47.18
2023-01-02 19:30:00,-47.11
2023-01-02 20:20:00,-45.81
2023-01-02 21:10:00,-48.56
2023-01-02 22:00:00,-47.64
2023-01-02 22:50:00,-50.83
2023-01-02 23:40:00,-48.2
2023-01-03 00:40:00,-50.1
2023-01-03 01:30:00,-50.15
2023-01-03 02:20:00,-53.14
2023-01-03 03:10:00,-50
2023-01-03 04:00:00,-53
2023-01-03 04:50:00,-50.15
2023-01-03 05:40:00,-50.06
2023-01-03 06:30:00,-51.75
2023-01-03 07:20:00,-50.41
2023-01-03 08:10:00,-53.3
2023-01-03 09:00:00,-50.03
2023-01-03 09:50:00,-53.07
2023-01-03 10:40:00,-48.36
2023-01-03 11:30:00,-50.21
2023-01-03 12:20:00,-50.29
2023-01-03 13:10:00,-50.57
2023-01-03 14:00:00,-46.26
2023-01-03 14:50:00,-44.66
2023-01-03 15:40:00,-44.87
2023-01-03 17:40:00,-46.18
2023-01-03 19:10:00,-42.75
2023-01-03 20:00:00,-46.82
2023-01-03 20:50:00,-45.1
2023-01-03 23:40:00,-48.46
2023-01-04 00:40:00,-48.27
2023-01-04 01:30:00,-49.84
2023-01-04 02:20:00,-46.88
2023-01-04 03:10:00,-47.44
2023-01-04 04:00:00,-46.73
2023-01-04 04:50:00,-47.93
2023-01-04 05:40:00,-49.33
2023-01-04 06:30:00,-51.05
2023-01-04 07:20:00,-47.58
2023-01-04 08:10:00,-50.22
2023-01-04 09:00:00,-49.33
2023-01-04 09:50:00,-51.22
2023-01-04 10:40:00,-47.19
2023-01-04 11:30:00,-47.21
2023-01-04 12:20:00,-48.04
2023-01-04 13:10:00,-48.16
2023-01-04 14:00:00,-45.82
2023-01-04 14:50:00,-44.28
2023-01-04 15:40:00,-46.33
2023-01-04 19:10:00,-45.73
2023-01-04 20:40:00,-41.91
2023-01-04 21:30:00,-44.69
2023-01-04 22:20:00,-46.49
2023-01-04 23:10:00,-46.31
2023-01-05 00:10:00,-44.74
2023-01-05 01:00:00,-46.25
2023-01-05 01:50:00,-46.64
2023-01-05 02:40:00,-47.26
2023-01-05 03:30:00,-46.08
2023-01-05 04:20:00,-46.44
2023-01-05 05:10:00,-48.44
2023-01-05 06:30:00,-47.73
2023-01-05 07:20:00,-44.5
2023-01-05 08:10:00,-48.96
2023-01-05 09:00:00,-46.12
2023-01-05 10:00:00,-46.93
2023-01-05 12:10:00,-44.38
2023-01-05 13:00:00,-44.51
2023-01-05 13:50:00,-42.46
2023-01-05 14:40:00,-43.54
2023-01-05 15:40:00,-45.21
2023-01-05 16:30:00,-44.33
2023-01-05 17:20:00,-40.67
2023-01-05 18:10:00,-39.5
2023-01-05 19:00:00,-39.35
2023-01-05 19:50:00,-39.53
2023-01-05 20:40:00,-41.19
2023-01-05 21:30:00,-41.84
2023-01-05 22:20:00,-46.06
2023-01-05 23:10:00,-45.56
2023-01-06 00:10:00,-45.8
2023-01-06 01:00:00,-48.51
2023-01-06 02:10:00,-50.82
2023-01-06 03:00:00,-50.03
2023-01-06 03:50:00,-52.33
2023-01-06 04:40:00,-53.08
2023-01-06 05:30:00,-52.17
2023-01-06 06:20:00,-50.8
2023-01-06 07:10:00,-49.49
