时间,位移量(mm)
2023-01-10 05:10:00,80.3
2023-01-10 06:20:00,80.3
2023-01-10 07:30:00,80.3
2023-01-10 08:40:00,80.3
2023-01-10 09:50:00,80.26
2023-01-10 11:00:00,80.26
2023-01-10 12:10:00,79.91
2023-01-10 13:20:00,78.64
2023-01-10 14:30:00,76.93
2023-01-10 15:40:00,76.46
2023-01-10 16:50:00,76.46
2023-01-10 18:00:00,77.21
2023-01-10 19:10:00,78.31
2023-01-10 20:20:00,79.49
2023-01-10 21:30:00,79.85
2023-01-10 22:40:00,79.97
2023-01-10 23:50:00,79.97
2023-01-11 01:10:00,80.09
2023-01-11 02:20:00,80.2
2023-01-11 03:30:00,80.24
2023-01-11 04:40:00,80.28
2023-01-11 05:50:00,80.28
2023-01-11 07:00:00,80.28
2023-01-11 08:10:00,80.28
2023-01-11 09:20:00,80.28
2023-01-11 10:30:00,79.96
2023-01-11 11:40:00,79.05
2023-01-11 12:50:00,77.19
2023-01-11 14:00:00,76.48
2023-01-11 15:10:00,76.48
2023-01-11 16:20:00,76.48
2023-01-11 17:30:00,76.48
2023-01-11 18:40:00,77.27
2023-01-11 19:50:00,78.61
2023-01-11 21:00:00,79.57
2023-01-11 22:10:00,80.12
2023-01-11 23:20:00,80.15
2023-01-12 00:40:00,80.19
2023-01-12 01:50:00,80.19
2023-01-12 03:00:00,80.19
2023-01-12 04:10:00,80.23
2023-01-12 05:20:00,80.24
2023-01-12 06:30:00,80.24
2023-01-12 07:40:00,80.27
2023-01-12 08:50:00,80.27
2023-01-12 10:00:00,80.19
2023-01-12 11:10:00,79.87
2023-01-12 12:20:00,79.52
2023-01-12 13:30:00,78.61
2023-01-12 14:40:00,77.93
2023-01-12 15:50:00,77.73
2023-01-12 17:00:00,77.65
2023-01-12 18:10:00,77.66
2023-01-12 19:20:00,78.21
2023-01-12 20:30:00,79.23
2023-01-12 21:40:00,80.14
2023-01-12 22:50:00,80.54
2023-01-13 00:10:00,80.65
2023-01-13 01:20:00,80.65
2023-01-13 02:30:00,80.69
2023-01-13 03:40:00,80.69
2023-01-13 04:50:00,80.69
2023-01-13 06:00:00,80.69
2023-01-13 07:10:00,80.69
2023-01-13 08:20:00,80.65
2023-01-13 09:30:00,80.34
2023-01-13 10:40:00,79.63
2023-01-13 11:50:00,78.64
2023-01-13 13:00:00,77.69
2023-01-13 14:10:00,77.45
2023-01-13 15:20:00,77.14
2023-01-13 16:30:00,77.02
2023-01-13 17:40:00,77.02
2023-01-13 18:50:00,77.06
2023-01-13 20:00:00,77.06
2023-01-13 21:10:00,77.1
2023-01-13 22:20:00,77.1
2023-01-13 23:30:00,77.22
2023-01-14 00:50:00,77.49
2023-01-14 02:00:00,77.69
2023-01-14 03:10:00,77.81
2023-01-14 04:20:00,77.93
2023-01-14 05:30:00,78.05
2023-01-14 06:40:00,78.16
2023-01-14 07:50:00,78.2
2023-01-14 09:00:00,78.44
2023-01-14 10:10:00,78.95
2023-01-14 11:20:00,79.46
2023-01-14 12:30:00,79.74
2023-01-14 13:40:00,79.94
2023-01-14 14:50:00,80.14
2023-01-14 16:00:00,80.3
2023-01-14 17:10:00,80.49
2023-01-14 18:20:00,80.5
2023-01-14 19:30:00,80.53
2023-01-14 20:40:00,80.53
2023-01-14 21:50:00,80.53
2023-01-14 23:00:00,80.53
2023-01-15 00:20:00,80.53
2023-01-15 01:30:00,80.54
2023-01-15 02:40:00,80.54
2023-01-15 03:50:00,80.57
2023-01-15 05:00:00,80.61
2023-01-15 06:10:00,80.69
2023-01-15 07:20:00,80.77
2023-01-15 08:30:00,80.93
2023-01-15 09:40:00,81
2023-01-15 10:50:00,81.08
2023-01-15 12:00:00,81.12
2023-01-15 13:10:00,81.12
2023-01-15 14:20:00,81.12
2023-01-15 15:30:00,81.12
2023-01-15 16:40:00,81.12
2023-01-15 17:50:00,81.12
2023-01-15 19:00:00,81.12
2023-01-15 20:10:00,81.12
2023-01-15 21:20:00,81.12
2023-01-15 22:30:00,81.12
2023-01-15 23:40:00,81.12
2023-01-16 01:00:00,81.12
2023-01-16 02:10:00,81.17
2023-01-16 03:20:00,81.2
2023-01-16 04:30:00,81.24
2023-01-16 05:40:00,81.28
2023-01-16 06:50:00,81.32
2023-01-16 08:00:00,81.32
2023-01-16 09:10:00,81.28
2023-01-16 10:20:00,81.28
2023-01-16 11:30:00,81.24
2023-01-16 12:40:00,81.08
2023-01-16 13:50:00,80.57
2023-01-16 15:00:00,80.26
2023-01-16 16:10:00,80.02
2023-01-16 17:20:00,79.86
2023-01-16 18:30:00,79.86
2023-01-16 19:40:00,79.86
2023-01-16 20:50:00,79.86
2023-01-16 22:00:00,79.86
2023-01-16 23:10:00,79.86
2023-01-17 00:30:00,79.9
2023-01-17 01:40:00,79.94
2023-01-17 02:50:00,80.25
2023-01-17 04:00:00,80.56
2023-01-17 05:10:00,80.56
2023-01-17 06:20:00,80.56
2023-01-17 07:30:00,80.56
2023-01-17 08:40:00,80.56
2023-01-17 09:50:00,80.48
2023-01-17 11:00:00,80.2
2023-01-17 12:10:00,79.97
2023-01-17 13:20:00,79.45
2023-01-17 14:30:00,77.98
2023-01-17 15:40:00,77.15
2023-01-17 16:50:00,77.11
2023-01-17 18:00:00,77.15
2023-01-17 19:10:00,77.59
2023-01-17 20:20:00,78.02
2023-01-17 21:30:00,78.3
2023-01-17 22:40:00,78.86
2023-01-17 23:50:00,79.09
2023-01-18 01:10:00,79.09
2023-01-18 02:20:00,79.13
2023-01-18 03:30:00,79.17
2023-01-18 04:40:00,79.17
2023-01-18 05:50:00,79.21
2023-01-18 07:00:00,79.52
2023-01-18 08:10:00,79.64
2023-01-18 09:20:00,79.64
2023-01-18 10:30:00,79.6
2023-01-18 11:40:00,79
2023-01-18 12:50:00,77.42
2023-01-18 14:00:00,76.22
2023-01-18 15:10:00,75.79
2023-01-18 16:20:00,75.79
2023-01-18 17:30:00,75.79
2023-01-18 18:40:00,75.83
2023-01-18 19:50:00,76.07
2023-01-18 21:00:00,76.46
2023-01-18 22:10:00,76.89
2023-01-18 23:20:00,77.57
2023-01-19 00:40:00,78.2
2023-01-19 01:50:00,78.63
2023-01-19 03:00:00,79.07
2023-01-19 04:10:00,79.5
2023-01-19 05:20:00,79.66
2023-01-19 06:30:00,79.74
2023-01-19 07:40:00,79.74
2023-01-19 08:50:00,79.74
2023-01-19 10:00:00,79.66
2023-01-19 11:10:00,77.44
2023-01-19 12:20:00,75.9
2023-01-19 13:30:00,75.74
2023-01-19 14:40:00,75.59
2023-01-19 15:50:00,75.55
2023-01-19 17:00:00,75.59
2023-01-19 18:10:00,76.38
2023-01-19 19:20:00,78.31
2023-01-19 20:30:00,79.22
2023-01-19 21:40:00,79.42
2023-01-19 22:50:00,79.57
2023-01-20 00:10:00,79.62
2023-01-20 01:20:00,79.69
2023-01-20 02:30:00,79.74
2023-01-20 03:40:00,79.85
2023-01-20 04:50:00,79.97
2023-01-20 06:00:00,80.13
2023-01-20 07:10:00,80.21
2023-01-20 08:20:00,80.28
2023-01-20 09:30:00,80.24
2023-01-20 10:40:00,79.06
2023-01-20 11:50:00,78.03
2023-01-20 13:00:00,77.32
2023-01-20 14:10:00,76.88
2023-01-20 15:20:00,76.69
2023-01-20 16:30:00,76.57
2023-01-20 17:40:00,76.57
2023-01-20 18:50:00,76.57
2023-01-20 20:00:00,76.57
2023-01-20 21:10:00,76.57
2023-01-20 22:20:00,76.57
2023-01-20 23:30:00,76.65
2023-01-21 00:50:00,76.81
2023-01-21 02:00:00,76.81
2023-01-21 03:10:00,76.85
2023-01-21 04:20:00,77
2023-01-21 05:30:00,77.16
2023-01-21 06:40:00,77.32
2023-01-21 07:50:00,77.51
2023-01-21 09:00:00,77.51
2023-01-21 10:10:00,77.51
2023-01-21 11:20:00,77.43
2023-01-21 12:30:00,77
2023-01-21 13:40:00,76.53
2023-01-21 14:50:00,76.29
2023-01-21 16:00:00,76.29
2023-01-21 17:10:00,76.29
2023-01-21 18:20:00,76.3
2023-01-21 19:30:00,76.33
2023-01-21 20:40:00,76.33
2023-01-21 21:50:00,76.33
2023-01-21 23:00:00,76.37
