时间,伸缩量(mm)
2023-01-01 01:10:00,1647.65
2023-01-01 02:20:00,1647.82
2023-01-01 03:30:00,1648.04
2023-01-01 04:40:00,1648.29
2023-01-01 05:50:00,1648.48
2023-01-01 07:00:00,1648.7
2023-01-01 08:10:00,1648.89
2023-01-01 09:20:00,1649.15
2023-01-01 10:30:00,1649.2
2023-01-01 11:40:00,1649.25
2023-01-01 12:50:00,1649.14
2023-01-01 14:00:00,1648.92
2023-01-01 15:10:00,1648.67
2023-01-01 16:20:00,1648.62
2023-01-01 17:30:00,1648.62
2023-01-01 18:40:00,1648.59
2023-01-01 19:50:00,1648.56
2023-01-01 21:00:00,1648.54
2023-01-01 22:10:00,1648.59
2023-01-01 23:20:00,1648.67
2023-01-02 00:40:00,1648.84
2023-01-02 02:00:00,1649
2023-01-02 03:10:00,1649.33
2023-01-02 04:20:00,1649.64
2023-01-02 05:30:00,1649.86
2023-01-02 06:40:00,1650
2023-01-02 07:50:00,1650.13
2023-01-02 09:00:00,1650.22
2023-01-02 10:10:00,1650.27
2023-01-02 11:20:00,1650.35
2023-01-02 12:30:00,1650.13
2023-01-02 13:40:00,1649.88
2023-01-02 14:50:00,1649.38
2023-01-02 16:00:00,1649.13
2023-01-02 17:10:00,1649.08
2023-01-02 18:20:00,1649.02
2023-01-02 19:30:00,1649.05
2023-01-02 20:40:00,1649.33
2023-01-02 21:50:00,1649.49
2023-01-02 23:00:00,1649.82
2023-01-03 00:20:00,1650.18
2023-01-03 01:30:00,1650.51
2023-01-03 02:40:00,1650.71
2023-01-03 03:50:00,1650.82
2023-01-03 05:00:00,1650.93
2023-01-03 06:10:00,1651.04
2023-01-03 07:20:00,1651.26
2023-01-03 08:30:00,1651.23
2023-01-03 09:40:00,1651.29
2023-01-03 10:50:00,1651.26
2023-01-03 12:00:00,1650.65
2023-01-03 13:10:00,1649.68
2023-01-03 14:20:00,1649.18
2023-01-03 15:30:00,1648.91
2023-01-03 16:40:00,1648.66
2023-01-03 17:50:00,1648.63
2023-01-03 19:00:00,1648.58
2023-01-03 20:10:00,1648.58
2023-01-03 21:20:00,1648.55
2023-01-03 22:30:00,1648.52
2023-01-03 23:40:00,1648.63
2023-01-04 01:00:00,1648.83
2023-01-04 02:10:00,1649.1
2023-01-04 03:20:00,1649.43
2023-01-04 04:30:00,1649.68
2023-01-04 05:40:00,1649.9
2023-01-04 06:50:00,1650.21
2023-01-04 08:00:00,1650.23
2023-01-04 09:10:00,1650.32
2023-01-04 10:20:00,1650.48
2023-01-04 11:30:00,1650.29
2023-01-04 12:40:00,1649.85
2023-01-04 13:50:00,1649.32
2023-01-04 15:00:00,1648.65
2023-01-04 16:10:00,1648.38
2023-01-04 17:20:00,1648.24
2023-01-04 18:30:00,1648.16
2023-01-04 19:40:00,1648.16
2023-01-04 20:50:00,1648.16
2023-01-04 22:00:00,1648.16
2023-01-04 23:10:00,1648.08
2023-01-05 00:30:00,1648.16
2023-01-05 01:40:00,1648.27
2023-01-05 02:50:00,1648.33
2023-01-05 04:00:00,1648.44
2023-01-05 05:10:00,1648.74
2023-01-05 06:20:00,1648.88
2023-01-05 07:30:00,1649.07
2023-01-05 08:40:00,1649.1
2023-01-05 09:50:00,1649.18
2023-01-05 11:00:00,1649.21
2023-01-05 12:10:00,1648.96
2023-01-05 13:20:00,1648.35
2023-01-05 14:30:00,1647.63
2023-01-05 15:40:00,1647.38
2023-01-05 16:50:00,1647.24
2023-01-05 18:00:00,1647.19
2023-01-05 19:10:00,1647.16
2023-01-05 20:20:00,1647.13
2023-01-05 21:30:00,1647.24
2023-01-05 22:40:00,1648.15
2023-01-05 23:50:00,1648.9
2023-01-06 01:10:00,1649.36
2023-01-06 02:20:00,1649.8
2023-01-06 03:30:00,1650.08
2023-01-06 04:40:00,1650.28
2023-01-06 05:50:00,1650.39
2023-01-06 07:00:00,1650.58
2023-01-06 08:10:00,1650.66
2023-01-06 09:20:00,1650.8
2023-01-06 10:30:00,1650.83
2023-01-06 11:40:00,1650.85
2023-01-06 12:50:00,1650.46
2023-01-06 14:00:00,1649.8
2023-01-06 15:10:00,1648.91
2023-01-06 16:20:00,1648.53
2023-01-06 17:30:00,1648.36
2023-01-06 18:40:00,1648.28
2023-01-06 19:50:00,1648.25
