时间,挠度(mm)
2023-01-08 02:30:00,-36.74
2023-01-08 03:20:00,-39.83
2023-01-08 04:10:00,-41.13
2023-01-08 05:00:00,-40.74
2023-01-08 05:50:00,-40.99
2023-01-08 06:40:00,-37.64
2023-01-08 07:30:00,-38.93
2023-01-08 08:20:00,-43.39
2023-01-08 09:10:00,-39.84
2023-01-08 10:00:00,-39.57
2023-01-08 10:50:00,-42.46
2023-01-08 11:40:00,-43.43
2023-01-08 12:30:00,-38.17
2023-01-08 13:20:00,-39.12
2023-01-08 14:10:00,-38.74
2023-01-08 15:00:00,-33.22
2023-01-08 16:00:00,-32.51
2023-01-08 16:50:00,-34.04
2023-01-08 17:40:00,-32.25
2023-01-08 18:30:00,-33.22
2023-01-08 19:20:00,-30.49
2023-01-08 20:10:00,-31.28
2023-01-08 21:10:00,-36.19
2023-01-08 22:00:00,-35
2023-01-08 22:50:00,-35.44
2023-01-08 23:40:00,-39.37
2023-01-09 00:40:00,-36.62
2023-01-09 01:30:00,-40.78
2023-01-09 02:20:00,-40.79
2023-01-09 03:10:00,-39.17
2023-01-09 04:00:00,-40.37
2023-01-09 04:50:00,-41.31
2023-01-09 05:40:00,-41.04
2023-01-09 06:30:00,-42.02
2023-01-09 07:20:00,-38.83
2023-01-09 08:10:00,-42.97
2023-01-09 09:00:00,-41.65
2023-01-09 09:50:00,-38.46
2023-01-09 10:40:00,-42.15
2023-01-09 11:30:00,-37.98
2023-01-09 12:20:00,-40.95
2023-01-09 13:10:00,-38.71
2023-01-09 14:00:00,-34.54
2023-01-09 14:50:00,-36.57
2023-01-09 16:00:00,-34.62
2023-01-09 16:50:00,-31.83
2023-01-09 17:40:00,-34.55
2023-01-09 18:30:00,-33.33
2023-01-09 19:50:00,-34.17
2023-01-09 20:40:00,-35.35
2023-01-09 21:30:00,-37.11
2023-01-09 22:20:00,-35.03
2023-01-09 23:10:00,-34.87
2023-01-10 00:10:00,-36.45
2023-01-10 01:00:00,-35.4
2023-01-10 01:50:00,-38.66
2023-01-10 02:40:00,-39.33
2023-01-10 03:30:00,-37.28
2023-01-10 04:20:00,-40.83
2023-01-10 05:10:00,-39.71
2023-01-10 06:00:00,-36.74
2023-01-10 06:50:00,-36.75
2023-01-10 07:40:00,-40.31
2023-01-10 08:30:00,-39.26
2023-01-10 09:20:00,-37.95
2023-01-10 10:10:00,-38.05
2023-01-10 11:00:00,-37.06
2023-01-10 11:50:00,-39.57
2023-01-10 12:40:00,-40.12
2023-01-10 13:30:00,-36.26
2023-01-10 14:20:00,-37.27
2023-01-10 15:10:00,-32.25
2023-01-10 16:20:00,-33.55
2023-01-10 17:10:00,-31.07
2023-01-10 18:00:00,-30.7
2023-01-10 18:50:00,-32.53
2023-01-10 19:40:00,-32.43
2023-01-10 21:50:00,-32.98
2023-01-10 22:40:00,-35.33
2023-01-10 23:30:00,-34.75
2023-01-11 00:30:00,-37.76
2023-01-11 01:20:00,-37.8
2023-01-11 02:10:00,-34.14
2023-01-11 03:00:00,-39.11
2023-01-11 03:50:00,-40.28
2023-01-11 04:40:00,-37.05
2023-01-11 05:30:00,-40.57
2023-01-11 06:20:00,-37.3
2023-01-11 07:10:00,-37.59
2023-01-11 08:00:00,-42.36
2023-01-11 08:50:00,-38.2
2023-01-11 09:40:00,-37.65
2023-01-11 10:30:00,-37.66
2023-01-11 11:20:00,-38.98
2023-01-11 12:10:00,-37.77
2023-01-11 13:00:00,-32.96
2023-01-11 13:50:00,-31.34
2023-01-11 14:40:00,-30.24
2023-01-11 15:30:00,-26.18
2023-01-11 16:20:00,-23.8
2023-01-11 17:10:00,-20.06
2023-01-11 18:00:00,-21.92
2023-01-11 18:50:00,-23.3
2023-01-11 19:40:00,-20.39
2023-01-11 20:30:00,-22.9
2023-01-11 21:20:00,-26.67
2023-01-11 22:10:00,-24.98
2023-01-11 23:00:00,-25.93
2023-01-11 23:50:00,-28.23
2023-01-12 00:50:00,-30.16
2023-01-12 01:40:00,-28.4
2023-01-12 02:30:00,-31
2023-01-12 03:20:00,-30.52
2023-01-12 04:10:00,-28.43
2023-01-12 05:00:00,-32.18
2023-01-12 05:50:00,-29.34
2023-01-12 06:40:00,-29.47
2023-01-12 07:30:00,-29.2
2023-01-12 08:20:00,-28.67
2023-01-12 09:10:00,-27.27
2023-01-12 10:00:00,-28.64
2023-01-12 10:50:00,-28.06
2023-01-12 11:40:00,-27.35
2023-01-12 12:30:00,-29.1
2023-01-12 13:20:00,-26.98
2023-01-12 14:10:00,-27.49
2023-01-12 15:10:00,-26.43
2023-01-12 16:00:00,-26.54
2023-01-12 16:50:00,-23.49
2023-01-12 17:40:00,-26.92
2023-01-12 18:30:00,-23.89
2023-01-12 19:20:00,-25.96
2023-01-12 20:10:00,-25.7
2023-01-12 21:00:00,-26.91
2023-01-12 21:50:00,-29.42
2023-01-12 22:40:00,-29.88
2023-01-12 23:30:00,-34.03
2023-01-13 00:30:00,-30.41
2023-01-13 01:20:00,-32.27
2023-01-13 02:10:00,-33.16
2023-01-13 03:00:00,-36.5
2023-01-13 03:50:00,-35.02
2023-01-13 05:30:00,-35.93
2023-01-13 06:20:00,-35.18
2023-01-13 07:10:00,-35.46
2023-01-13 08:00:00,-35.59
2023-01-13 08:50:00,-36.8
2023-01-13 09:40:00,-35.08
2023-01-13 10:30:00,-36.92
2023-01-13 11:50:00,-35.36
2023-01-13 12:40:00,-31.98
2023-01-13 13:30:00,-34.78
2023-01-13 14:20:00,-31.48
2023-01-13 15:10:00,-29.47
2023-01-13 16:00:00,-26.85
2023-01-13 16:50:00,-28.04
2023-01-13 17:40:00,-27.58
2023-01-13 18:30:00,-29.02
2023-01-13 19:20:00,-27.26
2023-01-13 20:10:00,-25.47
2023-01-13 21:00:00,-30.31
2023-01-13 21:50:00,-29.84
2023-01-13 22:40:00,-25.63
2023-01-13 23:30:00,-29.2
2023-01-14 00:30:00,-28.74
2023-01-14 01:20:00,-31.48
2023-01-14 02:10:00,-28.38
2023-01-14 03:00:00,-28.16
2023-01-14 03:50:00,-29.24
2023-01-14 04:40:00,-31.58
2023-01-14 05:30:00,-31.94
2023-01-14 06:20:00,-31.96
2023-01-14 07:10:00,-29.89
2023-01-14 08:00:00,-28.57
2023-01-14 08:50:00,-28.42
2023-01-14 09:40:00,-29.68
2023-01-14 10:30:00,-32.61
2023-01-14 11:20:00,-33.93
2023-01-14 12:10:00,-35.24
2023-01-14 13:40:00,-34.92
2023-01-14 14:30:00,-35.22
2023-01-14 15:20:00,-34.86
2023-01-14 16:10:00,-38.67
2023-01-14 17:00:00,-35.29
2023-01-14 17:50:00,-37.6
2023-01-14 18:40:00,-38.66
2023-01-14 19:30:00,-42.35
2023-01-14 20:20:00,-39.21
2023-01-14 21:10:00,-42.54
2023-01-14 22:00:00,-41.6
2023-01-14 22:50:00,-43.47
2023-01-14 23:40:00,-41.19
2023-01-15 00:40:00,-43.62
2023-01-15 01:30:00,-41.61
2023-01-15 02:20:00,-46.02
2023-01-15 03:10:00,-42.82
2023-01-15 04:00:00,-45.02
2023-01-15 05:20:00,-46.25
2023-01-15 06:10:00,-49.36
2023-01-15 07:00:00,-49.72
2023-01-15 07:50:00,-46.34
2023-01-15 08:40:00,-50.69
2023-01-15 09:30:00,-47.58
2023-01-15 10:20:00,-52.74
2023-01-15 11:10:00,-49.69
2023-01-15 12:00:00,-52
2023-01-15 12:50:00,-50.77
2023-01-15 13:40:00,-51.82
2023-01-15 14:30:00,-52.82
2023-01-15 15:20:00,-51.15
2023-01-15 16:10:00,-53.81
2023-01-15 17:00:00,-51.12
2023-01-15 17:50:00,-53
2023-01-15 18:40:00,-51.52
2023-01-15 19:30:00,-52.45
2023-01-15 20:20:00,-51.47
2023-01-15 21:10:00,-50.96
2023-01-15 22:00:00,-48.22
2023-01-15 22:50:00,-49.06
2023-01-15 23:40:00,-50.86
2023-01-16 00:40:00,-48.72
2023-01-16 01:30:00,-48.9
