时间,索力值(kN)
2023-01-01 01:10:00,3075.932
2023-01-01 02:20:00,3075.284
2023-01-01 03:30:00,3074.98
2023-01-01 04:40:00,3074.836
2023-01-01 05:50:00,3074.692
2023-01-01 07:00:00,3074.796
2023-01-01 08:10:00,3074.756
2023-01-01 09:20:00,3074.78
2023-01-01 10:30:00,3075.164
2023-01-01 11:40:00,3075.396
2023-01-01 12:50:00,3075.548
2023-01-01 14:00:00,3075.636
2023-01-01 15:10:00,3075.708
2023-01-01 16:20:00,3075.796
2023-01-01 17:30:00,3075.828
2023-01-01 18:40:00,3075.716
2023-01-01 19:50:00,3075.796
2023-01-01 21:00:00,3075.66
2023-01-01 22:10:00,3075.46
2023-01-01 23:20:00,3075.428
2023-01-02 00:40:00,3075.428
2023-01-02 02:00:00,3075.26
2023-01-02 03:10:00,3074.964
2023-01-02 04:20:00,3074.868
2023-01-02 05:30:00,3074.844
2023-01-02 06:40:00,3074.78
2023-01-02 07:50:00,3074.852
2023-01-02 09:00:00,3075.02
2023-01-02 10:10:00,3075.244
2023-01-02 11:30:00,3075.396
2023-01-02 12:40:00,3075.708
2023-01-02 13:50:00,3076.1
2023-01-02 15:00:00,3075.748
2023-01-02 16:10:00,3075.844
2023-01-02 17:20:00,3075.908
2023-01-02 18:30:00,3075.556
2023-01-02 19:40:00,3075.436
2023-01-02 20:50:00,3075.116
2023-01-02 22:00:00,3074.964
2023-01-02 23:10:00,3074.852
2023-01-03 00:30:00,3074.708
2023-01-03 01:40:00,3074.516
2023-01-03 02:50:00,3074.604
2023-01-03 04:00:00,3074.46
2023-01-03 05:10:00,3074.436
2023-01-03 06:20:00,3074.596
2023-01-03 07:30:00,3074.676
2023-01-03 08:40:00,3074.708
2023-01-03 09:50:00,3075.092
2023-01-03 11:00:00,3075.156
2023-01-03 12:10:00,3075.7
2023-01-03 13:20:00,3076.012
2023-01-03 14:30:00,3076.26
2023-01-03 15:40:00,3076.452
2023-01-03 16:50:00,3076.428
2023-01-03 18:00:00,3076.348
2023-01-03 19:10:00,3076.26
2023-01-03 20:20:00,3076.172
2023-01-03 21:30:00,3075.908
2023-01-03 22:40:00,3075.788
2023-01-03 23:50:00,3075.588
2023-01-04 01:10:00,3075.396
2023-01-04 02:20:00,3075.268
2023-01-04 03:30:00,3075.22
2023-01-04 04:40:00,3075.108
2023-01-04 05:50:00,3075.14
2023-01-04 07:00:00,3075.188
2023-01-04 08:10:00,3075.252
2023-01-04 09:20:00,3075.324
