时间,索力值(kN)
2023-01-01 01:10:00,4436.002
2023-01-01 02:20:00,4435.354
2023-01-01 03:30:00,4435.05
2023-01-01 04:40:00,4434.906
2023-01-01 05:50:00,4434.762
2023-01-01 07:00:00,4434.866
2023-01-01 08:10:00,4434.826
2023-01-01 09:20:00,4434.85
2023-01-01 10:30:00,4435.234
2023-01-01 11:40:00,4435.466
2023-01-01 12:50:00,4435.618
2023-01-01 14:00:00,4435.706
2023-01-01 15:10:00,4435.778
2023-01-01 16:20:00,4435.866
2023-01-01 17:30:00,4435.898
2023-01-01 18:40:00,4435.786
2023-01-01 19:50:00,4435.866
2023-01-01 21:00:00,4435.73
2023-01-01 22:10:00,4435.53
2023-01-01 23:20:00,4435.498
2023-01-02 00:40:00,4435.498
2023-01-02 02:00:00,4435.33
2023-01-02 03:10:00,4435.034
2023-01-02 04:20:00,4434.938
2023-01-02 05:30:00,4434.914
2023-01-02 06:40:00,4434.85
2023-01-02 07:50:00,4434.922
2023-01-02 09:00:00,4435.09
2023-01-02 10:10:00,4435.314
2023-01-02 11:30:00,4435.466
2023-01-02 12:40:00,4435.778
2023-01-02 13:50:00,4436.17
2023-01-02 15:00:00,4435.818
2023-01-02 16:10:00,4435.914
2023-01-02 17:20:00,4435.978
2023-01-02 18:30:00,4435.626
2023-01-02 19:40:00,4435.506
2023-01-02 20:50:00,4435.186
2023-01-02 22:00:00,4435.034
2023-01-02 23:10:00,4434.922
2023-01-03 00:30:00,4434.778
2023-01-03 01:40:00,4434.586
2023-01-03 02:50:00,4434.674
2023-01-03 04:00:00,4434.53
2023-01-03 05:10:00,4434.506
2023-01-03 06:20:00,4434.666
2023-01-03 07:30:00,4434.746
2023-01-03 08:40:00,4434.778
2023-01-03 09:50:00,4435.162
2023-01-03 11:00:00,4435.226
2023-01-03 12:10:00,4435.77
2023-01-03 13:20:00,4436.082
2023-01-03 14:30:00,4436.33
2023-01-03 15:40:00,4436.522
2023-01-03 16:50:00,4436.498
2023-01-03 18:00:00,4436.418
2023-01-03 19:10:00,4436.33
2023-01-03 20:20:00,4436.242
2023-01-03 21:30:00,4435.978
2023-01-03 22:40:00,4435.858
2023-01-03 23:50:00,4435.658
2023-01-04 01:10:00,4435.466
2023-01-04 02:20:00,4435.338
2023-01-04 03:30:00,4435.29
2023-01-04 04:40:00,4435.178
2023-01-04 05:50:00,4435.21
2023-01-04 07:00:00,4435.258
2023-01-04 08:10:00,4435.322
2023-01-04 09:20:00,4435.394
2023-01-04 10:30:00,4435.698
2023-01-04 11:40:00,4435.818
2023-01-04 12:50:00,4435.978
2023-01-04 14:00:00,4436.394
2023-01-04 15:10:00,4436.554
2023-01-04 16:20:00,4436.626
2023-01-04 17:30:00,4436.69
2023-01-04 18:40:00,4436.65
2023-01-04 19:50:00,4436.506
2023-01-04 21:00:00,4436.33
2023-01-04 22:10:00,4436.082
2023-01-04 23:20:00,4435.946
2023-01-05 00:40:00,4435.802
2023-01-05 01:50:00,4435.618
2023-01-05 03:00:00,4435.634
2023-01-05 04:10:00,4435.482
2023-01-05 05:20:00,4435.546
2023-01-05 06:30:00,4435.482
2023-01-05 07:40:00,4435.602
2023-01-05 08:50:00,4435.874
2023-01-05 10:00:00,4435.978
2023-01-05 11:10:00,4436.298
2023-01-05 12:20:00,4436.234
2023-01-05 13:30:00,4436.426
2023-01-05 14:40:00,4436.746
2023-01-05 15:50:00,4436.97
2023-01-05 17:00:00,4437.21
2023-01-05 18:10:00,4437.482
2023-01-05 19:20:00,4437.018
2023-01-05 20:30:00,4436.938
2023-01-05 21:40:00,4436.026
2023-01-05 22:50:00,4435.354
2023-01-06 00:10:00,4434.97
2023-01-06 01:20:00,4434.65
2023-01-06 02:30:00,4434.474
2023-01-06 03:40:00,4434.098
2023-01-06 04:50:00,4434.066
2023-01-06 06:00:00,4433.946
2023-01-06 07:10:00,4434.106
2023-01-06 08:20:00,4434.09
2023-01-06 09:30:00,4433.946
2023-01-06 10:40:00,4434.386
2023-01-06 11:50:00,4434.898
2023-01-06 13:00:00,4435.354
2023-01-06 14:10:00,4435.754
2023-01-06 15:20:00,4435.914
2023-01-06 16:30:00,4436.634
2023-01-06 17:40:00,4436.506
2023-01-06 18:50:00,4436.554
2023-01-06 20:00:00,4435.978
2023-01-06 21:10:00,4435.418
2023-01-06 22:20:00,4434.906
2023-01-06 23:30:00,4434.362
2023-01-07 00:50:00,4434.098
2023-01-07 02:00:00,4433.778
2023-01-07 03:10:00,4433.578
2023-01-07 04:20:00,4433.218
2023-01-07 05:30:00,4433.114
2023-01-07 06:40:00,4433.386
2023-01-07 07:50:00,4433.658
2023-01-07 09:00:00,4432.922
2023-01-07 10:10:00,4433.834
2023-01-07 11:20:00,4435.754
2023-01-07 12:30:00,4437.122
2023-01-07 13:40:00,4438.394
2023-01-07 14:50:00,4439.658
2023-01-07 16:00:00,4439.066
2023-01-07 17:20:00,4438.314
2023-01-07 18:30:00,4437.45
2023-01-07 19:40:00,4436.57
2023-01-07 20:50:00,4435.946
2023-01-07 22:00:00,4435.258
2023-01-07 23:10:00,4434.698
2023-01-08 00:30:00,4434.218
2023-01-08 01:40:00,4433.834
2023-01-08 02:50:00,4433.738
2023-01-08 04:00:00,4433.562
2023-01-08 05:10:00,4433.514
2023-01-08 06:20:00,4433.602
2023-01-08 07:30:00,4433.498
2023-01-08 08:40:00,4433.242
2023-01-08 09:50:00,4433.338
2023-01-08 11:00:00,4433.706
2023-01-08 12:10:00,4434.362
2023-01-08 13:20:00,4434.986
2023-01-08 14:30:00,4435.786
2023-01-08 15:40:00,4437.114
2023-01-08 16:50:00,4436.442
2023-01-08 18:00:00,4436.13
2023-01-08 19:10:00,4435.658
2023-01-08 20:20:00,4435.274
2023-01-08 21:30:00,4434.762
2023-01-08 22:40:00,4434.434
2023-01-08 23:50:00,4434.17
2023-01-09 01:10:00,4434.186
2023-01-09 02:20:00,4433.954
2023-01-09 03:30:00,4433.954
2023-01-09 04:40:00,4433.594
2023-01-09 05:50:00,4433.698
2023-01-09 07:00:00,4433.402
2023-01-09 08:10:00,4433.458
2023-01-09 09:20:00,4433.762
2023-01-09 10:30:00,4434.154
2023-01-09 11:40:00,4434.282
2023-01-09 12:50:00,4434.81
2023-01-09 14:00:00,4435.802
2023-01-09 15:10:00,4436.322
2023-01-09 16:20:00,4436.258
2023-01-09 17:30:00,4435.994
2023-01-09 18:40:00,4435.514
2023-01-09 19:50:00,4435.146
2023-01-09 21:00:00,4434.882
2023-01-09 22:10:00,4434.746
2023-01-09 23:20:00,4434.818
2023-01-10 00:40:00,4434.522
2023-01-10 01:50:00,4434.338
2023-01-10 03:00:00,4434.17
2023-01-10 04:10:00,4434.114
2023-01-10 05:20:00,4433.818
2023-01-10 06:30:00,4433.85
2023-01-10 07:40:00,4433.85
2023-01-10 08:50:00,4433.946
2023-01-10 10:00:00,4434.106
2023-01-10 11:10:00,4434.458
2023-01-10 12:20:00,4434.954
2023-01-10 13:30:00,4435.802
2023-01-10 14:40:00,4436.898
2023-01-10 15:50:00,4436.266
2023-01-10 17:00:00,4436.018
2023-01-10 18:10:00,4435.818
2023-01-10 19:20:00,4435.45
2023-01-10 20:30:00,4435.234
2023-01-10 21:40:00,4435.058
2023-01-10 22:50:00,4435.05
2023-01-11 00:10:00,4434.714
