时间,索力值(kN)
2023-01-01 01:10:00,5197.962
2023-01-01 02:20:00,5197.314
2023-01-01 03:30:00,5197.01
2023-01-01 04:40:00,5196.866
2023-01-01 05:50:00,5196.722
2023-01-01 07:00:00,5196.826
2023-01-01 08:10:00,5196.786
2023-01-01 09:20:00,5196.81
2023-01-01 10:30:00,5197.194
2023-01-01 11:40:00,5197.426
2023-01-01 12:50:00,5197.578
2023-01-01 14:00:00,5197.666
2023-01-01 15:10:00,5197.738
2023-01-01 16:20:00,5197.826
2023-01-01 17:30:00,5197.858
2023-01-01 18:40:00,5197.746
2023-01-01 19:50:00,5197.826
2023-01-01 21:00:00,5197.69
2023-01-01 22:10:00,5197.49
2023-01-01 23:20:00,5197.458
2023-01-02 00:40:00,5197.458
2023-01-02 02:00:00,5197.29
2023-01-02 03:10:00,5196.994
2023-01-02 04:20:00,5196.898
2023-01-02 05:30:00,5196.874
2023-01-02 06:40:00,5196.81
2023-01-02 07:50:00,5196.882
2023-01-02 09:00:00,5197.05
2023-01-02 10:10:00,5197.274
2023-01-02 11:30:00,5197.426
2023-01-02 12:40:00,5197.738
2023-01-02 13:50:00,5198.13
2023-01-02 15:00:00,5197.778
2023-01-02 16:10:00,5197.874
2023-01-02 17:20:00,5197.938
2023-01-02 18:30:00,5197.586
2023-01-02 19:40:00,5197.466
2023-01-02 20:50:00,5197.146
2023-01-02 22:00:00,5196.994
2023-01-02 23:10:00,5196.882
2023-01-03 00:30:00,5196.738
2023-01-03 01:40:00,5196.546
2023-01-03 02:50:00,5196.634
2023-01-03 04:00:00,5196.49
2023-01-03 05:10:00,5196.466
2023-01-03 06:20:00,5196.626
2023-01-03 07:30:00,5196.706
2023-01-03 08:40:00,5196.738
2023-01-03 09:50:00,5197.122
2023-01-03 11:00:00,5197.186
2023-01-03 12:10:00,5197.73
2023-01-03 13:20:00,5198.042
2023-01-03 14:30:00,5198.29
2023-01-03 15:40:00,5198.482
2023-01-03 16:50:00,5198.458
2023-01-03 18:00:00,5198.378
2023-01-03 19:10:00,5198.29
2023-01-03 20:20:00,5198.202
2023-01-03 21:30:00,5197.938
2023-01-03 22:40:00,5197.818
2023-01-03 23:50:00,5197.618
2023-01-04 01:10:00,5197.426
2023-01-04 02:20:00,5197.298
