时间,索力值(kN)
2023-01-01 01:10:00,5254.152
2023-01-01 02:20:00,5253.504
2023-01-01 03:30:00,5253.2
2023-01-01 04:40:00,5253.056
2023-01-01 05:50:00,5252.912
2023-01-01 07:00:00,5253.016
2023-01-01 08:10:00,5252.976
2023-01-01 09:20:00,5253
2023-01-01 10:30:00,5253.384
2023-01-01 11:40:00,5253.616
2023-01-01 12:50:00,5253.768
2023-01-01 14:00:00,5253.856
2023-01-01 15:10:00,5253.928
2023-01-01 16:20:00,5254.016
2023-01-01 17:30:00,5254.048
2023-01-01 18:40:00,5253.936
2023-01-01 19:50:00,5254.016
2023-01-01 21:00:00,5253.88
2023-01-01 22:10:00,5253.68
2023-01-01 23:20:00,5253.648
2023-01-02 00:40:00,5253.648
2023-01-02 02:00:00,5253.48
2023-01-02 03:10:00,5253.184
2023-01-02 04:20:00,5253.088
2023-01-02 05:30:00,5253.064
2023-01-02 06:40:00,5253
2023-01-02 07:50:00,5253.072
2023-01-02 09:00:00,5253.24
2023-01-02 10:10:00,5253.464
2023-01-02 11:30:00,5253.616
2023-01-02 12:40:00,5253.928
2023-01-02 13:50:00,5254.32
2023-01-02 15:00:00,5253.968
2023-01-02 16:10:00,5254.064
2023-01-02 17:20:00,5254.128
2023-01-02 18:30:00,5253.776
2023-01-02 19:40:00,5253.656
2023-01-02 20:50:00,5253.336
2023-01-02 22:00:00,5253.184
2023-01-02 23:10:00,5253.072
2023-01-03 00:30:00,5252.928
2023-01-03 01:40:00,5252.736
2023-01-03 02:50:00,5252.824
2023-01-03 04:00:00,5252.68
2023-01-03 05:10:00,5252.656
2023-01-03 06:20:00,5252.816
2023-01-03 07:30:00,5252.896
2023-01-03 08:40:00,5252.928
2023-01-03 09:50:00,5253.312
2023-01-03 11:00:00,5253.376
2023-01-03 12:10:00,5253.92
2023-01-03 13:20:00,5254.232
2023-01-03 14:30:00,5254.48
2023-01-03 15:40:00,5254.672
2023-01-03 16:50:00,5254.648
2023-01-03 18:00:00,5254.568
2023-01-03 19:10:00,5254.48
2023-01-03 20:20:00,5254.392
2023-01-03 21:30:00,5254.128
2023-01-03 22:40:00,5254.008
2023-01-03 23:50:00,5253.808
2023-01-04 01:10:00,5253.616
2023-01-04 02:20:00,5253.488
2023-01-04 03:30:00,5253.44
2023-01-04 04:40:00,5253.328
2023-01-04 05:50:00,5253.36
2023-01-04 07:00:00,5253.408
2023-01-04 08:10:00,5253.472
2023-01-04 09:20:00,5253.544
2023-01-04 10:30:00,5253.848
2023-01-04 11:40:00,5253.968
2023-01-04 12:50:00,5254.128
2023-01-04 14:00:00,5254.544
2023-01-04 15:10:00,5254.704
