时间,风向(°)
2023-01-01 01:19:00,133
2023-01-01 02:38:00,149
2023-01-01 03:57:00,134
2023-01-01 05:15:00,343
2023-01-01 06:34:00,270
2023-01-01 07:52:00,35
2023-01-01 09:10:00,350
2023-01-01 10:28:00,13
2023-01-01 11:46:00,356
2023-01-01 13:05:00,325
2023-01-01 14:24:00,345
2023-01-01 15:42:00,15
2023-01-01 17:00:00,19
2023-01-01 18:18:00,29
2023-01-01 19:37:00,199
2023-01-01 20:55:00,333
2023-01-01 22:13:00,339
2023-01-01 23:31:00,356
2023-01-02 00:51:00,72
2023-01-02 02:10:00,344
2023-01-02 03:28:00,343
2023-01-02 04:46:00,308.4333
2023-01-02 06:05:00,317
2023-01-02 07:23:00,317.4333
2023-01-02 08:42:00,27.1333
2023-01-02 10:00:00,183.1833
2023-01-02 11:19:00,13.7333
2023-01-02 12:37:00,66.1667
2023-01-02 13:55:00,29
2023-01-02 15:14:00,314
2023-01-02 16:32:00,13
2023-01-02 17:50:00,89
2023-01-02 19:08:00,356
2023-01-02 20:27:00,353
2023-01-02 21:45:00,322.8667
2023-01-02 23:03:00,337
2023-01-03 00:23:00,340
2023-01-03 01:42:00,357
2023-01-03 03:00:00,355
2023-01-03 04:19:00,12
2023-01-03 05:37:00,115.0333
2023-01-03 06:57:00,347
2023-01-03 08:16:00,355
2023-01-03 09:35:00,147
2023-01-03 10:54:00,352
2023-01-03 12:12:00,37
2023-01-03 13:30:00,13
2023-01-03 14:48:00,328
2023-01-03 16:06:00,337
2023-01-03 17:24:00,28
2023-01-03 18:42:00,2
2023-01-03 20:00:00,343
2023-01-03 21:18:00,7
2023-01-03 22:37:00,351
2023-01-03 23:55:00,346
2023-01-04 01:15:00,357
2023-01-04 02:33:00,340
2023-01-04 03:51:00,340.3667
2023-01-04 05:10:00,18.5
2023-01-04 06:29:00,334.7
2023-01-04 07:48:00,351.5833
2023-01-04 09:06:00,359
2023-01-04 10:24:00,23
2023-01-04 11:42:00,350
2023-01-04 13:01:00,333.4
2023-01-04 14:20:00,264.1333
2023-01-04 15:39:00,326
2023-01-04 16:58:00,358
2023-01-04 18:17:00,332.4
2023-01-04 19:35:00,334
2023-01-04 20:53:00,321
2023-01-04 22:11:00,330
2023-01-04 23:30:00,350
2023-01-05 00:49:00,328
2023-01-05 02:07:00,155
2023-01-05 03:25:00,250
2023-01-05 04:44:00,173.9667
2023-01-05 06:03:00,269
2023-01-05 07:22:00,208
2023-01-05 08:41:00,231
2023-01-05 09:59:00,124
2023-01-05 11:17:00,126.9333
2023-01-05 12:35:00,160
2023-01-05 13:54:00,125
2023-01-05 15:12:00,147.7667
2023-01-05 16:31:00,142
2023-01-05 17:50:00,341
2023-01-05 19:08:00,345
2023-01-05 20:26:00,326
2023-01-05 21:44:00,323.3
2023-01-05 23:03:00,170.3167
2023-01-06 00:25:00,311
2023-01-06 01:43:00,155.3333
2023-01-06 03:01:00,349.8333
2023-01-06 04:19:00,311.1333
2023-01-06 05:37:00,7.4333
2023-01-06 06:56:00,23.4167
2023-01-06 08:15:00,152
2023-01-06 09:33:00,179
2023-01-06 10:52:00,96
2023-01-06 12:10:00,188
2023-01-06 13:29:00,155.1833
2023-01-06 14:47:00,126.1333
2023-01-06 16:06:00,163
2023-01-06 17:24:00,320
2023-01-06 18:43:00,333
2023-01-06 20:02:00,350
2023-01-06 21:21:00,130.5333
2023-01-06 22:39:00,353
2023-01-06 23:58:00,359
2023-01-07 01:18:00,306.6
2023-01-07 02:36:00,356
2023-01-07 03:55:00,13
2023-01-07 05:14:00,345
2023-01-07 06:33:00,358
2023-01-07 07:51:00,346
2023-01-07 09:10:00,326
2023-01-07 10:29:00,347
2023-01-07 11:48:00,346
2023-01-07 13:06:00,298
2023-01-07 14:25:00,326.95
2023-01-07 15:43:00,131.65
2023-01-07 17:02:00,182.7167
2023-01-07 18:22:00,158
2023-01-07 19:41:00,145
2023-01-07 20:59:00,132
2023-01-07 22:17:00,152
2023-01-07 23:36:00,145
