时间,挠度(mm)
2023-01-01 00:50:00,-40.97
2023-01-01 01:40:00,-44.01
2023-01-01 02:30:00,-42.83
2023-01-01 03:20:00,-46.35
2023-01-01 04:10:00,-48.64
2023-01-01 05:00:00,-47.95
2023-01-01 05:50:00,-43.76
2023-01-01 06:40:00,-46.51
2023-01-01 07:30:00,-46.76
2023-01-01 08:20:00,-47.35
2023-01-01 09:10:00,-50.43
2023-01-01 10:30:00,-48.45
2023-01-01 12:10:00,-51.55
2023-01-01 14:10:00,-48.81
2023-01-01 15:00:00,-48.39
2023-01-01 16:00:00,-45.52
2023-01-01 16:50:00,-48.4
2023-01-01 17:40:00,-44.76
2023-01-01 18:30:00,-46.71
2023-01-01 19:20:00,-47.45
2023-01-01 20:10:00,-44.51
2023-01-01 21:00:00,-49.17
2023-01-01 21:50:00,-44.98
2023-01-02 00:20:00,-49.2
2023-01-02 01:20:00,-46.81
2023-01-02 02:10:00,-49.16
2023-01-02 03:00:00,-51.59
2023-01-02 03:50:00,-47.29
2023-01-02 04:40:00,-46.84
2023-01-02 05:30:00,-50.57
2023-01-02 06:20:00,-48.88
2023-01-02 07:10:00,-51.06
2023-01-02 08:00:00,-52.94
2023-01-02 08:50:00,-48.43
2023-01-02 09:40:00,-49.08
2023-01-02 10:30:00,-50.6
2023-01-02 11:20:00,-49.49
2023-01-02 12:10:00,-50.07
2023-01-02 13:00:00,-49.49
2023-01-02 13:50:00,-48.87
2023-01-02 14:40:00,-46.19
2023-01-02 15:30:00,-47.61
2023-01-02 18:40:00,-46.02
2023-01-02 19:30:00,-44.63
2023-01-02 20:20:00,-46.98
2023-01-02 21:10:00,-50.41
2023-01-02 22:00:00,-52.19
2023-01-02 22:50:00,-51.31
2023-01-02 23:40:00,-51.97
2023-01-03 00:40:00,-48.78
2023-01-03 01:30:00,-54.09
2023-01-03 02:20:00,-54.84
2023-01-03 03:10:00,-50.48
2023-01-03 04:00:00,-50.56
2023-01-03 04:50:00,-53.16
2023-01-03 05:40:00,-52.19
2023-01-03 06:30:00,-50.73
2023-01-03 07:20:00,-54.63
2023-01-03 08:10:00,-54.86
2023-01-03 09:00:00,-53.55
2023-01-03 09:50:00,-53.74
2023-01-03 10:40:00,-52.95
2023-01-03 11:30:00,-50.78
2023-01-03 12:20:00,-49.06
2023-01-03 13:10:00,-47.04
2023-01-03 14:00:00,-47.68
2023-01-03 14:50:00,-46.49
2023-01-03 15:40:00,-47.93
2023-01-03 17:40:00,-47.65
2023-01-03 19:10:00,-42.96
2023-01-03 20:00:00,-45.79
2023-01-03 20:50:00,-43.45
2023-01-03 23:40:00,-49.37
2023-01-04 00:40:00,-49.83
2023-01-04 01:30:00,-46.13
2023-01-04 02:20:00,-45.93
2023-01-04 03:10:00,-49.01
2023-01-04 04:00:00,-48
2023-01-04 04:50:00,-50.68
2023-01-04 05:40:00,-49.63
2023-01-04 06:30:00,-51.22
2023-01-04 07:20:00,-52.36
2023-01-04 08:10:00,-52.06
2023-01-04 09:00:00,-50.05
2023-01-04 09:50:00,-49.22
2023-01-04 10:40:00,-47.62
2023-01-04 11:30:00,-49.77
2023-01-04 12:20:00,-47.99
2023-01-04 13:10:00,-46.72
2023-01-04 14:00:00,-46.48
2023-01-04 14:50:00,-44.42
2023-01-04 15:40:00,-44.63
2023-01-04 19:10:00,-44.29
2023-01-04 20:40:00,-43.11
2023-01-04 21:30:00,-46.59
2023-01-04 22:20:00,-45.85
2023-01-04 23:10:00,-43.39
2023-01-05 00:10:00,-44.04
2023-01-05 01:00:00,-43.56
2023-01-05 01:50:00,-43.63
2023-01-05 02:40:00,-47.46
2023-01-05 03:30:00,-45.88
2023-01-05 04:20:00,-48.07
2023-01-05 05:10:00,-44.37
2023-01-05 06:30:00,-49.15
2023-01-05 07:20:00,-47.8
2023-01-05 08:10:00,-49.16
2023-01-05 09:00:00,-45.14
2023-01-05 10:00:00,-46.56
2023-01-05 12:10:00,-47.85
2023-01-05 13:00:00,-47.22
2023-01-05 13:50:00,-42.33
2023-01-05 14:40:00,-45.11
2023-01-05 15:40:00,-40.84
2023-01-05 16:30:00,-40.79
2023-01-05 17:20:00,-40.14
2023-01-05 18:10:00,-42.03
2023-01-05 19:00:00,-41.97
2023-01-05 19:50:00,-38.17
2023-01-05 20:40:00,-38.75
2023-01-05 21:30:00,-40.27
2023-01-05 22:20:00,-45.82
2023-01-05 23:10:00,-44.88
2023-01-06 00:10:00,-45
2023-01-06 01:00:00,-46.39
2023-01-06 02:10:00,-49.9
2023-01-06 03:00:00,-49.9
2023-01-06 03:50:00,-54.38
2023-01-06 04:40:00,-54.33
2023-01-06 05:30:00,-51.65
2023-01-06 06:20:00,-51.67
2023-01-06 07:10:00,-51.49
2023-01-06 08:00:00,-53.19
2023-01-06 08:50:00,-53.58
2023-01-06 09:40:00,-55.66
2023-01-06 10:30:00,-53.49
2023-01-06 11:30:00,-52.43
2023-01-06 12:20:00,-51.05
2023-01-06 13:10:00,-51.4
2023-01-06 14:00:00,-49.41
2023-01-06 14:50:00,-50.73
2023-01-06 15:40:00,-46.56
2023-01-06 17:50:00,-43.56
2023-01-06 18:50:00,-45.36
2023-01-06 21:50:00,-50.78
2023-01-06 22:40:00,-51.1
2023-01-06 23:30:00,-49.27
2023-01-07 00:30:00,-52.85
2023-01-07 01:20:00,-51.43
2023-01-07 02:10:00,-52.96
2023-01-07 03:00:00,-53.4
2023-01-07 03:50:00,-56.64
2023-01-07 04:40:00,-57.01
2023-01-07 05:30:00,-59.38
2023-01-07 06:20:00,-57.46
2023-01-07 07:10:00,-55.67
2023-01-07 08:00:00,-54.51
2023-01-07 09:00:00,-54.08
2023-01-07 09:50:00,-55.85
2023-01-07 10:40:00,-55.39
2023-01-07 11:30:00,-51.39
2023-01-07 12:20:00,-51.65
2023-01-07 13:10:00,-48.5
2023-01-07 14:10:00,-43.69
2023-01-07 15:00:00,-41.29
2023-01-07 15:50:00,-34.51
2023-01-07 16:50:00,-30.96
2023-01-07 17:40:00,-34.18
2023-01-07 18:30:00,-34.75
2023-01-07 19:20:00,-36.06
2023-01-07 20:10:00,-38.52
2023-01-07 21:00:00,-38.57
2023-01-07 21:50:00,-43.77
2023-01-07 22:40:00,-46.79
2023-01-07 23:30:00,-43.68
2023-01-08 00:30:00,-48.36
2023-01-08 01:20:00,-46.56
2023-01-08 02:30:00,-48.3
2023-01-08 03:20:00,-52.42
2023-01-08 04:10:00,-51.77
2023-01-08 05:00:00,-53.16
2023-01-08 05:50:00,-50.37
2023-01-08 06:40:00,-56.16
2023-01-08 07:30:00,-55.58
2023-01-08 08:20:00,-54.13
2023-01-08 09:10:00,-56.51
2023-01-08 10:00:00,-55.89
2023-01-08 10:50:00,-59.18
2023-01-08 11:40:00,-56.05
2023-01-08 12:30:00,-53.9
2023-01-08 13:20:00,-52.61
2023-01-08 14:10:00,-53.64
2023-01-08 15:00:00,-50.19
2023-01-08 16:00:00,-44.49
2023-01-08 16:50:00,-46.41
2023-01-08 17:40:00,-46.04
2023-01-08 18:30:00,-42.35
2023-01-08 19:20:00,-46.9
2023-01-08 20:10:00,-45.82
2023-01-08 21:10:00,-46.2
2023-01-08 22:00:00,-48.86
