时间,位移量(mm)
2023-01-01 01:10:00,55.76
2023-01-01 02:20:00,61.39
2023-01-01 03:30:00,66.54
2023-01-01 04:40:00,69.27
2023-01-01 05:50:00,71.21
2023-01-01 07:00:00,73.3
2023-01-01 08:10:00,75.17
2023-01-01 09:20:00,77.34
2023-01-01 10:30:00,77.38
2023-01-01 11:40:00,77.3
2023-01-01 12:50:00,76.75
2023-01-01 14:00:00,75.76
2023-01-01 15:10:00,75.08
2023-01-01 16:20:00,74.81
2023-01-01 17:30:00,74.81
2023-01-01 18:40:00,74.81
2023-01-01 19:50:00,74.81
2023-01-01 21:00:00,74.85
2023-01-01 22:10:00,74.85
2023-01-01 23:20:00,74.89
2023-01-02 00:40:00,75.52
2023-01-02 02:00:00,76.08
2023-01-02 03:10:00,76.95
2023-01-02 04:20:00,77.61
2023-01-02 05:30:00,78.37
2023-01-02 06:40:00,79.27
2023-01-02 07:50:00,80.02
2023-01-02 09:00:00,80.14
2023-01-02 10:10:00,80.13
2023-01-02 11:20:00,79.58
2023-01-02 12:30:00,78.47
2023-01-02 13:40:00,77.79
2023-01-02 14:50:00,77.08
2023-01-02 16:00:00,76.64
2023-01-02 17:10:00,76.48
2023-01-02 18:20:00,76.48
2023-01-02 19:30:00,76.68
2023-01-02 20:40:00,77.75
2023-01-02 21:50:00,78.53
2023-01-02 23:00:00,79.33
2023-01-03 00:20:00,80.08
2023-01-03 01:30:00,80.79
2023-01-03 02:40:00,81.77
2023-01-03 03:50:00,82.53
2023-01-03 05:00:00,83.16
2023-01-03 06:10:00,83.87
2023-01-03 07:20:00,84.43
2023-01-03 08:30:00,84.47
2023-01-03 09:40:00,84.47
2023-01-03 10:50:00,83.79
2023-01-03 12:00:00,81.41
2023-01-03 13:10:00,79.06
2023-01-03 14:20:00,77.63
2023-01-03 15:30:00,75.33
2023-01-03 16:40:00,73.74
2023-01-03 17:50:00,73.5
2023-01-03 19:00:00,73.5
2023-01-03 20:10:00,73.58
2023-01-03 21:20:00,73.66
2023-01-03 22:30:00,73.62
2023-01-03 23:40:00,74.02
2023-01-04 01:00:00,74.97
2023-01-04 02:10:00,75.68
2023-01-04 03:20:00,76.36
2023-01-04 04:30:00,76.99
2023-01-04 05:40:00,77.46
2023-01-04 06:50:00,78.22
2023-01-04 08:00:00,78.65
2023-01-04 09:10:00,78.81
2023-01-04 10:20:00,78.81
2023-01-04 11:30:00,77.5
2023-01-04 12:40:00,76.54
2023-01-04 13:50:00,74.99
2023-01-04 15:00:00,73.76
2023-01-04 16:10:00,72.93
2023-01-04 17:20:00,72.22
2023-01-04 18:30:00,72.22
2023-01-04 19:40:00,72.22
2023-01-04 20:50:00,72.21
2023-01-04 22:00:00,72.26
2023-01-04 23:10:00,72.57
2023-01-05 00:30:00,73.28
2023-01-05 01:40:00,73.8
2023-01-05 02:50:00,74.19
2023-01-05 04:00:00,74.66
2023-01-05 05:10:00,75.34
2023-01-05 06:20:00,75.65
2023-01-05 07:30:00,76.01
2023-01-05 08:40:00,76.05
2023-01-05 09:50:00,76.05
2023-01-05 11:00:00,75.73
2023-01-05 12:10:00,74.38
2023-01-05 13:20:00,72.43
2023-01-05 14:30:00,68.81
2023-01-05 15:40:00,63.98
2023-01-05 16:50:00,62.91
2023-01-05 18:00:00,62.87
2023-01-05 19:10:00,62.87
2023-01-05 20:20:00,62.95
2023-01-05 21:30:00,64.7
2023-01-05 22:40:00,67.27
2023-01-05 23:50:00,70.4
2023-01-06 01:10:00,74.48
2023-01-06 02:20:00,77.92
2023-01-06 03:30:00,82.34
2023-01-06 04:40:00,83.88
2023-01-06 05:50:00,84.24
2023-01-06 07:00:00,84.63
2023-01-06 08:10:00,84.67
2023-01-06 09:20:00,84.67
2023-01-06 10:30:00,84.67
2023-01-06 11:40:00,84.07
2023-01-06 12:50:00,82.01
2023-01-06 14:00:00,80.53
2023-01-06 15:10:00,77.19
2023-01-06 16:20:00,73.89
2023-01-06 17:30:00,72.86
2023-01-06 18:40:00,72.7
2023-01-06 19:50:00,72.7
2023-01-06 21:00:00,74.2
2023-01-06 22:10:00,76.5
2023-01-06 23:20:00,77.96
2023-01-07 00:40:00,79.31
2023-01-07 01:50:00,80.7
2023-01-07 03:00:00,82.16
2023-01-07 04:10:00,83.66
2023-01-07 05:20:00,85.84
2023-01-07 06:30:00,87.62
2023-01-07 07:40:00,88.3
2023-01-07 08:50:00,88.69
2023-01-07 10:00:00,88.65
