时间,索力值(kN)
2023-01-01 01:10:00,5414.432
2023-01-01 02:20:00,5413.784
2023-01-01 03:30:00,5413.48
2023-01-01 04:40:00,5413.336
2023-01-01 05:50:00,5413.192
2023-01-01 07:00:00,5413.296
2023-01-01 08:10:00,5413.256
2023-01-01 09:20:00,5413.28
2023-01-01 10:30:00,5413.664
2023-01-01 11:40:00,5413.896
2023-01-01 12:50:00,5414.048
2023-01-01 14:00:00,5414.136
2023-01-01 15:10:00,5414.208
2023-01-01 16:20:00,5414.296
2023-01-01 17:30:00,5414.328
2023-01-01 18:40:00,5414.216
2023-01-01 19:50:00,5414.296
2023-01-01 21:00:00,5414.16
2023-01-01 22:10:00,5413.96
2023-01-01 23:20:00,5413.928
2023-01-02 00:40:00,5413.928
2023-01-02 02:00:00,5413.76
2023-01-02 03:10:00,5413.464
2023-01-02 04:20:00,5413.368
2023-01-02 05:30:00,5413.344
2023-01-02 06:40:00,5413.28
2023-01-02 07:50:00,5413.352
2023-01-02 09:00:00,5413.52
2023-01-02 10:10:00,5413.744
2023-01-02 11:30:00,5413.896
2023-01-02 12:40:00,5414.208
2023-01-02 13:50:00,5414.6
2023-01-02 15:00:00,5414.248
2023-01-02 16:10:00,5414.344
2023-01-02 17:20:00,5414.408
2023-01-02 18:30:00,5414.056
2023-01-02 19:40:00,5413.936
2023-01-02 20:50:00,5413.616
2023-01-02 22:00:00,5413.464
2023-01-02 23:10:00,5413.352
2023-01-03 00:30:00,5413.208
2023-01-03 01:40:00,5413.016
2023-01-03 02:50:00,5413.104
2023-01-03 04:00:00,5412.96
2023-01-03 05:10:00,5412.936
2023-01-03 06:20:00,5413.096
2023-01-03 07:30:00,5413.176
2023-01-03 08:40:00,5413.208
2023-01-03 09:50:00,5413.592
2023-01-03 11:00:00,5413.656
2023-01-03 12:10:00,5414.2
2023-01-03 13:20:00,5414.512
2023-01-03 14:30:00,5414.76
2023-01-03 15:40:00,5414.952
2023-01-03 16:50:00,5414.928
2023-01-03 18:00:00,5414.848
2023-01-03 19:10:00,5414.76
2023-01-03 20:20:00,5414.672
2023-01-03 21:30:00,5414.408
2023-01-03 22:40:00,5414.288
2023-01-03 23:50:00,5414.088
2023-01-04 01:10:00,5413.896
2023-01-04 02:20:00,5413.768
2023-01-04 03:30:00,5413.72
2023-01-04 04:40:00,5413.608
2023-01-04 05:50:00,5413.64
2023-01-04 07:00:00,5413.688
2023-01-04 08:10:00,5413.752
2023-01-04 09:20:00,5413.824
2023-01-04 10:30:00,5414.128
2023-01-04 11:40:00,5414.248
2023-01-04 12:50:00,5414.408
2023-01-04 14:00:00,5414.824
2023-01-04 15:10:00,5414.984
2023-01-04 16:20:00,5415.056
2023-01-04 17:30:00,5415.12
2023-01-04 18:40:00,5415.08
2023-01-04 19:50:00,5414.936
2023-01-04 21:00:00,5414.76
2023-01-04 22:10:00,5414.512
2023-01-04 23:20:00,5414.376
2023-01-05 00:40:00,5414.232
2023-01-05 01:50:00,5414.048
2023-01-05 03:00:00,5414.064
2023-01-05 04:10:00,5413.912
2023-01-05 05:20:00,5413.976
2023-01-05 06:30:00,5413.912
2023-01-05 07:40:00,5414.032
2023-01-05 08:50:00,5414.304
2023-01-05 10:00:00,5414.408
2023-01-05 11:10:00,5414.728
2023-01-05 12:20:00,5414.664
2023-01-05 13:30:00,5414.856
2023-01-05 14:40:00,5415.176
2023-01-05 15:50:00,5415.4
2023-01-05 17:00:00,5415.64
2023-01-05 18:10:00,5415.912
2023-01-05 19:20:00,5415.448
2023-01-05 20:30:00,5415.368
2023-01-05 21:40:00,5414.456
2023-01-05 22:50:00,5413.784
2023-01-06 00:10:00,5413.4
2023-01-06 01:20:00,5413.08
2023-01-06 02:30:00,5412.904
2023-01-06 03:40:00,5412.528
2023-01-06 04:50:00,5412.496
