时间,挠度(mm)
2023-01-01 00:50:00,-35.66
2023-01-01 01:40:00,-36
2023-01-01 02:30:00,-41.79
2023-01-01 03:20:00,-42.41
2023-01-01 04:10:00,-43.74
2023-01-01 05:00:00,-39.46
2023-01-01 05:50:00,-43.22
2023-01-01 06:40:00,-42.13
2023-01-01 07:30:00,-43.92
2023-01-01 08:20:00,-44.98
2023-01-01 09:10:00,-45.87
2023-01-01 10:30:00,-43.34
2023-01-01 12:10:00,-45.12
2023-01-01 14:10:00,-40.19
2023-01-01 15:00:00,-41.24
2023-01-01 16:00:00,-42.6
2023-01-01 16:50:00,-40.1
2023-01-01 17:40:00,-41.05
2023-01-01 18:30:00,-42.98
2023-01-01 19:20:00,-39.02
2023-01-01 20:10:00,-41.64
2023-01-01 21:00:00,-42.01
2023-01-01 21:50:00,-40.44
2023-01-02 00:20:00,-44.16
2023-01-02 01:20:00,-42.22
2023-01-02 02:10:00,-43.11
2023-01-02 03:00:00,-42.17
2023-01-02 03:50:00,-43.97
2023-01-02 04:40:00,-42
2023-01-02 05:30:00,-40.84
2023-01-02 06:20:00,-45.96
2023-01-02 07:10:00,-42.89
2023-01-02 08:00:00,-43.8
2023-01-02 08:50:00,-42.12
2023-01-02 09:40:00,-44.63
2023-01-02 10:30:00,-42.88
2023-01-02 11:20:00,-45.89
2023-01-02 12:10:00,-44.68
2023-01-02 13:00:00,-44.5
2023-01-02 13:50:00,-40.68
2023-01-02 14:40:00,-39.43
2023-01-02 15:30:00,-43.47
2023-01-02 18:40:00,-40.82
2023-01-02 19:30:00,-43.27
2023-01-02 20:20:00,-43.2
2023-01-02 21:10:00,-42.18
2023-01-02 22:00:00,-42.39
2023-01-02 22:50:00,-43.9
2023-01-02 23:40:00,-45.04
2023-01-03 00:40:00,-43.36
2023-01-03 01:30:00,-44.93
2023-01-03 02:20:00,-44.28
2023-01-03 03:10:00,-48.12
2023-01-03 04:00:00,-44.29
2023-01-03 04:50:00,-46.14
2023-01-03 05:40:00,-48.28
2023-01-03 06:30:00,-45.2
2023-01-03 07:20:00,-43.95
