时间,索力值(kN)
2023-01-01 01:10:00,5246.132
2023-01-01 02:20:00,5245.484
2023-01-01 03:30:00,5245.18
2023-01-01 04:40:00,5245.036
2023-01-01 05:50:00,5244.892
2023-01-01 07:00:00,5244.996
2023-01-01 08:10:00,5244.956
2023-01-01 09:20:00,5244.98
2023-01-01 10:30:00,5245.364
2023-01-01 11:40:00,5245.596
2023-01-01 12:50:00,5245.748
2023-01-01 14:00:00,5245.836
2023-01-01 15:10:00,5245.908
2023-01-01 16:20:00,5245.996
2023-01-01 17:30:00,5246.028
2023-01-01 18:40:00,5245.916
2023-01-01 19:50:00,5245.996
2023-01-01 21:00:00,5245.86
2023-01-01 22:10:00,5245.66
2023-01-01 23:20:00,5245.628
2023-01-02 00:40:00,5245.628
2023-01-02 02:00:00,5245.46
2023-01-02 03:10:00,5245.164
2023-01-02 04:20:00,5245.068
2023-01-02 05:30:00,5245.044
2023-01-02 06:40:00,5244.98
2023-01-02 07:50:00,5245.052
2023-01-02 09:00:00,5245.22
2023-01-02 10:10:00,5245.444
2023-01-02 11:30:00,5245.596
2023-01-02 12:40:00,5245.908
2023-01-02 13:50:00,5246.3
2023-01-02 15:00:00,5245.948
2023-01-02 16:10:00,5246.044
2023-01-02 17:20:00,5246.108
2023-01-02 18:30:00,5245.756
2023-01-02 19:40:00,5245.636
2023-01-02 20:50:00,5245.316
2023-01-02 22:00:00,5245.164
2023-01-02 23:10:00,5245.052
2023-01-03 00:30:00,5244.908
2023-01-03 01:40:00,5244.716
2023-01-03 02:50:00,5244.804
2023-01-03 04:00:00,5244.66
2023-01-03 05:10:00,5244.636
2023-01-03 06:20:00,5244.796
2023-01-03 07:30:00,5244.876
2023-01-03 08:40:00,5244.908
2023-01-03 09:50:00,5245.292
2023-01-03 11:00:00,5245.356
2023-01-03 12:10:00,5245.9
2023-01-03 13:20:00,5246.212
2023-01-03 14:30:00,5246.46
2023-01-03 15:40:00,5246.652
2023-01-03 16:50:00,5246.628
2023-01-03 18:00:00,5246.548
2023-01-03 19:10:00,5246.46
2023-01-03 20:20:00,5246.372
2023-01-03 21:30:00,5246.108
2023-01-03 22:40:00,5245.988
2023-01-03 23:50:00,5245.788
2023-01-04 01:10:00,5245.596
2023-01-04 02:20:00,5245.468
2023-01-04 03:30:00,5245.42
2023-01-04 04:40:00,5245.308
2023-01-04 05:50:00,5245.34
2023-01-04 07:00:00,5245.388
2023-01-04 08:10:00,5245.452
2023-01-04 09:20:00,5245.524
2023-01-04 10:30:00,5245.828
2023-01-04 11:40:00,5245.948
2023-01-04 12:50:00,5246.108
2023-01-04 14:00:00,5246.524
2023-01-04 15:10:00,5246.684
2023-01-04 16:20:00,5246.756
2023-01-04 17:30:00,5246.82
2023-01-04 18:40:00,5246.78
2023-01-04 19:50:00,5246.636
2023-01-04 21:00:00,5246.46
2023-01-04 22:10:00,5246.212
