时间,索力值(kN)
2023-01-01 01:10:00,4536.002
2023-01-01 02:20:00,4535.354
2023-01-01 03:30:00,4535.05
2023-01-01 04:40:00,4534.906
2023-01-01 05:50:00,4534.762
2023-01-01 07:00:00,4534.866
2023-01-01 08:10:00,4534.826
2023-01-01 09:20:00,4534.85
2023-01-01 10:30:00,4535.234
2023-01-01 11:40:00,4535.466
2023-01-01 12:50:00,4535.618
2023-01-01 14:00:00,4535.706
2023-01-01 15:10:00,4535.778
2023-01-01 16:20:00,4535.866
2023-01-01 17:30:00,4535.898
2023-01-01 18:40:00,4535.786
2023-01-01 19:50:00,4535.866
2023-01-01 21:00:00,4535.73
2023-01-01 22:10:00,4535.53
2023-01-01 23:20:00,4535.498
2023-01-02 00:40:00,4535.498
2023-01-02 02:00:00,4535.33
2023-01-02 03:10:00,4535.034
2023-01-02 04:20:00,4534.938
2023-01-02 05:30:00,4534.914
2023-01-02 06:40:00,4534.85
2023-01-02 07:50:00,4534.922
2023-01-02 09:00:00,4535.09
2023-01-02 10:10:00,4535.314
2023-01-02 11:30:00,4535.466
2023-01-02 12:40:00,4535.778
2023-01-02 13:50:00,4536.17
2023-01-02 15:00:00,4535.818
2023-01-02 16:10:00,4535.914
2023-01-02 17:20:00,4535.978
2023-01-02 18:30:00,4535.626
2023-01-02 19:40:00,4535.506
2023-01-02 20:50:00,4535.186
2023-01-02 22:00:00,4535.034
2023-01-02 23:10:00,4534.922
2023-01-03 00:30:00,4534.778
2023-01-03 01:40:00,4534.586
2023-01-03 02:50:00,4534.674
2023-01-03 04:00:00,4534.53
2023-01-03 05:10:00,4534.506
2023-01-03 06:20:00,4534.666
2023-01-03 07:30:00,4534.746
2023-01-03 08:40:00,4534.778
2023-01-03 09:50:00,4535.162
2023-01-03 11:00:00,4535.226
2023-01-03 12:10:00,4535.77
2023-01-03 13:20:00,4536.082
2023-01-03 14:30:00,4536.33
2023-01-03 15:40:00,4536.522
2023-01-03 16:50:00,4536.498
2023-01-03 18:00:00,4536.418
2023-01-03 19:10:00,4536.33
2023-01-03 20:20:00,4536.242
2023-01-03 21:30:00,4535.978
2023-01-03 22:40:00,4535.858
2023-01-03 23:50:00,4535.658
2023-01-04 01:10:00,4535.466
2023-01-04 02:20:00,4535.338
2023-01-04 03:30:00,4535.29
2023-01-04 04:40:00,4535.178
2023-01-04 05:50:00,4535.21
2023-01-04 07:00:00,4535.258
2023-01-04 08:10:00,4535.322
2023-01-04 09:20:00,4535.394
2023-01-04 10:30:00,4535.698
2023-01-04 11:40:00,4535.818
2023-01-04 12:50:00,4535.978
2023-01-04 14:00:00,4536.394
2023-01-04 15:10:00,4536.554
2023-01-04 16:20:00,4536.626
2023-01-04 17:30:00,4536.69
2023-01-04 18:40:00,4536.65
2023-01-04 19:50:00,4536.506
2023-01-04 21:00:00,4536.33
2023-01-04 22:10:00,4536.082
2023-01-04 23:20:00,4535.946
2023-01-05 00:40:00,4535.802
2023-01-05 01:50:00,4535.618
2023-01-05 03:00:00,4535.634
2023-01-05 04:10:00,4535.482
2023-01-05 05:20:00,4535.546
2023-01-05 06:30:00,4535.482
2023-01-05 07:40:00,4535.602
2023-01-05 08:50:00,4535.874
2023-01-05 10:00:00,4535.978
2023-01-05 11:10:00,4536.298
2023-01-05 12:20:00,4536.234
2023-01-05 13:30:00,4536.426
2023-01-05 14:40:00,4536.746
2023-01-05 15:50:00,4536.97
2023-01-05 17:00:00,4537.21
2023-01-05 18:10:00,4537.482
2023-01-05 19:20:00,4537.018
2023-01-05 20:30:00,4536.938
2023-01-05 21:40:00,4536.026
2023-01-05 22:50:00,4535.354
2023-01-06 00:10:00,4534.97
2023-01-06 01:20:00,4534.65
2023-01-06 02:30:00,4534.474
2023-01-06 03:40:00,4534.098
2023-01-06 04:50:00,4534.066
2023-01-06 06:00:00,4533.946
2023-01-06 07:10:00,4534.106
2023-01-06 08:20:00,4534.09
2023-01-06 09:30:00,4533.946
2023-01-06 10:40:00,4534.386
2023-01-06 11:50:00,4534.898
2023-01-06 13:00:00,4535.354
2023-01-06 14:10:00,4535.754
