时间,索力值(kN)
2023-01-01 01:10:00,4195.862
2023-01-01 02:20:00,4195.214
2023-01-01 03:30:00,4194.91
2023-01-01 04:40:00,4194.766
2023-01-01 05:50:00,4194.622
2023-01-01 07:00:00,4194.726
2023-01-01 08:10:00,4194.686
2023-01-01 09:20:00,4194.71
2023-01-01 10:30:00,4195.094
2023-01-01 11:40:00,4195.326
2023-01-01 12:50:00,4195.478
2023-01-01 14:00:00,4195.566
2023-01-01 15:10:00,4195.638
2023-01-01 16:20:00,4195.726
2023-01-01 17:30:00,4195.758
2023-01-01 18:40:00,4195.646
2023-01-01 19:50:00,4195.726
2023-01-01 21:00:00,4195.59
2023-01-01 22:10:00,4195.39
2023-01-01 23:20:00,4195.358
2023-01-02 00:40:00,4195.358
2023-01-02 02:00:00,4195.19
2023-01-02 03:10:00,4194.894
2023-01-02 04:20:00,4194.798
2023-01-02 05:30:00,4194.774
2023-01-02 06:40:00,4194.71
2023-01-02 07:50:00,4194.782
2023-01-02 09:00:00,4194.95
2023-01-02 10:10:00,4195.174
2023-01-02 11:30:00,4195.326
2023-01-02 12:40:00,4195.638
2023-01-02 13:50:00,4196.03
2023-01-02 15:00:00,4195.678
2023-01-02 16:10:00,4195.774
2023-01-02 17:20:00,4195.838
2023-01-02 18:30:00,4195.486
2023-01-02 19:40:00,4195.366
2023-01-02 20:50:00,4195.046
2023-01-02 22:00:00,4194.894
2023-01-02 23:10:00,4194.782
2023-01-03 00:30:00,4194.638
2023-01-03 01:40:00,4194.446
2023-01-03 02:50:00,4194.534
2023-01-03 04:00:00,4194.39
2023-01-03 05:10:00,4194.366
2023-01-03 06:20:00,4194.526
2023-01-03 07:30:00,4194.606
2023-01-03 08:40:00,4194.638
2023-01-03 09:50:00,4195.022
2023-01-03 11:00:00,4195.086
2023-01-03 12:10:00,4195.63
2023-01-03 13:20:00,4195.942
2023-01-03 14:30:00,4196.19
2023-01-03 15:40:00,4196.382
2023-01-03 16:50:00,4196.358
2023-01-03 18:00:00,4196.278
2023-01-03 19:10:00,4196.19
2023-01-03 20:20:00,4196.102
2023-01-03 21:30:00,4195.838
2023-01-03 22:40:00,4195.718
2023-01-03 23:50:00,4195.518
2023-01-04 01:10:00,4195.326
2023-01-04 02:20:00,4195.198
2023-01-04 03:30:00,4195.15
2023-01-04 04:40:00,4195.038
2023-01-04 05:50:00,4195.07
2023-01-04 07:00:00,4195.118
2023-01-04 08:10:00,4195.182
2023-01-04 09:20:00,4195.254
2023-01-04 10:30:00,4195.558
2023-01-04 11:40:00,4195.678
2023-01-04 12:50:00,4195.838
2023-01-04 14:00:00,4196.254
2023-01-04 15:10:00,4196.414
2023-01-04 16:20:00,4196.486
2023-01-04 17:30:00,4196.55
2023-01-04 18:40:00,4196.51
2023-01-04 19:50:00,4196.366
2023-01-04 21:00:00,4196.19
2023-01-04 22:10:00,4195.942
2023-01-04 23:20:00,4195.806
2023-01-05 00:40:00,4195.662
2023-01-05 01:50:00,4195.478
2023-01-05 03:00:00,4195.494
2023-01-05 04:10:00,4195.342
2023-01-05 05:20:00,4195.406
2023-01-05 06:30:00,4195.342
2023-01-05 07:40:00,4195.462
2023-01-05 08:50:00,4195.734
2023-01-05 10:00:00,4195.838
2023-01-05 11:10:00,4196.158
2023-01-05 12:20:00,4196.094
2023-01-05 13:30:00,4196.286
2023-01-05 14:40:00,4196.606
2023-01-05 15:50:00,4196.83
2023-01-05 17:00:00,4197.07
2023-01-05 18:10:00,4197.342
2023-01-05 19:20:00,4196.878
2023-01-05 20:30:00,4196.798
2023-01-05 21:40:00,4195.886
2023-01-05 22:50:00,4195.214
2023-01-06 00:10:00,4194.83
2023-01-06 01:20:00,4194.51
2023-01-06 02:30:00,4194.334
2023-01-06 03:40:00,4193.958
2023-01-06 04:50:00,4193.926
2023-01-06 06:00:00,4193.806
2023-01-06 07:10:00,4193.966
2023-01-06 08:20:00,4193.95
2023-01-06 09:30:00,4193.806
2023-01-06 10:40:00,4194.246
2023-01-06 11:50:00,4194.758
2023-01-06 13:00:00,4195.214
2023-01-06 14:10:00,4195.614
2023-01-06 15:20:00,4195.774
2023-01-06 16:30:00,4196.494
2023-01-06 17:40:00,4196.366
2023-01-06 18:50:00,4196.414
2023-01-06 20:00:00,4195.838
2023-01-06 21:10:00,4195.278
2023-01-06 22:20:00,4194.766
2023-01-06 23:30:00,4194.222
2023-01-07 00:50:00,4193.958
2023-01-07 02:00:00,4193.638
2023-01-07 03:10:00,4193.438
2023-01-07 04:20:00,4193.078
2023-01-07 05:30:00,4192.974
2023-01-07 06:40:00,4193.246
2023-01-07 07:50:00,4193.518
2023-01-07 09:00:00,4192.782
2023-01-07 10:10:00,4193.694
2023-01-07 11:20:00,4195.614
2023-01-07 12:30:00,4196.982
2023-01-07 13:40:00,4198.254
2023-01-07 14:50:00,4199.518
2023-01-07 16:00:00,4198.926
2023-01-07 17:20:00,4198.174
2023-01-07 18:30:00,4197.31
2023-01-07 19:40:00,4196.43
2023-01-07 20:50:00,4195.806
2023-01-07 22:00:00,4195.118
2023-01-07 23:10:00,4194.558
2023-01-08 00:30:00,4194.078
2023-01-08 01:40:00,4193.694
2023-01-08 02:50:00,4193.598
2023-01-08 04:00:00,4193.422
2023-01-08 05:10:00,4193.374
2023-01-08 06:20:00,4193.462
2023-01-08 07:30:00,4193.358
2023-01-08 08:40:00,4193.102
2023-01-08 09:50:00,4193.198
2023-01-08 11:00:00,4193.566
2023-01-08 12:10:00,4194.222
2023-01-08 13:20:00,4194.846
2023-01-08 14:30:00,4195.646
2023-01-08 15:40:00,4196.974
2023-01-08 16:50:00,4196.302
2023-01-08 18:00:00,4195.99
2023-01-08 19:10:00,4195.518
2023-01-08 20:20:00,4195.134
2023-01-08 21:30:00,4194.622
2023-01-08 22:40:00,4194.294
2023-01-08 23:50:00,4194.03
2023-01-09 01:10:00,4194.046
2023-01-09 02:20:00,4193.814
2023-01-09 03:30:00,4193.814
2023-01-09 04:40:00,4193.454
2023-01-09 05:50:00,4193.558
2023-01-09 07:00:00,4193.262
2023-01-09 08:10:00,4193.318
2023-01-09 09:20:00,4193.622
2023-01-09 10:30:00,4194.014
2023-01-09 11:40:00,4194.142
2023-01-09 12:50:00,4194.67
2023-01-09 14:00:00,4195.662
2023-01-09 15:10:00,4196.182
2023-01-09 16:20:00,4196.118
2023-01-09 17:30:00,4195.854
2023-01-09 18:40:00,4195.374
2023-01-09 19:50:00,4195.006
2023-01-09 21:00:00,4194.742
2023-01-09 22:10:00,4194.606
2023-01-09 23:20:00,4194.678
2023-01-10 00:40:00,4194.382
2023-01-10 01:50:00,4194.198
2023-01-10 03:00:00,4194.03
2023-01-10 04:10:00,4193.974
2023-01-10 05:20:00,4193.678
2023-01-10 06:30:00,4193.71
2023-01-10 07:40:00,4193.71
2023-01-10 08:50:00,4193.806
2023-01-10 10:00:00,4193.966
2023-01-10 11:10:00,4194.318
2023-01-10 12:20:00,4194.814
2023-01-10 13:30:00,4195.662
2023-01-10 14:40:00,4196.758
2023-01-10 15:50:00,4196.126
2023-01-10 17:00:00,4195.878
2023-01-10 18:10:00,4195.678
2023-01-10 19:20:00,4195.31
2023-01-10 20:30:00,4195.094
2023-01-10 21:40:00,4194.918
2023-01-10 22:50:00,4194.91
