时间,索力值(kN)
2023-01-01 01:10:00,2446.942
2023-01-01 02:20:00,2446.294
2023-01-01 03:30:00,2445.99
2023-01-01 04:40:00,2445.846
2023-01-01 05:50:00,2445.702
2023-01-01 07:00:00,2445.806
2023-01-01 08:10:00,2445.766
2023-01-01 09:20:00,2445.79
2023-01-01 10:30:00,2446.174
2023-01-01 11:40:00,2446.406
2023-01-01 12:50:00,2446.558
2023-01-01 14:00:00,2446.646
2023-01-01 15:10:00,2446.718
2023-01-01 16:20:00,2446.806
2023-01-01 17:30:00,2446.838
2023-01-01 18:40:00,2446.726
2023-01-01 19:50:00,2446.806
2023-01-01 21:00:00,2446.67
2023-01-01 22:10:00,2446.47
2023-01-01 23:20:00,2446.438
2023-01-02 00:40:00,2446.438
2023-01-02 02:00:00,2446.27
2023-01-02 03:10:00,2445.974
2023-01-02 04:20:00,2445.878
2023-01-02 05:30:00,2445.854
2023-01-02 06:40:00,2445.79
2023-01-02 07:50:00,2445.862
2023-01-02 09:00:00,2446.03
2023-01-02 10:10:00,2446.254
2023-01-02 11:30:00,2446.406
2023-01-02 12:40:00,2446.718
2023-01-02 13:50:00,2447.11
2023-01-02 15:00:00,2446.758
2023-01-02 16:10:00,2446.854
2023-01-02 17:20:00,2446.918
2023-01-02 18:30:00,2446.566
2023-01-02 19:40:00,2446.446
2023-01-02 20:50:00,2446.126
2023-01-02 22:00:00,2445.974
2023-01-02 23:10:00,2445.862
2023-01-03 00:30:00,2445.718
2023-01-03 01:40:00,2445.526
2023-01-03 02:50:00,2445.614
2023-01-03 04:00:00,2445.47
2023-01-03 05:10:00,2445.446
2023-01-03 06:20:00,2445.606
2023-01-03 07:30:00,2445.686
2023-01-03 08:40:00,2445.718
2023-01-03 09:50:00,2446.102
2023-01-03 11:00:00,2446.166
2023-01-03 12:10:00,2446.71
2023-01-03 13:20:00,2447.022
2023-01-03 14:30:00,2447.27
2023-01-03 15:40:00,2447.462
2023-01-03 16:50:00,2447.438
2023-01-03 18:00:00,2447.358
2023-01-03 19:10:00,2447.27
2023-01-03 20:20:00,2447.182
2023-01-03 21:30:00,2446.918
2023-01-03 22:40:00,2446.798
2023-01-03 23:50:00,2446.598
2023-01-04 01:10:00,2446.406
2023-01-04 02:20:00,2446.278
