时间,挠度(mm)
2023-01-01 00:50:00,-29.3
2023-01-01 01:40:00,-28.08
2023-01-01 02:30:00,-32.56
2023-01-01 03:20:00,-32.43
2023-01-01 04:10:00,-35.77
2023-01-01 05:00:00,-32.05
2023-01-01 05:50:00,-33.38
2023-01-01 06:40:00,-33.3
2023-01-01 07:30:00,-36.78
2023-01-01 08:20:00,-34.59
2023-01-01 09:10:00,-38.1
2023-01-01 10:30:00,-36.93
2023-01-01 12:10:00,-37.35
2023-01-01 14:10:00,-35.31
2023-01-01 15:00:00,-34.03
2023-01-01 16:00:00,-33.87
2023-01-01 16:50:00,-35.99
2023-01-01 17:40:00,-33.96
2023-01-01 18:30:00,-33.51
2023-01-01 19:20:00,-36.36
2023-01-01 20:10:00,-32.49
2023-01-01 21:00:00,-35.79
2023-01-01 21:50:00,-33.77
2023-01-02 00:20:00,-36.15
2023-01-02 01:20:00,-36.83
2023-01-02 02:10:00,-36.66
2023-01-02 03:00:00,-37.86
2023-01-02 03:50:00,-38.67
2023-01-02 04:40:00,-38.06
2023-01-02 05:30:00,-39.58
2023-01-02 06:20:00,-39.57
2023-01-02 07:10:00,-39.96
2023-01-02 08:00:00,-36.76
2023-01-02 08:50:00,-40.82
2023-01-02 09:40:00,-38.45
2023-01-02 10:30:00,-39.08
2023-01-02 11:20:00,-40.33
2023-01-02 12:10:00,-35.66
2023-01-02 13:00:00,-38.28
2023-01-02 13:50:00,-37.68
2023-01-02 14:40:00,-34.71
2023-01-02 15:30:00,-36.11
2023-01-02 18:40:00,-33.29
2023-01-02 19:30:00,-34.93
2023-01-02 20:20:00,-33.6
2023-01-02 21:10:00,-38.51
2023-01-02 22:00:00,-39.38
2023-01-02 22:50:00,-36.9
2023-01-02 23:40:00,-41.42
2023-01-03 00:40:00,-37.47
2023-01-03 01:30:00,-38.33
2023-01-03 02:20:00,-41.34
2023-01-03 03:10:00,-41.16
2023-01-03 04:00:00,-40.53
2023-01-03 04:50:00,-42.01
2023-01-03 05:40:00,-39.54
2023-01-03 06:30:00,-40.91
2023-01-03 07:20:00,-41.11
2023-01-03 08:10:00,-39.9
2023-01-03 09:00:00,-40.68
2023-01-03 09:50:00,-40.43
2023-01-03 10:40:00,-39.27
2023-01-03 11:30:00,-39.79
2023-01-03 12:20:00,-40.42
2023-01-03 13:10:00,-36.98
2023-01-03 14:00:00,-34.47
2023-01-03 14:50:00,-35.34
2023-01-03 15:40:00,-36.81
2023-01-03 17:40:00,-34.82
2023-01-03 19:10:00,-33.6
2023-01-03 20:00:00,-30.86
2023-01-03 20:50:00,-34.98
2023-01-03 23:40:00,-37.19
2023-01-04 00:40:00,-33.38
2023-01-04 01:30:00,-34.47
2023-01-04 02:20:00,-34.16
2023-01-04 03:10:00,-38.41
2023-01-04 04:00:00,-36.7
2023-01-04 04:50:00,-37.32
2023-01-04 05:40:00,-37.95
2023-01-04 06:30:00,-36.93
2023-01-04 07:20:00,-39.87
2023-01-04 08:10:00,-38
2023-01-04 09:00:00,-39.59
2023-01-04 09:50:00,-39.74
2023-01-04 10:40:00,-40.08
2023-01-04 11:30:00,-35.16
2023-01-04 12:20:00,-38.74
2023-01-04 13:10:00,-38.56
2023-01-04 14:00:00,-34.13
2023-01-04 14:50:00,-35.08
2023-01-04 15:40:00,-33.09
2023-01-04 19:10:00,-31.63
2023-01-04 20:40:00,-30
2023-01-04 21:30:00,-34.36
2023-01-04 22:20:00,-33.5
2023-01-04 23:10:00,-34.16
2023-01-05 00:10:00,-33.58
2023-01-05 01:00:00,-32.97
2023-01-05 01:50:00,-32.76
2023-01-05 02:40:00,-34.37
2023-01-05 03:30:00,-35.46
2023-01-05 04:20:00,-32.83
2023-01-05 05:10:00,-36.11
2023-01-05 06:30:00,-35.39
2023-01-05 07:20:00,-34.63
2023-01-05 08:10:00,-36.26
2023-01-05 09:00:00,-33.25
2023-01-05 10:00:00,-33.76
2023-01-05 12:10:00,-34.48
2023-01-05 13:00:00,-34.69
2023-01-05 13:50:00,-31.93
2023-01-05 14:40:00,-32.38
2023-01-05 15:40:00,-32.79
2023-01-05 16:30:00,-30.3
2023-01-05 17:20:00,-30.24
2023-01-05 18:10:00,-25.79
2023-01-05 19:00:00,-25.12
2023-01-05 19:50:00,-27.79
2023-01-05 20:40:00,-28.48
2023-01-05 21:30:00,-29.07
2023-01-05 22:20:00,-34.23
2023-01-05 23:10:00,-35.49
2023-01-06 00:10:00,-34.77
2023-01-06 01:00:00,-34.95
2023-01-06 02:10:00,-38.96
2023-01-06 03:00:00,-39.86
2023-01-06 03:50:00,-43.52
2023-01-06 04:40:00,-39.74
2023-01-06 05:30:00,-39.24
2023-01-06 06:20:00,-41.23
2023-01-06 07:10:00,-43.04
2023-01-06 08:00:00,-42.41
2023-01-06 08:50:00,-44.02
2023-01-06 09:40:00,-44.33
2023-01-06 10:30:00,-43.99
2023-01-06 11:30:00,-40.28
2023-01-06 12:20:00,-40.78
2023-01-06 13:10:00,-40.98
2023-01-06 14:00:00,-39.17
2023-01-06 14:50:00,-38.57
2023-01-06 15:40:00,-35.33
2023-01-06 17:50:00,-32.6
2023-01-06 18:50:00,-33.5
2023-01-06 21:50:00,-37.77
2023-01-06 22:40:00,-39.17
2023-01-06 23:30:00,-40.33
2023-01-07 00:30:00,-41.5
2023-01-07 01:20:00,-38.8
2023-01-07 02:10:00,-43.38
2023-01-07 03:00:00,-42.94
2023-01-07 03:50:00,-45.53
2023-01-07 04:40:00,-48.32
2023-01-07 05:30:00,-45.88
2023-01-07 06:20:00,-49.4
2023-01-07 07:10:00,-46.26
2023-01-07 08:00:00,-46.57
2023-01-07 09:00:00,-44.56
2023-01-07 09:50:00,-43.06
2023-01-07 10:40:00,-43.01
2023-01-07 11:30:00,-41.06
2023-01-07 12:20:00,-41.21
2023-01-07 13:10:00,-35.95
2023-01-07 14:10:00,-31.36
2023-01-07 15:00:00,-26.5
2023-01-07 15:50:00,-20.83
2023-01-07 16:50:00,-21.11
2023-01-07 17:40:00,-18.28
2023-01-07 18:30:00,-21.22
2023-01-07 19:20:00,-25.62
2023-01-07 20:10:00,-23.12
2023-01-07 21:00:00,-24.74
2023-01-07 21:50:00,-29.82
2023-01-07 22:40:00,-31.13
2023-01-07 23:30:00,-35
2023-01-08 00:30:00,-36.47
2023-01-08 01:20:00,-36.14
2023-01-08 02:30:00,-39.7
2023-01-08 03:20:00,-39.08
2023-01-08 04:10:00,-38.13
2023-01-08 05:00:00,-42.3
2023-01-08 05:50:00,-40.07
2023-01-08 06:40:00,-44.69
2023-01-08 07:30:00,-44.54
2023-01-08 08:20:00,-47.56
2023-01-08 09:10:00,-48.74
2023-01-08 10:00:00,-46.05
2023-01-08 10:50:00,-48.91
2023-01-08 11:40:00,-45.85
2023-01-08 12:30:00,-43.9
2023-01-08 13:20:00,-43.16
2023-01-08 14:10:00,-39.47
2023-01-08 15:00:00,-38.77
2023-01-08 16:00:00,-34.8
2023-01-08 16:50:00,-32.13
2023-01-08 17:40:00,-32.01
2023-01-08 18:30:00,-34.04
2023-01-08 19:20:00,-32.41
2023-01-08 20:10:00,-32.19
2023-01-08 21:10:00,-35.44
2023-01-08 22:00:00,-35.43
2023-01-08 22:50:00,-36.22
2023-01-08 23:40:00,-35.6
2023-01-09 00:40:00,-39.57
2023-01-09 01:30:00,-36.91
2023-01-09 02:20:00,-36.92
2023-01-09 03:10:00,-39.22
2023-01-09 04:00:00,-41.73
2023-01-09 04:50:00,-42.71
2023-01-09 05:40:00,-42.84
2023-01-09 06:30:00,-42.57
2023-01-09 07:20:00,-40.7
2023-01-09 08:10:00,-42.85
2023-01-09 09:00:00,-42.48
2023-01-09 09:50:00,-43.84
2023-01-09 10:40:00,-41.72
