时间,挠度(mm)
2023-01-01 00:50:00,-22.49
2023-01-01 01:40:00,-21.94
2023-01-01 02:30:00,-24.91
2023-01-01 03:20:00,-26.96
2023-01-01 04:10:00,-29.34
2023-01-01 05:00:00,-29.31
2023-01-01 05:50:00,-27.22
2023-01-01 06:40:00,-26.07
2023-01-01 07:30:00,-26.97
2023-01-01 08:20:00,-30.42
2023-01-01 09:10:00,-31.58
2023-01-01 10:30:00,-31.86
2023-01-01 12:10:00,-29.83
2023-01-01 14:10:00,-28.09
2023-01-01 15:00:00,-27.49
2023-01-01 16:00:00,-28.9
2023-01-01 16:50:00,-28.32
2023-01-01 17:40:00,-26.34
2023-01-01 18:30:00,-27.71
2023-01-01 19:20:00,-25.52
2023-01-01 20:10:00,-29.41
2023-01-01 21:00:00,-27.2
2023-01-01 21:50:00,-28.47
2023-01-02 00:20:00,-27.56
2023-01-02 01:20:00,-28.03
2023-01-02 02:10:00,-29.02
2023-01-02 03:00:00,-30.54
2023-01-02 03:50:00,-30.39
2023-01-02 04:40:00,-30.28
2023-01-02 05:30:00,-30.89
2023-01-02 06:20:00,-28.56
2023-01-02 07:10:00,-28.61
2023-01-02 08:00:00,-33.06
2023-01-02 08:50:00,-33.11
2023-01-02 09:40:00,-31.24
2023-01-02 10:30:00,-29.04
2023-01-02 11:20:00,-29.26
2023-01-02 12:10:00,-29.4
2023-01-02 13:00:00,-31.54
2023-01-02 13:50:00,-30.25
2023-01-02 14:40:00,-26.45
2023-01-02 15:30:00,-29.51
2023-01-02 18:40:00,-29.68
2023-01-02 19:30:00,-27.28
2023-01-02 20:20:00,-26.7
2023-01-02 21:10:00,-31.58
2023-01-02 22:00:00,-30.4
2023-01-02 22:50:00,-30.71
2023-01-02 23:40:00,-32.98
2023-01-03 00:40:00,-32.34
2023-01-03 01:30:00,-30.45
2023-01-03 02:20:00,-31.94
2023-01-03 03:10:00,-32.28
2023-01-03 04:00:00,-30.26
2023-01-03 04:50:00,-30.52
2023-01-03 05:40:00,-34.37
2023-01-03 06:30:00,-31.85
2023-01-03 07:20:00,-33.27
2023-01-03 08:10:00,-31.38
2023-01-03 09:00:00,-32.91
2023-01-03 09:50:00,-31.16
2023-01-03 10:40:00,-31.49
2023-01-03 11:30:00,-29.54
2023-01-03 12:20:00,-29.79
2023-01-03 13:10:00,-31.96
2023-01-03 14:00:00,-29.89
2023-01-03 14:50:00,-27.88
2023-01-03 15:40:00,-27.59
2023-01-03 17:40:00,-26.11
2023-01-03 19:10:00,-24.91
2023-01-03 20:00:00,-27.38
2023-01-03 20:50:00,-27.52
2023-01-03 23:40:00,-28.9
2023-01-04 00:40:00,-28.26
2023-01-04 01:30:00,-26.03
2023-01-04 02:20:00,-26.89
2023-01-04 03:10:00,-27.35
2023-01-04 04:00:00,-27.17
2023-01-04 04:50:00,-30.11
2023-01-04 05:40:00,-30.53
2023-01-04 06:30:00,-31.17
2023-01-04 07:20:00,-30.97
2023-01-04 08:10:00,-28.61
2023-01-04 09:00:00,-30.01
2023-01-04 09:50:00,-30.16
2023-01-04 10:40:00,-31.14
2023-01-04 11:30:00,-32.08
2023-01-04 12:20:00,-30
2023-01-04 13:10:00,-26.85
2023-01-04 14:00:00,-26.09
2023-01-04 14:50:00,-27.96
2023-01-04 15:40:00,-26.15
2023-01-04 19:10:00,-25.24
2023-01-04 20:40:00,-24.41
2023-01-04 21:30:00,-24.99
2023-01-04 22:20:00,-26.01
2023-01-04 23:10:00,-26.04
2023-01-05 00:10:00,-28.61
2023-01-05 01:00:00,-24.72
2023-01-05 01:50:00,-27.92
2023-01-05 02:40:00,-26.8
2023-01-05 03:30:00,-24.44
2023-01-05 04:20:00,-26.95
2023-01-05 05:10:00,-28.38
2023-01-05 06:30:00,-26.18
2023-01-05 07:20:00,-26.04
2023-01-05 08:10:00,-27.83
2023-01-05 09:00:00,-28.69
2023-01-05 10:00:00,-29.76
2023-01-05 12:10:00,-28.19
2023-01-05 13:00:00,-26.64
2023-01-05 13:50:00,-24.05
2023-01-05 14:40:00,-26.12
2023-01-05 15:40:00,-26.88
2023-01-05 16:30:00,-23.23
2023-01-05 17:20:00,-22.05
2023-01-05 18:10:00,-25
2023-01-05 19:00:00,-20.27
2023-01-05 19:50:00,-24.74
2023-01-05 20:40:00,-22.81
2023-01-05 21:30:00,-24.04
2023-01-05 22:20:00,-23.29
2023-01-05 23:10:00,-27.58
2023-01-06 00:10:00,-26.69
2023-01-06 01:00:00,-29.02
2023-01-06 02:10:00,-32.22
2023-01-06 03:00:00,-31.31
2023-01-06 03:50:00,-30.7
2023-01-06 04:40:00,-30.58
2023-01-06 05:30:00,-31.02
2023-01-06 06:20:00,-33.7
2023-01-06 07:10:00,-30.92
2023-01-06 08:00:00,-31.54
2023-01-06 08:50:00,-33.28
2023-01-06 09:40:00,-31.7
2023-01-06 10:30:00,-35.71
2023-01-06 11:30:00,-33.54
2023-01-06 12:20:00,-30.46
2023-01-06 13:10:00,-32.11
2023-01-06 14:00:00,-32.28
2023-01-06 14:50:00,-28.83
2023-01-06 15:40:00,-28.15
2023-01-06 17:50:00,-26.96
2023-01-06 18:50:00,-28.65
2023-01-06 21:50:00,-26.43
2023-01-06 22:40:00,-30.89
2023-01-06 23:30:00,-29.02
2023-01-07 00:30:00,-30.29
2023-01-07 01:20:00,-29.27
2023-01-07 02:10:00,-32.17
2023-01-07 03:00:00,-34.47
2023-01-07 03:50:00,-34.37
2023-01-07 04:40:00,-36.95
2023-01-07 05:30:00,-37.27
2023-01-07 06:20:00,-33.97
2023-01-07 07:10:00,-34.43
2023-01-07 08:00:00,-35.82
2023-01-07 09:00:00,-37.07
2023-01-07 09:50:00,-34
2023-01-07 10:40:00,-34.1
2023-01-07 11:30:00,-30.83
2023-01-07 12:20:00,-27.78
2023-01-07 13:10:00,-25.54
2023-01-07 14:10:00,-25.34
2023-01-07 15:00:00,-19.49
2023-01-07 15:50:00,-17.14
2023-01-07 16:50:00,-17.48
2023-01-07 17:40:00,-17.23
2023-01-07 18:30:00,-15.33
2023-01-07 19:20:00,-16.91
2023-01-07 20:10:00,-21.59
2023-01-07 21:00:00,-23.94
2023-01-07 21:50:00,-21.63
2023-01-07 22:40:00,-27.35
2023-01-07 23:30:00,-26.13
2023-01-08 00:30:00,-29.65
2023-01-08 01:20:00,-31.19
2023-01-08 02:30:00,-31.49
2023-01-08 03:20:00,-32.38
2023-01-08 04:10:00,-33.43
2023-01-08 05:00:00,-35.34
2023-01-08 05:50:00,-35.03
2023-01-08 06:40:00,-36.11
2023-01-08 07:30:00,-34.85
2023-01-08 08:20:00,-37.66
2023-01-08 09:10:00,-37.14
2023-01-08 10:00:00,-35.64
2023-01-08 10:50:00,-36.53
2023-01-08 11:40:00,-33.33
2023-01-08 12:30:00,-32.63
2023-01-08 13:20:00,-32.89
2023-01-08 14:10:00,-30.6
2023-01-08 15:00:00,-31.5
2023-01-08 16:00:00,-28.08
2023-01-08 16:50:00,-27.65
2023-01-08 17:40:00,-28.39
2023-01-08 18:30:00,-24.76
2023-01-08 19:20:00,-27.38
2023-01-08 20:10:00,-27.44
2023-01-08 21:10:00,-26.24
2023-01-08 22:00:00,-30.15
2023-01-08 22:50:00,-29.98
2023-01-08 23:40:00,-32.62
2023-01-09 00:40:00,-29.66
2023-01-09 01:30:00,-30.98
2023-01-09 02:20:00,-32.05
2023-01-09 03:10:00,-30.39
2023-01-09 04:00:00,-33.7
2023-01-09 04:50:00,-34.08
2023-01-09 05:40:00,-35.15
2023-01-09 06:30:00,-31.75
2023-01-09 07:20:00,-34.42
2023-01-09 08:10:00,-36.06
2023-01-09 09:00:00,-34.78
2023-01-09 09:50:00,-32.68
2023-01-09 10:40:00,-34.91
2023-01-09 11:30:00,-32.93
2023-01-09 12:20:00,-31.89
2023-01-09 13:10:00,-33.94
2023-01-09 14:00:00,-33.1
2023-01-09 14:50:00,-31.21
2023-01-09 16:00:00,-26.18
2023-01-09 16:50:00,-24.59
2023-01-09 17:40:00,-26.69
2023-01-09 18:30:00,-28.93
2023-01-09 19:50:00,-28.15
2023-01-09 20:40:00,-27.25
2023-01-09 21:30:00,-30.98
2023-01-09 22:20:00,-28.65
2023-01-09 23:10:00,-30.19
2023-01-10 00:10:00,-30.03
2023-01-10 01:00:00,-31.38
2023-01-10 01:50:00,-30
2023-01-10 02:40:00,-33.46
2023-01-10 03:30:00,-30.16
2023-01-10 04:20:00,-32.45
2023-01-10 05:10:00,-35.04
2023-01-10 06:00:00,-32.23
2023-01-10 06:50:00,-33.04
2023-01-10 07:40:00,-32.97
2023-01-10 08:30:00,-32.49
2023-01-10 09:20:00,-34.91
2023-01-10 10:10:00,-32.28
2023-01-10 11:00:00,-34.55
2023-01-10 11:50:00,-33.25
2023-01-10 12:40:00,-32.97
2023-01-10 13:30:00,-31.83
2023-01-10 14:20:00,-28.51
2023-01-10 15:10:00,-29.45
2023-01-10 16:20:00,-25.74
2023-01-10 17:10:00,-26.5
2023-01-10 18:00:00,-28.38
2023-01-10 18:50:00,-29.26
2023-01-10 19:40:00,-25.02
2023-01-10 21:50:00,-29.84
2023-01-10 22:40:00,-25.78
2023-01-10 23:30:00,-27.28
2023-01-11 00:30:00,-28.19
2023-01-11 01:20:00,-32.25
2023-01-11 02:10:00,-29.66
2023-01-11 03:00:00,-30.49
2023-01-11 03:50:00,-32.51
2023-01-11 04:40:00,-30.32
2023-01-11 05:30:00,-33.56
2023-01-11 06:20:00,-35.48
