时间,索力值(kN)
2023-01-01 01:10:00,2824.452
2023-01-01 02:20:00,2823.804
2023-01-01 03:30:00,2823.5
2023-01-01 04:40:00,2823.356
2023-01-01 05:50:00,2823.212
2023-01-01 07:00:00,2823.316
2023-01-01 08:10:00,2823.276
2023-01-01 09:20:00,2823.3
2023-01-01 10:30:00,2823.684
2023-01-01 11:40:00,2823.916
2023-01-01 12:50:00,2824.068
2023-01-01 14:00:00,2824.156
2023-01-01 15:10:00,2824.228
2023-01-01 16:20:00,2824.316
2023-01-01 17:30:00,2824.348
2023-01-01 18:40:00,2824.236
2023-01-01 19:50:00,2824.316
2023-01-01 21:00:00,2824.18
2023-01-01 22:10:00,2823.98
2023-01-01 23:20:00,2823.948
2023-01-02 00:40:00,2823.948
2023-01-02 02:00:00,2823.78
2023-01-02 03:10:00,2823.484
2023-01-02 04:20:00,2823.388
2023-01-02 05:30:00,2823.364
2023-01-02 06:40:00,2823.3
2023-01-02 07:50:00,2823.372
2023-01-02 09:00:00,2823.54
2023-01-02 10:10:00,2823.764
2023-01-02 11:30:00,2823.916
2023-01-02 12:40:00,2824.228
2023-01-02 13:50:00,2824.62
2023-01-02 15:00:00,2824.268
2023-01-02 16:10:00,2824.364
2023-01-02 17:20:00,2824.428
2023-01-02 18:30:00,2824.076
2023-01-02 19:40:00,2823.956
2023-01-02 20:50:00,2823.636
2023-01-02 22:00:00,2823.484
2023-01-02 23:10:00,2823.372
2023-01-03 00:30:00,2823.228
2023-01-03 01:40:00,2823.036
2023-01-03 02:50:00,2823.124
2023-01-03 04:00:00,2822.98
2023-01-03 05:10:00,2822.956
2023-01-03 06:20:00,2823.116
2023-01-03 07:30:00,2823.196
2023-01-03 08:40:00,2823.228
2023-01-03 09:50:00,2823.612
2023-01-03 11:00:00,2823.676
2023-01-03 12:10:00,2824.22
2023-01-03 13:20:00,2824.532
2023-01-03 14:30:00,2824.78
2023-01-03 15:40:00,2824.972
2023-01-03 16:50:00,2824.948
2023-01-03 18:00:00,2824.868
2023-01-03 19:10:00,2824.78
2023-01-03 20:20:00,2824.692
2023-01-03 21:30:00,2824.428
2023-01-03 22:40:00,2824.308
2023-01-03 23:50:00,2824.108
2023-01-04 01:10:00,2823.916
2023-01-04 02:20:00,2823.788
2023-01-04 03:30:00,2823.74
2023-01-04 04:40:00,2823.628
2023-01-04 05:50:00,2823.66
2023-01-04 07:00:00,2823.708
2023-01-04 08:10:00,2823.772
2023-01-04 09:20:00,2823.844
2023-01-04 10:30:00,2824.148
2023-01-04 11:40:00,2824.268
2023-01-04 12:50:00,2824.428
2023-01-04 14:00:00,2824.844
2023-01-04 15:10:00,2825.004
2023-01-04 16:20:00,2825.076
2023-01-04 17:30:00,2825.14
2023-01-04 18:40:00,2825.1
2023-01-04 19:50:00,2824.956
2023-01-04 21:00:00,2824.78
2023-01-04 22:10:00,2824.532
2023-01-04 23:20:00,2824.396
2023-01-05 00:40:00,2824.252
2023-01-05 01:50:00,2824.068
2023-01-05 03:00:00,2824.084
2023-01-05 04:10:00,2823.932
2023-01-05 05:20:00,2823.996
2023-01-05 06:30:00,2823.932
2023-01-05 07:40:00,2824.052
2023-01-05 08:50:00,2824.324
2023-01-05 10:00:00,2824.428
2023-01-05 11:10:00,2824.748
2023-01-05 12:20:00,2824.684
2023-01-05 13:30:00,2824.876
2023-01-05 14:40:00,2825.196
2023-01-05 15:50:00,2825.42
2023-01-05 17:00:00,2825.66
2023-01-05 18:10:00,2825.932
2023-01-05 19:20:00,2825.468
2023-01-05 20:30:00,2825.388
2023-01-05 21:40:00,2824.476
2023-01-05 22:50:00,2823.804
2023-01-06 00:10:00,2823.42
2023-01-06 01:20:00,2823.1
2023-01-06 02:30:00,2822.924
2023-01-06 03:40:00,2822.548
2023-01-06 04:50:00,2822.516
2023-01-06 06:00:00,2822.396
2023-01-06 07:10:00,2822.556
2023-01-06 08:20:00,2822.54
2023-01-06 09:30:00,2822.396
2023-01-06 10:40:00,2822.836
2023-01-06 11:50:00,2823.348
2023-01-06 13:00:00,2823.804
2023-01-06 14:10:00,2824.204
2023-01-06 15:20:00,2824.364
2023-01-06 16:30:00,2825.084
2023-01-06 17:40:00,2824.956
2023-01-06 18:50:00,2825.004
2023-01-06 20:00:00,2824.428
2023-01-06 21:10:00,2823.868
2023-01-06 22:20:00,2823.356
2023-01-06 23:30:00,2822.812
2023-01-07 00:50:00,2822.548
2023-01-07 02:00:00,2822.228
2023-01-07 03:10:00,2822.028
2023-01-07 04:20:00,2821.668
2023-01-07 05:30:00,2821.564
2023-01-07 06:40:00,2821.836
2023-01-07 07:50:00,2822.108
2023-01-07 09:00:00,2821.372
2023-01-07 10:10:00,2822.284
2023-01-07 11:20:00,2824.204
